doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
386422,head,0,0,True,[1],"Muſæ VRATISLAVIENSES, EIVSDEM BEATISSIMI VIRI Dn. Ulrici Kutschenreuteri, Famam poſthumam, qvantum poſsunt, mori vetantes; iisdem Typis Baumannianis.",muſæ vratislavienses eivsdem beatissimi viri dn ulrici kutschenreuteri famam poſthumam qvantum poſsunt mori vetantes iisdem typis baumannianis,musae uratislauienses eiusdem beatissimi uiri dn ulrici kutschenreuteri famam posthumam quantum possunt mori uetantes iisdem typis baumannianis
386422,body,1,0,True,[2],Qvàm benè tecum actum Kutschenreutere!,qvàm benè tecum actum kutschenreutere,quam bene tecum actum kutschenreutere
386422,item,2,0,True,[2],Qvietem,qvietem,quietem
386422,body,3,0,True,[2],Et pacem optatam dum tibi terra negat!,et pacem optatam dum tibi terra negat,et pacem optatam dum tibi terra negat
386422,body,4,0,True,[2],"Nec ſecli ultrà hujus ſeriem, patriæꝙ́ ruinam,",nec ſecli ultrà hujus ſeriem patriæꝙ́ ruinam,nec secli ultra huius seriem patriaequod ruinam
386422,body,5,0,True,[2],"Vivere pœnè in qvâ pœna, videre potes:",vivere pœnè in qvâ pœna videre potes,uiuere poene in qua poena uidere potes
386422,body,6,0,True,[2],"Morte pia mundum mundanaꝙ cuncta relinqvens,",morte pia mundum mundanaꝙ cuncta relinqvens,morte pia mundum mundanaquod cuncta relinquens
386422,body,7,0,True,[2],Et pacem in cœlo nactus es & reqviem.,et pacem in cœlo nactus es & reqviem,et pacem in coelo nactus es et requiem
386422,body,8,0,True,[2],Paßa gravem ſanè jacturam Eccleſia luget:,paßa gravem ſanè jacturam eccleſia luget,passa grauem sane iacturam ecclesia luget
386422,body,9,0,True,[2],Ereptumꝙ ſibi Currum Eqvitemq́; dolet.,ereptumꝙ ſibi currum eqvitemq́ dolet,ereptumquod sibi currum equitemq dolet
386422,body,10,0,True,[2],"Ast eadem, qva nunc poſt funera ſorte fruaris",ast eadem qva nunc poſt funera ſorte fruaris,ast eadem qua nunc post funera sorte fruaris
386422,body,11,0,True,[2],Cœlicolas inter ſi meminiße velit.,cœlicolas inter ſi meminiße velit,coelicolas inter si meminisse uelit
386422,body,12,0,True,[2],"Lugebit parcè, atꝙ́ virum, ſarcire ruinam",lugebit parcè atꝙ́ virum ſarcire ruinam,lugebit parce atquod uirum sarcire ruinam
386422,body,13,0,True,[2],"Qvi valeat, poſcet ſupplice voce DEUM.",qvi valeat poſcet ſupplice voce deum,qui ualeat poscet supplice uoce deum
386422,body,14,0,False,[2],Beatæ memoriæ Theologi clariſsimi deproper.,beatæ memoriæ theologi clariſsimi deproper,beatae memoriae theologi clarissimi deproper
386422,body,14,1,False,[2],Nicolaus Henelius U. J. D. Sacr. Cæſ. Majeſt. nec non Illuſtriss. Princ. Lignic.,nicolaus henelius u j d sacr cæſ majeſt nec non illuſtriss princ lignic,nicolaus henelius u i d sacr caes maiest nec non illustriss princ lignic
386422,body,14,2,True,[2],"Conſiliarius, Ducatus Monſterbergici Pro Cancellarius, inclitæq́; Wratisl. Reipub. Syndicus.",conſiliarius ducatus monſterbergici pro cancellarius inclitæq́ wratisl reipub syndicus,consiliarius ducatus monsterbergici pro cancellarius inclitaeq wratisl reipub syndicus
386422,head,15,0,False,[3],Sonnet Auff deß H. Kutſch-Reuters Seel.,sonnet auff deß h kutſchreuters seel,sonnet auff dess h kutschreuters seel
386422,head,15,1,True,[3],Nahmen gerichtet.,nahmen gerichtet,nahmen gerichtet
386422,body,16,0,True,[3],Ach! Freylich muß man wol Kutſch-Reuters Todt bcklagen/,ach freylich muß man wol kutſchreuters todt bcklagen,ach freylich muss man wol kutschreuters todt bcklagen
386422,body,18,0,True,[3],Weil ſich die Kriegß-Gefahr nach ſeinem Sterben mehrt.,weil ſich die kriegßgefahr nach ſeinem sterben mehrt,weil sich die kriegssgefahr nach seinem sterben mehrt
386422,item,20,0,True,[3],(heert/,heert,heert
386422,body,21,0,True,[3],Daß nicht ein Land vnd Stadt zu grunde wird ver-,daß nicht ein land vnd stadt zu grunde wird ver,dass nicht ein land und stadt zu grunde wird uer
386422,body,22,0,True,[3],Sind Prieſter beſtes theils die Reuter vnnd die Wa- gen/,sind prieſter beſtes theils die reuter vnnd die wa gen,sind priester bestes theils die reuter unnd die wa gen
386422,body,24,0,True,[3],Mit Beten die Gefahr vnd Feinde zu verjagen.,mit beten die gefahr vnd feinde zu verjagen,mit beten die gefahr und feinde zu ueriagen
386422,body,25,0,True,[3],Es hatte Liegnitz/ dir der Hoͤchſte Den beſchert/,es hatte liegnitz dir der hoͤchſte den beſchert,es hatte liegnitz dir der hochste den beschert
386422,body,26,0,True,[3],Der Kutſch’ vnnd Reuter war; Die Beth-kunſt dich gelehrt/,der kutſch vnnd reuter war die bethkunſt dich gelehrt,der kutsch unnd reuter war die bethkunst dich gelehrt
386422,body,28,0,True,[3],Vnd ſelber wol geuͤbt; manch Vngluͤck weggeſchlagen.,vnd ſelber wol geuͤbt manch vngluͤck weggeſchlagen,und selber wol geubt manch ungluck weggeschlagen
386422,body,29,0,True,[3],Nun aber iſt er fort! Du ſieheſt Jhn nicht mehr.,nun aber iſt er fort du ſieheſt jhn nicht mehr,nun aber ist er fort du siehest ihn nicht mehr
386422,body,30,0,True,[3],Zwar wohl Jhm! Seine Seel’ hat ſchon das Engel- Heer,zwar wohl jhm seine seel hat ſchon das engel heer,zwar wohl ihm seine seel hat schon das engel heer
386422,body,32,0,True,[4],Der Himmel Wagen/ Roß’ vnd Reu- ter fortgenommen.,der himmel wagen roß vnd reu ter fortgenommen,der himmel wagen ross und reu ter fortgenommen
386422,body,34,0,True,[4],Du aber bitte GOtt/ daß ſeiner Helden Schutz,du aber bitte gott daß ſeiner helden schutz,du aber bitte gott dass seiner helden schutz
386422,body,35,0,True,[4],Sichlager’ vmb dich her/ vnd dir zu deinem nutz’,sichlager vmb dich her vnd dir zu deinem nutz,sichlager umb dich her und dir zu deinem nutz
386422,body,36,0,True,[4],An deß Elias ſtatt moͤg’ ein Eliſa kommen.,an deß elias ſtatt moͤg ein eliſa kommen,an dess elias statt mog ein elisa kommen
386422,body,37,0,True,[4],machts Chriſtophorus Schlegel/ der H. Schrifft Licentiat/ Prediger vnd Profeßor zu St. Eliſabeth inn Breßlaw.,machts chriſtophorus schlegel der h schrifft licentiat prediger vnd profeßor zu st eliſabeth inn breßlaw,machts christophorus schlegel der h schrifft licentiat prediger und professor zu st elisabeth inn bresslaw
386422,body,38,0,True,[4],"QUi moritur, cœlis oritur; nam terrea clauſtra",qui moritur cœlis oritur nam terrea clauſtra,qui moritur coelis oritur nam terrea claustra
386422,body,39,0,True,[4],"Linqvit, & ætherij ſcandit ad aſtra poli.",linqvit & ætherij ſcandit ad aſtra poli,linquit et aetherii scandit ad astra poli
386422,body,40,0,True,[4],"Idq́; fit, arrepto qvando fundamine veræ",idq́ fit arrepto qvando fundamine veræ,idq fit arrepto quando fundamine uerae
386422,body,41,0,True,[4],In Chriſtum fidei lumina claudit homo.,in chriſtum fidei lumina claudit homo,in christum fidei lumina claudit homo
386422,body,42,0,True,[4],Juſtus ad aIterius cœleſtia gaudia vitæ,juſtus ad aiterius cœleſtia gaudia vitæ,iustus ad aiterius coelestia gaudia uitae
386422,body,43,0,True,[4],"Tranſit, & in Domino dona ſalutis habet.",tranſit & in domino dona ſalutis habet,transit et in domino dona salutis habet
386422,body,44,0,True,[4],"Gaudet & æternùm, reſonans modulamine dulci",gaudet & æternùm reſonans modulamine dulci,gaudet et aeternum resonans modulamine dulci
386422,body,45,0,True,[4],Cum cœtu electo cantica grata Deo.,cum cœtu electo cantica grata deo,cum coetu electo cantica grata deo
386422,body,46,0,True,[4],"Impius & vitæ pollutæ crimine fœdus,",impius & vitæ pollutæ crimine fœdus,impius et uitae pollutae crimine foedus
386422,body,47,0,True,[4],Qui nunqvam coluit ſacra ſtatuta Patris.,qui nunqvam coluit ſacra ſtatuta patris,qui nunquam coluit sacra statuta patris
386422,body,48,0,True,[5],"Nec vero illius Natum co mplexus amore eſt,",nec vero illius natum co mplexus amore eſt,nec uero illius natum co mplexus amore est
386422,body,49,0,True,[5],Contemnens fidei pondera juſsa datæ;,contemnens fidei pondera juſsa datæ,contemnens fidei pondera iussa datae
386422,body,50,0,True,[5],"Diſperit, & ſtygij regni detruſus ad umbras",diſperit & ſtygij regni detruſus ad umbras,disperit et stygii regni detrusus ad umbras
386422,body,51,0,True,[5],Æternæ pœnæ ſpicula ſentit inops.,æternæ pœnæ ſpicula ſentit inops,aeternae poenae spicula sentit inops
386422,body,52,0,True,[5],Hinc qvòd divinâ imbutus jam lege Sacerdos’,hinc qvòd divinâ imbutus jam lege sacerdos,hinc quod diuina imbutus iam lege sacerdos
386422,body,53,0,True,[5],Ac facto & verbisundiq́; myſta pius,ac facto & verbisundiq́ myſta pius,ac facto et uerbisundiq mysta pius
386422,body,54,0,True,[5],Ulricus Kutſchreuterus compage ſolutus,ulricus kutſchreuterus compage ſolutus,ulricus kutschreuterus compage solutus
386422,body,55,0,True,[5],Corporis externâ mortis ad antra abijt;,corporis externâ mortis ad antra abijt,corporis externa mortis ad antra abiit
386422,body,56,0,True,[5],"Qvis tentet vanos Iuctus effundere triſtis,",qvis tentet vanos iuctus effundere triſtis,quis tentet uanos iuctus effundere tristis
386422,body,57,0,True,[5],"Si qvæ nunc dixi, volvere mente ſtudet.",si qvæ nunc dixi volvere mente ſtudet,si quae nunc dixi uoluere mente studet
386422,body,58,0,True,[5],"Exiit ê mundo, ſuperavit cuncta pericla,",exiit ê mundo ſuperavit cuncta pericla,exiit e mundo superauit cuncta pericla
386422,body,59,0,True,[5],Qvæ noſtro generi fata inimica parant.,qvæ noſtro generi fata inimica parant,quae nostro generi fata inimica parant
386422,body,60,0,True,[5],"Effugit rabiem belli, tetrosq́; nefandæ",effugit rabiem belli tetrosq́ nefandæ,effugit rabiem belli tetrosq nefandae
386422,body,61,0,True,[5],"Fortunæ caſus, terribilesq́; minas,",fortunæ caſus terribilesq́ minas,fortunae casus terribilesq minas
386422,body,62,0,True,[5],"Et nunc ſecurè lætus ſuper æthere vivit,",et nunc ſecurè lætus ſuper æthere vivit,et nunc secure laetus super aethere uiuit
386422,body,63,0,True,[5],"Qvæq́; repoſta piis, Iaurea ſerta gerit.",qvæq́ repoſta piis iaurea ſerta gerit,quaeq reposta piis iaurea serta gerit
386422,body,64,0,True,[5],"Ergò nec invideas illi plangore qvietem,",ergò nec invideas illi plangore qvietem,ergo nec inuideas illi plangore quietem
386422,body,65,0,True,[5],Nec turbes luctu gaudia tanta tuo.,nec turbes luctu gaudia tanta tuo,nec turbes luctu gaudia tanta tuo
386422,body,66,0,True,[5],"Sed vive in Domino felix, ſemperq́; perenni,",sed vive in domino felix ſemperq́ perenni,sed uiue in domino felix semperq perenni
386422,body,67,0,True,[5],"Vota feras imo pectore, flore vire.",vota feras imo pectore flore vire,uota feras imo pectore flore uire
386422,item,68,0,False,[5],Facieb.,facieb,facieb
386422,body,68,1,False,[5],Joannes Dobricius Phæ & Medæ D. Phyſicus Reipubl.,joannes dobricius phæ & medæ d phyſicus reipubl,ioannes dobricius phae et medae d physicus reipubl
386422,item,68,2,True,[5],Vratis L.,vratis l,uratis l
386422,body,69,0,True,[5],"Eximios doluit, nuper ſibi funere raptos,",eximios doluit nuper ſibi funere raptos,eximios doluit nuper sibi funere raptos
386422,body,70,0,True,[5],"Sleſiacum nomen Bresla, doletꝙ́ viros.",sleſiacum nomen bresla doletꝙ́ viros,slesiacum nomen bresla doletquod uiros
386422,body,71,0,True,[6],"Urbem LIgnitii, gemina inclementia fati,",urbem lignitii gemina inclementia fati,urbem lignitii gemina inclementia fati
386422,body,72,0,True,[6],Summi obitum cogit nunc gemuiße viri.,summi obitum cogit nunc gemuiße viri,summi obitum cogit nunc gemuisse uiri
386422,body,73,0,True,[6],"Ille qvis? Ulricus Kutschenreuterus, honorem",ille qvis ulricus kutschenreuterus honorem,ille quis ulricus kutschenreuterus honorem
386422,body,74,0,True,[6],"Promeritus qvemvis arte, fide, ſtudio.",promeritus qvemvis arte fide ſtudio,promeritus quemuis arte fide studio
386422,body,75,0,True,[6],"Sat conſtat, fuerit qvid factum Hippone, vocatus",sat conſtat fuerit qvid factum hippone vocatus,sat constat fuerit quid factum hippone uocatus
386422,body,76,0,True,[6],Cum ſanctus miſerâ Præſul abißet humo.,cum ſanctus miſerâ præſul abißet humo,cum sanctus misera praesul abisset humo
386422,body,77,0,True,[6],"O miſerans mala noſtra Deus, fac, lætius omen,",o miſerans mala noſtra deus fac lætius omen,o miserans mala nostra deus fac laetius omen
386422,body,78,0,True,[6],"Qvæſumus, hanc Breslam Lignitiumq́; beet.",qvæſumus hanc breslam lignitiumq́ beet,quaesumus hanc breslam lignitiumq beet
386422,body,79,0,True,[6],"M. Elias Major Gymnaſii Vratislavienſis Rector & Profeſſor, cæterarumq́; Ibidem Scholarum Inſpector.",m elias major gymnaſii vratislavienſis rector & profeſſor cæterarumq́ ibidem scholarum inſpector,m elias maior gymnasii uratislauiensis rector et professor caeterarumq ibidem scholarum inspector
386422,head,80,0,True,[6],Ad piè defunctum προσφώνηοις,ad piè defunctum προσφώνηοις,ad pie defunctum
386422,body,81,0,True,[6],"Kutschreutere tuæ viventis gloria famæ,",kutschreutere tuæ viventis gloria famæ,kutschreutere tuae uiuentis gloria famae
386422,body,82,0,True,[6],Jam qvoq; Denati morte perire neqvit.,jam qvoq denati morte perire neqvit,iam quoq denati morte perire nequit
386422,body,83,0,True,[6],Lignitzenſe Tui ſaxum tegit oſsa ſepulti,lignitzenſe tui ſaxum tegit oſsa ſepulti,lignitzense tui saxum tegit ossa sepulti
386422,body,84,0,True,[6],Corporis: at cœlo libera mens fruitur.,corporis at cœlo libera mens fruitur,corporis at coelo libera mens fruitur
386422,body,85,0,True,[6],"Neſcit operta tegi ſurſùm ſublata per auras,",neſcit operta tegi ſurſùm ſublata per auras,nescit operta tegi sursum sublata per auras
386422,body,86,0,True,[6],Neſcit & interitu vivida fama mori.,neſcit & interitu vivida fama mori,nescit et interitu uiuida fama mori
386422,body,87,0,True,[6],"Crederet ut rectè populus, rectè docuiſti;",crederet ut rectè populus rectè docuiſti,crederet ut recte populus recte docuisti
386422,body,88,0,True,[6],"Vixiſti ſanctè, viveret utq́; piè.",vixiſti ſanctè viveret utq́ piè,uixisti sancte uiueret utq pie
386422,body,89,0,True,[6],"Qvi veluti decuit, docuit, vixitꝙ́, beatè",qvi veluti decuit docuit vixitꝙ́ beatè,qui ueluti decuit docuit uixitquod beate
386422,body,90,0,True,[6],"Et moritur, docuit cuncta docenda benè.",et moritur docuit cuncta docenda benè,et moritur docuit cuncta docenda bene
386422,body,91,0,True,[7],Nunc deſiderio populus geminata gemiſcens,nunc deſiderio populus geminata gemiſcens,nunc desiderio populus geminata gemiscens
386422,body,92,0,True,[7],"Dicta, Tui magnâ non ſine laude, ſonat,",dicta tui magnâ non ſine laude ſonat,dicta tui magna non sine laude sonat
386422,body,93,0,True,[7],"Quæ, cum flammipedum Pater eſt evectus eqvorum",quæ cum flammipedum pater eſt evectus eqvorum,quae cum flammipedum pater est euectus equorum
386422,body,94,0,True,[7],"Curru Thesbites, Filius ore dedit:",curru thesbites filius ore dedit,curru thesbites filius ore dedit
386422,body,95,0,True,[7],"Siccine, mi Pater, hoc triſti nos tempore linqvis?",siccine mi pater hoc triſti nos tempore linqvis,siccine mi pater hoc tristi nos tempore linquis
386422,body,96,0,True,[7],"O Pater, ô populi currus eqvesq; ſacri!",o pater ô populi currus eqvesq ſacri,o pater o populi currus equesq sacri
386422,body,97,0,False,[7],Johann Kurtzman Wratisl. in Eccleſiâ patriâ ad D. Mar. Magd. Diacon.,johann kurtzman wratisl in eccleſiâ patriâ ad d mar magd diacon,iohann kurtzman wratisl in ecclesia patria ad d mar magd diacon
386422,body,97,1,True,[7],& ad SS. Trinitat. Eccleſiaſtes.,& ad ss trinitat eccleſiaſtes,et ad ss trinitat ecclesiastes
