doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
386420,head,0,0,True,[1],"Gleubiger Chriſten Vierfacheꝛ Seelen-ſchatz: Gutter Wanderſtab/ Koͤſtliches Kleinoth/ Schoͤnes Contrafect/ Alter Majeſtaͤtbrieff: Aus den Centnerworten Joh. 3. ꝟ. 16. JESVS ſprach: Alſo hat Gott die Welt ꝛc. Bey Chriſtlicher Sepultur, Deß Weyland Wol Ehrwuͤrdigen/ Achtbarn/ vnd Hochgelarten Herren: Ulrici Cutzschenreuteri, PfarrErs zu S. Petri vnd Pauli in Liegnitz/ deß Fuͤrſtl. Conſiſtorii Aßeßoris Primarii, vnd deß Liegnitz-vnnd Wohlawiſchen Fuͤrſtenthumbs Wolverdienten Vice-Superintendentis: Den 7. Decembr. A. 1638. daſelbſt: In Liegnitz-vnd Wohlauiſchen Fůrſtenthumbs Prieſterſchafft/ vnd ſonſt Volckreicher Verſamblung einfaltig fuͤrgetragen: durch Georg. Thebesium Lign-bey der OberKirchẽ zu S. Petri vnd Pauli Miniſtrum. Zu Breßlaw druckts Georg Baumann.",gleubiger chriſten vierfacheꝛ seelenſchatz gutter wanderſtab koͤſtliches kleinoth schoͤnes contrafect alter majeſtaͤtbrieff aus den centnerworten joh ꝟ jesvs ſprach alſo hat gott die welt ꝛc bey chriſtlicher sepultur deß weyland wol ehrwuͤrdigen achtbarn vnd hochgelarten herren ulrici cutzschenreuteri pfarrers zu s petri vnd pauli in liegnitz deß fuͤrſtl conſiſtorii aßeßoris primarii vnd deß liegnitzvnnd wohlawiſchen fuͤrſtenthumbs wolverdienten vicesuperintendentis den decembr a daſelbſt in liegnitzvnd wohlauiſchen fůrſtenthumbs prieſterſchafft vnd ſonſt volckreicher verſamblung einfaltig fuͤrgetragen durch georg thebesium lignbey der oberkirchẽ zu s petri vnd pauli miniſtrum zu breßlaw druckts georg baumann,gleubiger christen uierfache seelenschatz gutter wanderstab kostliches kleinoth schones contrafect alter maiestatbrieff aus den centnerworten ioh iesus sprach also hat gott die welt c bey christlicher sepultur dess weyland wol ehrwurdigen achtbarn und hochgelarten herren ulrici cutzschenreuteri pfarrers zu s petri und pauli in liegnitz dess furstl consistorii assessoris primarii und dess liegnitzunnd wohlawischen furstenthumbs woluerdienten uicesuperintendentis den decembr a daselbst in liegnitzund wohlauischen furstenthumbs priesterschafft und sonst uolckreicher uersamblung einfaltig furgetragen durch georg thebesium lignbey der oberkirchen zu s petri und pauli ministrum zu bresslaw druckts georg baumann
386420,body,1,0,False,[2],"Denen Ehrbaren/ VielEhrentugendreichen Frawen Annæ Cutzschreuterin, G. Schwenckfeldin: Wittiben: So wol Frawen Helenæ FriedrichinElisabethæ Schafin Katharinæ SchultzinGebohrnen Kutſch Reuterinnen: Vnd denen Ehrenveſten/ Wohlweyſen/ Wohlgelehrten/ vnd Wohlbenambten Herren: Chriſtiano Fꝛiederich J. U. L. vnd Practico: Balthaſari Schafen J. U. C. vnd Senatori: Georgio Schultzen/ J. U. C. vnd Practico: Joanni Cutzſchenreutero Art. liberal.",denen ehrbaren vielehrentugendreichen frawen annæ cutzschreuterin g schwenckfeldin wittiben so wol frawen helenæ friedrichinelisabethæ schafin katharinæ schultzingebohrnen kutſch reuterinnen vnd denen ehrenveſten wohlweyſen wohlgelehrten vnd wohlbenambten herren chriſtiano fꝛiederich j u l vnd practico balthaſari schafen j u c vnd senatori georgio schultzen j u c vnd practico joanni cutzſchenreutero art liberal,denen ehrbaren uielehrentugendreichen frawen annae cutzschreuterin g schwenckfeldin wittiben so wol frawen helenae friedrichinelisabethae schafin katharinae schultzingebohrnen kutsch reuterinnen und denen ehrenuesten wohlweysen wohlgelehrten und wohlbenambten herren christiano fiederich i u l und practico balthasari schafen i u c und senatori georgio schultzen i u c und practico ioanni cutzschenreutero art liberal
386420,body,1,1,True,[2],Studioſo: Weiland Herren Ulrici CutzſchenReuters PfarrErs vnd Vice-Superintendentens in Liegnitz reſpectivè hinterbliebenen Fr. Wittiben/ Fr. Toͤchteren/ Herren AydamßMaͤnnern/ vnd einigem Sohne:,studioſo weiland herren ulrici cutzſchenreuters pfarrers vnd vicesuperintendentens in liegnitz reſpectivè hinterbliebenen fr wittiben fr toͤchteren herren aydamßmaͤnnern vnd einigem sohne,studioso weiland herren ulrici cutzschenreuters pfarrers und uicesuperintendentens in liegnitz respectiue hinterbliebenen fr wittiben fr tochteren herren aydamssmannern und einigem sohne
386420,body,2,0,True,[2],Vbergiebet dieſe Predigt auff begehren: Georg. Thebesius.,vbergiebet dieſe predigt auff begehren georg thebesius,ubergiebet diese predigt auff begehren georg thebesius
386420,head,3,0,True,[3],Proæmium.,proæmium,proaemium
386420,body,4,0,True,[3],Das walte aller betruͤbten vnnd geaͤngſteten Hertzen einiger Troſt vnd Nothhelffer (+) Chriſtus Jeſus/ welcher beydes verletzet vnd verbindet/ (*) betruͤbet vnd ſich wider erbarmet nach ſeiner groſſẽ guͤtte/ (Δ) der wolle ſam̃t ſeinem himliſchen Vater/ auch zu dieſem mahl vns/ vnd allen Leidtragenden vnd mitleidenden Hertzen/ in dieſem Traur-vnd Gotteß Hauſe gnaͤdiglich beywohnen/ mit dem Troſt ſeinesGoͤttlichen Wortes/ inkrafft deß Heyligen Geiſtes! AMEN.,das walte aller betruͤbten vnnd geaͤngſteten hertzen einiger troſt vnd nothhelffer chriſtus jeſus welcher beydes verletzet vnd verbindet betruͤbet vnd ſich wider erbarmet nach ſeiner groſſẽ guͤtte δ der wolle ſam̃t ſeinem himliſchen vater auch zu dieſem mahl vns vnd allen leidtragenden vnd mitleidenden hertzen in dieſem traurvnd gotteß hauſe gnaͤdiglich beywohnen mit dem troſt ſeinesgoͤttlichen wortes inkrafft deß heyligen geiſtes amen,das walte aller betrubten unnd geangsteten hertzen einiger trost und nothhelffer christus iesus welcher beydes uerletzet und uerbindet betrubet und sich wider erbarmet nach seiner grossen gutte der wolle sammt seinem himlischen uater auch zu diesem mahl uns und allen leidtragenden und mitleidenden hertzen in diesem traurund gottess hause gnadiglich beywohnen mit dem trost seinesgottlichen wortes inkrafft dess heyligen geistes amen
386420,body,5,0,False,[3],ANdaͤchtige/ Außerwehlete/ Vielgeliebte in Chriſto dem HErren/ vnd zweyfels ohne hochbetruͤbte vnd mitleydende im Hertzen: Wir haben heute abermal nach GOttes vnerforſchlichem Wege (a) vnnd Willen/ bey dieſer Kirchen einen Prieſterlichen Klagvnd TrauerTag; vnnd man ſihet/ es giebet in dieſer Volckreichen Verſamblung viel jammerige hertzen/ viel betruͤbte gemuͤtter/ viel weinende augen: Dieweil Gott der HErr vns vnd dieſe Stadt/ inſonderheit dieſe Kirche vnd Gemeinde abermals voll Jammers gemacht hat am tage ſeines grimmigen Zorns/ (b) denn Er hat einmahl vns voll Jammers gemacht/ alß Er vergangenen 3. Novembris dieſes Jahres/ bey dieſer Kirchen einen groſſen Rieß gethan (c) vnd vnſern Seeligen Herren Archi-Diaconum (d) einen Alten vnnd Wolverdienten Prediger vnd Seelen Hirten (e) vnnd wolgeuͤbten Streiter JEſu Chriſti (f) durch den Zeitlichen Todt abgefodert hat.,andaͤchtige außerwehlete vielgeliebte in chriſto dem herren vnd zweyfels ohne hochbetruͤbte vnd mitleydende im hertzen wir haben heute abermal nach gottes vnerforſchlichem wege a vnnd willen bey dieſer kirchen einen prieſterlichen klagvnd trauertag vnnd man ſihet es giebet in dieſer volckreichen verſamblung viel jammerige hertzen viel betruͤbte gemuͤtter viel weinende augen dieweil gott der herr vns vnd dieſe stadt inſonderheit dieſe kirche vnd gemeinde abermals voll jammers gemacht hat am tage ſeines grimmigen zorns b denn er hat einmahl vns voll jammers gemacht alß er vergangenen novembris dieſes jahres bey dieſer kirchen einen groſſen rieß gethan c vnd vnſern seeligen herren archidiaconum d einen alten vnnd wolverdienten prediger vnd seelen hirten e vnnd wolgeuͤbten streiter jeſu chriſti f durch den zeitlichen todt abgefodert hat,andachtige ausserwehlete uielgeliebte in christo dem herren und zweyfels ohne hochbetrubte und mitleydende im hertzen wir haben heute abermal nach gottes unerforschlichem wege a unnd willen bey dieser kirchen einen priesterlichen klagund trauertag unnd man sihet es giebet in dieser uolckreichen uersamblung uiel iammerige hertzen uiel betrubte gemutter uiel weinende augen dieweil gott der herr uns und diese stadt insonderheit diese kirche und gemeinde abermals uoll iammers gemacht hat am tage seines grimmigen zorns b denn er hat einmahl uns uoll iammers gemacht alss er uergangenen nouembris dieses iahres bey dieser kirchen einen grossen riess gethan c und unsern seeligen herren archidiaconum d einen alten unnd woluerdienten prediger und seelen hirten e unnd wolgeubten streiter iesu christi f durch den zeitlichen todt abgefodert hat
386420,body,5,1,True,[4],(g) Wie jammerig ſahen viel frohme Hertzen damals dieſe Cantzel an/ daß auff derſelben ein ſo ſchoͤnes anſehliches Kirchen Licht (h) verloſchen war.,g wie jammerig ſahen viel frohme hertzen damals dieſe cantzel an daß auff derſelben ein ſo ſchoͤnes anſehliches kirchen licht h verloſchen war,g wie iammerig sahen uiel frohme hertzen damals diese cantzel an dass auff derselben ein so schones ansehliches kirchen licht h uerloschen war
386420,body,6,0,True,[4],Wie jammerig ſahen ſie an das hohe Altar/ neben welchem der treue Haußhalter vber Gottes Geheimnuͤſſe (i) niedergeſuncken war.,wie jammerig ſahen ſie an das hohe altar neben welchem der treue haußhalter vber gottes geheimnuͤſſe i niedergeſuncken war,wie iammerig sahen sie an das hohe altar neben welchem der treue hausshalter uber gottes geheimnusse i niedergesuncken war
386420,body,7,0,True,[4],Wie jammerig ſahen ſie den Tauffſtein vnd Beichtſtuhl an/ dieweil der treue Legat Chriſti (k) hinweg/ vnnd nicht mehr verhanden war.,wie jammerig ſahen ſie den tauffſtein vnd beichtſtuhl an dieweil der treue legat chriſti k hinweg vnnd nicht mehr verhanden war,wie iammerig sahen sie den tauffstein und beichtstuhl an dieweil der treue legat christi k hinweg unnd nicht mehr uerhanden war
