doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
micraelius_pommernland05_1639,head,0,0,True,1,Johannis Micraelij Erſtes Theil Der Letzten Pommerſchen Jahr-Geſchichten/ Vom 1606. Jahr biß auff die Kaͤyſerliche Einquartierung in Pommern/ Vnd alſo Das Vierdte Buch Vom PommerLande. Gedruckt zu Alten Stetin/ Bey vnd in Vorlegung Georg Rheten/ Anno M. DC. XXXIX.,johannis micraelij erſtes theil der letzten pommerſchen jahrgeſchichten vom jahr biß auff die kaͤyſerliche einquartierung in pommern vnd alſo das vierdte buch vom pommerlande gedruckt zu alten stetin bey vnd in vorlegung georg rheten anno m dc xxxix,iohannis micraelii erstes theil der letzten pommerschen iahrgeschichten uom iahr biss auff die kayserliche einquartierung in pommern und also das uierdte buch uom pommerlande gedruckt zu alten stetin bey und in uorlegung georg rheten anno m dc xxxix
micraelius_pommernland05_1639,body,1,0,False,3,Dem Hochwolgebornen/ Hoch Edlen Grafen vnd Herren/ Herren Caſparn/ Graffen von Eberſtein/ Herrn zu Newgarten vnd Maſſow/ Meinem gnaͤdigen Herren/ Wie auch Denen Wollwuͤrdigen/ Hoch Edlen/ Geſtrengen vnd Veſten Herren Paul Damizen/ Fuͤrſtl.,dem hochwolgebornen hoch edlen grafen vnd herren herren caſparn graffen von eberſtein herrn zu newgarten vnd maſſow meinem gnaͤdigen herren wie auch denen wollwuͤrdigen hoch edlen geſtrengen vnd veſten herren paul damizen fuͤrſtl,dem hochwolgebornen hoch edlen grafen und herren herren casparn graffen uon eberstein herrn zu newgarten und massow meinem gnadigen herren wie auch denen wollwurdigen hoch edlen gestrengen und uesten herren paul damizen furstl
micraelius_pommernland05_1639,body,1,1,False,3,Biſchoͤfflichen Statthalter des Stifftes Cammin/ vnd Fuͤrſtlichen geheimbten Rhats in Alten Stetin Præſidenten/ auff Strachmin/ Ravenſtein/ Strippow Erbgeſeſſen/ Vnd Herren Philipp Hornen/ Jhrer Koͤnigl. Mayt. zu Schweden wollbeſtalten/ Wie auch Fuͤrſtl.,biſchoͤfflichen statthalter des stifftes cammin vnd fuͤrſtlichen geheimbten rhats in alten stetin præſidenten auff strachmin ravenſtein strippow erbgeſeſſen vnd herren philipp hornen jhrer koͤnigl mayt zu schweden wollbeſtalten wie auch fuͤrſtl,bischofflichen statthalter des stifftes cammin und furstlichen geheimbten rhats in alten stetin praesidenten auff strachmin rauenstein strippow erbgesessen und herren philipp hornen ihrer konigl mayt zu schweden wollbestalten wie auch furstl
micraelius_pommernland05_1639,body,1,2,True,3,"Pommeriſchen hinterlaſſenen geheimbten Rhat/ vnd Wollgaſtiſchen Hoffgerichts Præſidenten/ eines Ehrwuͤrdigen Thumb Capittuls in Cammin Canonico, auff Frawendorff/ Divitz vnd Slatekow Erbgeſeſſen/ Meinen hochgeehrten großgoͤnſtigen Herren vnd maͤchtigen Foͤrderern.",pommeriſchen hinterlaſſenen geheimbten rhat vnd wollgaſtiſchen hoffgerichts præſidenten eines ehrwuͤrdigen thumb capittuls in cammin canonico auff frawendorff divitz vnd slatekow erbgeſeſſen meinen hochgeehrten großgoͤnſtigen herren vnd maͤchtigen foͤrderern,pommerischen hinterlassenen geheimbten rhat und wollgastischen hoffgerichts praesidenten eines ehrwurdigen thumb capittuls in cammin canonico auff frawendorff diuitz und slatekow erbgesessen meinen hochgeehrten grossgonstigen herren und machtigen forderern
micraelius_pommernland05_1639,body,2,0,False,3,HOchwollgeborner/ Wollwuͤrdige/ Hoch-vñ Woll Edle/ Geſtrenge/ Veſte Herren/ Ob wol es gefaͤhrlich iſt/ dero Zeiten Geſchichte zubeſchreiben/ darin man lebet/ weil leicht die Warheit/ ſo die Hiſtoria vngeſchewet bezeugen mus/ eine Offens erregen kan/ dennoch bin ich vnvermuthlich durch die angeſtellete Beſchreibung des Alten Pommerlandes/ welche ich bey vnſers letzten Hochſeligſten Landes Herrn vnd Vatern Abgang/ aus eingepflantzeter Liebe gegen mein Vaterland/ auff mich genommen/ nach deme ich einmahl die Feder angeſetzet/ ſo weit gekommen/ das ich mich aus dem alten Pommerlande in das Newe habe verleiten laſſen/ vnd eines ſolchen Werckes mich vnterfangen/ dabey ich mich von denen/ ſo der Hiſtorien Natur nicht verſtehen/ allerley vngewogene Vrtheil vnd wiederwertige Judicia zuvermuten habe.,hochwollgeborner wollwuͤrdige hochvñ woll edle geſtrenge veſte herren ob wol es gefaͤhrlich iſt dero zeiten geſchichte zubeſchreiben darin man lebet weil leicht die warheit ſo die hiſtoria vngeſchewet bezeugen mus eine offens erregen kan dennoch bin ich vnvermuthlich durch die angeſtellete beſchreibung des alten pommerlandes welche ich bey vnſers letzten hochſeligſten landes herrn vnd vatern abgang aus eingepflantzeter liebe gegen mein vaterland auff mich genommen nach deme ich einmahl die feder angeſetzet ſo weit gekommen das ich mich aus dem alten pommerlande in das newe habe verleiten laſſen vnd eines ſolchen werckes mich vnterfangen dabey ich mich von denen ſo der hiſtorien natur nicht verſtehen allerley vngewogene vrtheil vnd wiederwertige judicia zuvermuten habe,hochwollgeborner wollwurdige hochunn woll edle gestrenge ueste herren ob wol es gefahrlich ist dero zeiten geschichte zubeschreiben darin man lebet weil leicht die warheit so die historia ungeschewet bezeugen mus eine offens erregen kan dennoch bin ich unuermuthlich durch die angestellete beschreibung des alten pommerlandes welche ich bey unsers letzten hochseligsten landes herrn und uatern abgang aus eingepflantzeter liebe gegen mein uaterland auff mich genommen nach deme ich einmahl die feder angesetzet so weit gekommen das ich mich aus dem alten pommerlande in das newe habe uerleiten lassen und eines solchen werckes mich unterfangen dabey ich mich uon denen so der historien natur nicht uerstehen allerley ungewogene urtheil und wiederwertige iudicia zuuermuten habe
micraelius_pommernland05_1639,body,2,1,False,4,Jch auch ſelbſt/ nach deme ich in den drey erſten Buͤchern dem Alten Pommerlande ſein Recht gethan/ hette ſchon die Feder weggeworffen/ vnd wolte es dabey bewenden laſſen.,jch auch ſelbſt nach deme ich in den drey erſten buͤchern dem alten pommerlande ſein recht gethan hette ſchon die feder weggeworffen vnd wolte es dabey bewenden laſſen,ich auch selbst nach deme ich in den drey ersten buchern dem alten pommerlande sein recht gethan hette schon die feder weggeworffen und wolte es dabey bewenden lassen
micraelius_pommernland05_1639,body,2,2,False,4,Aber weil alſo die letzte Fuͤrſten des Landes weren verbeygegangen/ vnd ein vnvolkommen Werck hette muͤſſen herauß gegeben werden/ als habe ich mich des maͤchtigen patrocinij getroͤſtet/ das bey erzehlung der newlichſten Geſchichte/ ſo im Pommerlande vorgegangen/ von E. Gn. vnd W. E. E. Geſtr. mir widerfahren kan.,aber weil alſo die letzte fuͤrſten des landes weren verbeygegangen vnd ein vnvolkommen werck hette muͤſſen herauß gegeben werden als habe ich mich des maͤchtigen patrocinij getroͤſtet das bey erzehlung der newlichſten geſchichte ſo im pommerlande vorgegangen von e gn vnd w e e geſtr mir widerfahren kan,aber weil also die letzte fursten des landes weren uerbeygegangen und ein unuolkommen werck hette mussen herauss gegeben werden als habe ich mich des machtigen patrocinii getrostet das bey erzehlung der newlichsten geschichte so im pommerlande uorgegangen uon e gn und w e e gestr mir widerfahren kan
micraelius_pommernland05_1639,body,2,3,False,4,Vnd vmb ſolcher Vrſache willen ſind mit E. Gn. vnd W. E. E. Geſtr.,vnd vmb ſolcher vrſache willen ſind mit e gn vnd w e e geſtr,und umb solcher ursache willen sind mit e gn und w e e gestr
micraelius_pommernland05_1639,body,2,4,False,4,Nahmen dieſe meine letzte Buͤcher befeſtiget vnd gezieret/ das jederman/ weſſen zu jhnen ich mich bey allerley vermuth- vnd vnvermuthlichen affterred- vnd Anfeidungen zuverſehen habe/ dabey abnehmen moͤge.,nahmen dieſe meine letzte buͤcher befeſtiget vnd gezieret das jederman weſſen zu jhnen ich mich bey allerley vermuth vnd vnvermuthlichen affterred vnd anfeidungen zuverſehen habe dabey abnehmen moͤge,nahmen diese meine letzte bucher befestiget und gezieret das iederman wessen zu ihnen ich mich bey allerley uermuth und unuermuthlichen affterred und anfeidungen zuuersehen habe dabey abnehmen moge
micraelius_pommernland05_1639,body,2,5,False,4,E. Gn. vnd W. E. E. Geſtr. hoͤren nicht auff fuͤr das auffs euſſerſte in dieſen verderblichen Kriegen ausgemergelte Vaterland/ nebenſt denen andern/ ſo das Ruder des Nothleidenden Schiffleins in dieſen ſchrecklichen vnd uͤberhandnehmenden Sturmwinden halten muͤſſen/ zuſorgen/ vnd ſich nach einem gewuͤndſcheten Hafen/ darin es in Sicherheit ſein koͤnne/ vmbzuſehen.,e gn vnd w e e geſtr hoͤren nicht auff fuͤr das auffs euſſerſte in dieſen verderblichen kriegen ausgemergelte vaterland nebenſt denen andern ſo das ruder des nothleidenden schiffleins in dieſen ſchrecklichen vnd uͤberhandnehmenden sturmwinden halten muͤſſen zuſorgen vnd ſich nach einem gewuͤndſcheten hafen darin es in sicherheit ſein koͤnne vmbzuſehen,e gn und w e e gestr horen nicht auff fur das auffs eusserste in diesen uerderblichen kriegen ausgemergelte uaterland nebenst denen andern so das ruder des nothleidenden schiffleins in diesen schrecklichen und uberhandnehmenden sturmwinden halten mussen zusorgen und sich nach einem gewundscheten hafen darin es in sicherheit sein konne umbzusehen
