doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
360685a,head,0,0,True,,Seqvuntur Epicedia.,seqvuntur epicedia,sequuntur epicedia
360685a,body,1,0,True,2,"In Obitum Viri Clarissimi Dn. M. Georgii Kirſtenii, Superattendentis Olſnenſis Vigilantiſsimi.",in obitum viri clarissimi dn m georgii kirſtenii superattendentis olſnenſis vigilantiſsimi,in obitum uiri clarissimi dn m georgii kirstenii superattendentis olsnensis uigilantissimi
360685a,body,2,0,True,2,DIvini interpres verbi doctusꝙ piusꝙ,divini interpres verbi doctusꝙ piusꝙ,diuini interpres uerbi doctusquod piusquod
360685a,body,3,0,True,2,Qui fuit: imò ſacri ſplendor honosꝙ Chori.,qui fuit imò ſacri ſplendor honosꝙ chori,qui fuit imo sacri splendor honosquod chori
360685a,body,4,0,True,2,Præſes in Olſnenſi Myſtarum quippe Ducatu:,præſes in olſnenſi myſtarum quippe ducatu,praeses in olsnensi mystarum quippe ducatu
360685a,body,5,0,True,2,Ingenii cui dos plurima & eloquii;,ingenii cui dos plurima & eloquii,ingenii cui dos plurima et eloquii
360685a,body,6,0,True,2,"Sed, Christum præter crucifixum, cætera cuncta",sed christum præter crucifixum cætera cuncta,sed christum praeter crucifixum caetera cuncta
360685a,body,7,0,True,2,Non niſi erant nugæ quis quiliæꝙ leves.,non niſi erant nugæ quis quiliæꝙ leves,non nisi erant nugae quis quiliaequod leues
360685a,body,8,0,True,2,"Kirstenium ne, inquam, clauſum iſto creditis eſſe",kirstenium ne inquam clauſum iſto creditis eſſe,kirstenium ne inquam clausum isto creditis esse
360685a,body,9,0,True,2,"Saxo, queis vivi contigit ore frui?",saxo queis vivi contigit ore frui,saxo queis uiui contigit ore frui
360685a,body,10,0,True,2,Vana ea credulitas. Ignito credite curru,vana ea credulitas ignito credite curru,uana ea credulitas ignito credite curru
360685a,body,11,0,True,2,Subvectum ad cœli lucida templa virum.,subvectum ad cœli lucida templa virum,subuectum ad coeli lucida templa uirum
360685a,body,12,0,True,2,"Curnus nempe Fides, haut mortua; amoris at illa",curnus nempe fides haut mortua amoris at illa,curnus nempe fides haut mortua amoris at illa
360685a,body,13,0,True,2,"Accenſa, inꝙ homines, ignibus, inꝙ Deum.",accenſa inꝙ homines ignibus inꝙ deum,accensa inquod homines ignibus inquod deum
360685a,body,14,0,True,2,Hâc quia vos docuit ſummum tranſcendere Olympum:,hâc quia vos docuit ſummum tranſcendere olympum,hac quia uos docuit summum transcendere olympum
360685a,body,15,0,True,2,Nolitis veſtrum cur præiiſſe ducem?,nolitis veſtrum cur præiiſſe ducem,nolitis uestrum cur praeiisse ducem
360685a,body,16,0,True,2,"O felix iter! At quicquid tellure repoſtum eſt,",o felix iter at quicquid tellure repoſtum eſt,o felix iter at quicquid tellure repostum est
360685a,body,17,0,True,2,Kirstenii chlamys hoc nonniſi ſola fuit.,kirstenii chlamys hoc nonniſi ſola fuit,kirstenii chlamys hoc nonnisi sola fuit
360685a,body,18,0,True,2,"Nicolaus Henelius U.J.D. Conſiliarius Cæſareus, nec non Ducatus Monſterbergici ac. Territorii Francoſteinenſis Pro-Cancellarius.",nicolaus henelius u j d conſiliarius cæſareus nec non ducatus monſterbergici ac territorii francoſteinenſis procancellarius,nicolaus henelius u i d consiliarius caesareus nec non ducatus monsterbergici ac territorii francosteinensis procancellarius
360685a,body,19,0,True,3,"QUi Superattendens in terrâ huc usq̀; fuiſti,",qui superattendens in terrâ huc usq̀ fuiſti,qui superattendens in terra huc usq fuisti
360685a,body,20,0,True,3,Chriſticolam ſanctâ voce regendo Gregem.,chriſticolam ſanctâ voce regendo gregem,christicolam sancta uoce regendo gregem
360685a,body,21,0,True,3,"Nunc ſuperadſcendens terram, petis aſtra, beato",nunc ſuperadſcendens terram petis aſtra beato,nunc superadscendens terram petis astra beato
360685a,body,22,0,True,3,Cœlicolûm felix conſociate Gregi.,cœlicolûm felix conſociate gregi,coelicolum felix consociate gregi
360685a,body,23,0,True,3,"Attendat Fidei, Vitæ, Verboꝙ, Gregiꝙ",attendat fidei vitæ verboꝙ gregiꝙ,attendat fidei uitae uerboquod gregiquod
360685a,body,24,0,True,3,"Paſtor, ut adſcendat post ſua fata Polum.",paſtor ut adſcendat post ſua fata polum,pastor ut adscendat post sua fata polum
360685a,body,25,0,False,3,"f. Christophorus Schlegelius, S.S. Theologiæ Licentiatus, Vratis L. ad D. Eliſab.",f christophorus schlegelius s s theologiæ licentiatus vratis l ad d eliſab,f christophorus schlegelius s s theologiae licentiatus uratis l ad d elisab
360685a,body,25,1,True,3,"Eccleſiaſtes, & Gymnaſij S. S. Literarum Profeſſor.",eccleſiaſtes & gymnaſij s s literarum profeſſor,ecclesiastes et gymnasii s s literarum professor
360685a,body,26,0,True,3,"Et TU morborum poſt tot diſcrimina, tamdem",et tu morborum poſt tot diſcrimina tamdem,et tu morborum post tot discrimina tamdem
360685a,body,27,0,True,3,"KiRsteni ad plures, me quoꝙ morte præis?",kirsteni ad plures me quoꝙ morte præis,kirsteni ad plures me quoquod morte praeis
360685a,body,28,0,True,3,"Immò præis: voti jam factus compos, ut à tot",immò præis voti jam factus compos ut à tot,immo praeis uoti iam factus compos ut a tot
360685a,body,29,0,True,3,Torminibus Liber corporis eſſe queas.,torminibus liber corporis eſſe queas,torminibus liber corporis esse queas
360685a,body,30,0,True,3,O Te felicem! quin toto ex aſſe Beatum!,o te felicem quin toto ex aſſe beatum,o te felicem quin toto ex asse beatum
360685a,body,31,0,True,3,"Cuî mortis numerò, contigit iſta quies.",cuî mortis numerò contigit iſta quies,cui mortis numero contigit ista quies
360685a,body,32,0,True,3,Hicce dolor nullus magè te torquere Podagræ,hicce dolor nullus magè te torquere podagræ,hicce dolor nullus mage te torquere podagrae
