doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
509200,body,0,0,True,1,"TERRA MORIENTIUM DAMNATA, Et Regio Viventium Beata. Das iſt Daß Verbandte/ vnſichere vnd vngewiſſe SterbeLand/ vnd Sicheres/ Herꝛliches/ Geſegnetes/ Ewiges FriedenLandt/ auß dem 32 Cap. Eſaiæ, Bey Der Chriſtlichen Volckreichen Sepultur, Des Weyland Edlen/ Geſtrengen/ Ehrenveſten/ Wolbenambten vnd Hochgelahrten Herꝛn Paul Friedlands/ geweſenem Fuͤrſtl: Muͤnſterbergiſchem Olßniſchem Raths/ welcher den 20 Februarij, des Morgends/ in dieſem Lauffenden 1639 Jahre/ war der Sontag Septuageſima, nach außgeſtandener vnverſehener/ Ploͤtzlichen/ groſſen Leibes Schwachheit/ im HErrn ſeliglich entſchlaffen/ vnd folgenden Sontag/ als den 27 ejusdem, mit Chriſtlichen gebuͤhrlichen Ceremonien/ bey hiegiſcher/ Olßniſchen Schloß vnd Pfarꝛkirchen/ zu ſeinem Ruh vnd Schlaffkaͤmmerlein gebracht worden. Abgehandelt vnd Erklaͤret in einer Leichpredigt/ Von M. Georgio Seidelio, Fuͤrſtl: Muͤnſterbergiſchem Olßniſchem Hoff vnd Stadt Prediger/ vnd deſſelbten Presbyterij Primario Seniore. Gedruckt zur Olſſe/ bey Johan: Boͤſſemeſſer.",terra morientium damnata et regio viventium beata das iſt daß verbandte vnſichere vnd vngewiſſe sterbeland vnd sicheres herꝛliches geſegnetes ewiges friedenlandt auß dem cap eſaiæ bey der chriſtlichen volckreichen sepultur des weyland edlen geſtrengen ehrenveſten wolbenambten vnd hochgelahrten herꝛn paul friedlands geweſenem fuͤrſtl muͤnſterbergiſchem olßniſchem raths welcher den februarij des morgends in dieſem lauffenden jahre war der sontag septuageſima nach außgeſtandener vnverſehener ploͤtzlichen groſſen leibes schwachheit im herrn ſeliglich entſchlaffen vnd folgenden sontag als den ejusdem mit chriſtlichen gebuͤhrlichen ceremonien bey hiegiſcher olßniſchen schloß vnd pfarꝛkirchen zu ſeinem ruh vnd schlaffkaͤmmerlein gebracht worden abgehandelt vnd erklaͤret in einer leichpredigt von m georgio seidelio fuͤrſtl muͤnſterbergiſchem olßniſchem hoff vnd stadt prediger vnd deſſelbten presbyterij primario seniore gedruckt zur olſſe bey johan boͤſſemeſſer,terra morientium damnata et regio uiuentium beata das ist dass uerbandte unsichere und ungewisse sterbeland und sicheres herliches gesegnetes ewiges friedenlandt auss dem cap esaiae bey der christlichen uolckreichen sepultur des weyland edlen gestrengen ehrenuesten wolbenambten und hochgelahrten hern paul friedlands gewesenem furstl munsterbergischem olssnischem raths welcher den februarii des morgends in diesem lauffenden iahre war der sontag septuagesima nach aussgestandener unuersehener plotzlichen grossen leibes schwachheit im herrn seliglich entschlaffen und folgenden sontag als den eiusdem mit christlichen gebuhrlichen ceremonien bey hiegischer olssnischen schloss und pfarkirchen zu seinem ruh und schlaffkammerlein gebracht worden abgehandelt und erklaret in einer leichpredigt uon m georgio seidelio furstl munsterbergischem olssnischem hoff und stadt prediger und desselbten presbyterii primario seniore gedruckt zur olsse bey iohan bossemesser
509200,head,1,0,True,3,Præfatio.,præfatio,praefatio
509200,body,2,0,True,3,Gott ſey mit vns/ vnd troͤſte vns/ mit dem beſten Trõſter/ ſeinem Heiligen Geiſt/ vmb JEſu Chriſti/ ſeines lieben Sohn es/ vnſeres HErꝛn vnd Heylandes willen.,gott ſey mit vns vnd troͤſte vns mit dem beſten trõſter ſeinem heiligen geiſt vmb jeſu chriſti ſeines lieben sohn es vnſeres herꝛn vnd heylandes willen,gott sey mit uns und troste uns mit dem besten tronster seinem heiligen geist umb iesu christi seines lieben sohn es unseres hern und heylandes willen
509200,body,3,0,False,3,ERlauchte/ Andaͤchtige/ alleſambt Geliebte/ vnd zum theil auch von Hertzen betruͤbte Chriſten.,erlauchte andaͤchtige alleſambt geliebte vnd zum theil auch von hertzen betruͤbte chriſten,erlauchte andachtige allesambt geliebte und zum theil auch uon hertzen betrubte christen
509200,body,3,1,False,3,"Heute acht Tage/ als man inn offentlichen Kirchen Verſamlungen/ von dem Lohn der Arbeiter/ im Weinberg des HERREN geprediget/ hat der Allmaͤchtige Gott/ nach ſeinem vnwandelbaren Rath vnd Willen/ einen Fuͤrnehmen Anſehlichen Arbeiter/ im Fuͤrſtlichen Regiment alhie/ in der beſten bluͤte ſeines alters/ zu ſich/ in das Ewige leben/ abgefordert/ Den Weyland Edlen/ Geſtrengen/ Ehrenveſten/ Wolbenambten vnd Hochgelaͤhrten Herꝛen Paulum Friedlandum, Wolverordneten Fuͤrſtl: Muͤnſterbergiſchen Olßniſchen Rath allhier/ vnd zu Jhme geſaget: Paule, Du haſt genung gepflantzet vnd gearbeitet/ vnd biſt ein fromer vnd getrewer Knecht geweſen inn meinem Weinberg/ gehe nun auch ein in deines HERRN frewde.",heute acht tage als man inn offentlichen kirchen verſamlungen von dem lohn der arbeiter im weinberg des herren geprediget hat der allmaͤchtige gott nach ſeinem vnwandelbaren rath vnd willen einen fuͤrnehmen anſehlichen arbeiter im fuͤrſtlichen regiment alhie in der beſten bluͤte ſeines alters zu ſich in das ewige leben abgefordert den weyland edlen geſtrengen ehrenveſten wolbenambten vnd hochgelaͤhrten herꝛen paulum friedlandum wolverordneten fuͤrſtl muͤnſterbergiſchen olßniſchen rath allhier vnd zu jhme geſaget paule du haſt genung gepflantzet vnd gearbeitet vnd biſt ein fromer vnd getrewer knecht geweſen inn meinem weinberg gehe nun auch ein in deines herrn frewde,heute acht tage als man inn offentlichen kirchen uersamlungen uon dem lohn der arbeiter im weinberg des herren geprediget hat der allmachtige gott nach seinem unwandelbaren rath und willen einen furnehmen ansehlichen arbeiter im furstlichen regiment alhie in der besten blute seines alters zu sich in das ewige leben abgefordert den weyland edlen gestrengen ehrenuesten wolbenambten und hochgelahrten heren paulum friedlandum woluerordneten furstl munsterbergischen olssnischen rath allhier und zu ihme gesaget paule du hast genung gepflantzet und gearbeitet und bist ein fromer und getrewer knecht gewesen inn meinem weinberg gehe nun auch ein in deines herrn frewde
509200,body,3,2,True,3,"Weil denn ſein ſelig verſtorbener Leichnam/ ſoll heutiges Tages gebuͤhrlicher weiſe/ zur Erden beſtattet werden/ vnd Jch jhme/ dieſen Letzten Ehrendienſt verꝛichten/ vnd eine Chriſtliche Leichpredigt halten ſoll/ habe Jch mir fuͤrgenommen zu reden/ De Terra morientiũ & Regione viventium, von dem vnſicheren vergaͤnglichen Sterbe Land/ vnd von dem Sicheren/ Ewig wehrendem herꝛlichen Frieden Land/ welches deñ/ an einem theil den Hochbetruͤbten Leidtragenden zu troſt/ am anderen theil aber/ vns allen zu einer nothwendigen Lehre vnd Vermahnung dienen ſoll/ Bereitet darzu Ewere hertzen zu jnnbruͤnſtiger Andacht/ vnd betet mit mir ein glaͤubiges vnd Andaͤchtiges Vater vnſer.",weil denn ſein ſelig verſtorbener leichnam ſoll heutiges tages gebuͤhrlicher weiſe zur erden beſtattet werden vnd jch jhme dieſen letzten ehrendienſt verꝛichten vnd eine chriſtliche leichpredigt halten ſoll habe jch mir fuͤrgenommen zu reden de terra morientiũ & regione viventium von dem vnſicheren vergaͤnglichen sterbe land vnd von dem sicheren ewig wehrendem herꝛlichen frieden land welches deñ an einem theil den hochbetruͤbten leidtragenden zu troſt am anderen theil aber vns allen zu einer nothwendigen lehre vnd vermahnung dienen ſoll bereitet darzu ewere hertzen zu jnnbruͤnſtiger andacht vnd betet mit mir ein glaͤubiges vnd andaͤchtiges vater vnſer,weil denn sein selig uerstorbener leichnam soll heutiges tages gebuhrlicher weise zur erden bestattet werden und ich ihme diesen letzten ehrendienst uerichten und eine christliche leichpredigt halten soll habe ich mir furgenommen zu reden de terra morientium et regione uiuentium uon dem unsicheren uerganglichen sterbe land und uon dem sicheren ewig wehrendem herlichen frieden land welches denn an einem theil den hochbetrubten leidtragenden zu trost am anderen theil aber uns allen zu einer nothwendigen lehre und uermahnung dienen soll bereitet darzu ewere hertzen zu innbrunstiger andacht und betet mit mir ein glaubiges und andachtiges uater unser
509200,head,4,0,True,4,Textus deſumtus eſt ex c. 32. Eſaiæ â ꝟ. 12. uſq̀; ad ꝟ. 18. incluſivè.,textus deſumtus eſt ex c eſaiæ â ꝟ uſq̀ ad ꝟ incluſivè,textus desumtus est ex c esaiae a usq ad inclusiue
509200,body,5,0,True,4,MAn wird klagen vmb die Ecker/ ja vmb die Lieblichen Ecker/ vmb die Fruchtbahren Weinſtoͤcke.,man wird klagen vmb die ecker ja vmb die lieblichen ecker vmb die fruchtbahren weinſtoͤcke,man wird klagen umb die ecker ia umb die lieblichen ecker umb die fruchtbahren weinstocke
509200,body,6,0,True,4,Deñ es werden auff dem Acker meines Volcks Dornen vnd Hecken wachſen/ dazu vber allen Frewden Haͤuſern inn der froͤlichen Stadt.,deñ es werden auff dem acker meines volcks dornen vnd hecken wachſen dazu vber allen frewden haͤuſern inn der froͤlichen stadt,denn es werden auff dem acker meines uolcks dornen und hecken wachsen dazu uber allen frewden hausern inn der frolichen stadt
509200,body,7,0,True,4,Denn die Pallaſt werden verlaſſen ſein/ vnd die Menge in der Stadt einſam ſein/ das die Thuͤrne vñ Feſtunge/ Ewige hoͤlen werden/ vnd dem Wildt zur frewde/ den Herdẽ zur Weide.,denn die pallaſt werden verlaſſen ſein vnd die menge in der stadt einſam ſein das die thuͤrne vñ feſtunge ewige hoͤlen werden vnd dem wildt zur frewde den herdẽ zur weide,denn die pallast werden uerlassen sein und die menge in der stadt einsam sein das die thurne und festunge ewige holen werden und dem wildt zur frewde den herden zur weide
