doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
361724,body,0,0,True,,"JUDITH LYCHNVCHUS Moſaicus. Oder Judith Der guͤldene Leuchter Moſis: Bey der vornehmen Leich-procesſion Der weyland Hoch- vnd WolEdelgebohrnen/ Geſtrengen VielEhrn HochTugendreichen Frawen MAGDALENÆ Looßin/ Gebohrnen von Zedlitzin/ Frawen auff Grambſchuͤtz vnd Trebitz; Des Hoch- vnd WolEdelgebohrnen/ Geſtrengen/ Hochbenambten Herren HANSEN von Looß vnd Simbſen/ auff Grambſchitz vnd Trebitz; Kaͤyſ: auch zu Hungarn vnd Boͤhaimb Koͤn: Maytt: Ferdinandi II. Hochmildeſten Andenckens/ Raths/ vnd des GroßGlogawiſchen Fuͤrſtenthumbs Vollmaͤchtigen Landes-Hauptmans/ jetzo in GOtt ruhenden Nachgelaſſenen Frawen Wittibin: Welche zur Frawſtad Anno Chriſti 1640. den 7. Julii drey viertel auff 9. vor Mittag/ in CHriſto/ ſanfft vnd ſeelig verſchieden/ vnd folgenden 28. Tag Nov. mit Chriſt-Adelichen gewoͤhnlichen Trawr- vnd Begraͤbnuͤß-Ceremonien von dar abgefuͤhrer worden. Beſchrieben/ vnd auff Begehren zu Papier bracht durch M. MICHAELEM EDERUM, Prediger beym Kripplin CHriſti daſelbſt.",judith lychnvchus moſaicus oder judith der guͤldene leuchter moſis bey der vornehmen leichprocesſion der weyland hoch vnd woledelgebohrnen geſtrengen vielehrn hochtugendreichen frawen magdalenæ looßin gebohrnen von zedlitzin frawen auff grambſchuͤtz vnd trebitz des hoch vnd woledelgebohrnen geſtrengen hochbenambten herren hansen von looß vnd simbſen auff grambſchitz vnd trebitz kaͤyſ auch zu hungarn vnd boͤhaimb koͤn maytt ferdinandi ii hochmildeſten andenckens raths vnd des großglogawiſchen fuͤrſtenthumbs vollmaͤchtigen landeshauptmans jetzo in gott ruhenden nachgelaſſenen frawen wittibin welche zur frawſtad anno chriſti den julii drey viertel auff vor mittag in chriſto ſanfft vnd ſeelig verſchieden vnd folgenden tag nov mit chriſtadelichen gewoͤhnlichen trawr vnd begraͤbnuͤßceremonien von dar abgefuͤhrer worden beſchrieben vnd auff begehren zu papier bracht durch m michaelem ederum prediger beym kripplin chriſti daſelbſt,iudith lychnuchus mosaicus oder iudith der guldene leuchter mosis bey der uornehmen leichprocession der weyland hoch und woledelgebohrnen gestrengen uielehrn hochtugendreichen frawen magdalenae loossin gebohrnen uon zedlitzin frawen auff grambschutz und trebitz des hoch und woledelgebohrnen gestrengen hochbenambten herren hansen uon looss und simbsen auff grambschitz und trebitz kays auch zu hungarn und bohaimb kon maytt ferdinandi ii hochmildesten andenckens raths und des grossglogawischen furstenthumbs uollmachtigen landeshauptmans ietzo in gott ruhenden nachgelassenen frawen wittibin welche zur frawstad anno christi den iulii drey uiertel auff uor mittag in christo sanfft und seelig uerschieden und folgenden tag nou mit christadelichen gewohnlichen trawr und begrabnussceremonien uon dar abgefuhrer worden beschrieben und auff begehren zu papier bracht durch m michaelem ederum prediger beym kripplin christi daselbst
361724,body,1,0,True,2,"VOs meritò, Heröes Magni, Patriæq́; Columnæ,",vos meritò heröes magni patriæq́ columnæ,uos merito heroes magni patriaeq columnae
361724,body,2,0,True,2,"Lugetis Socrum, Maternam fletis Amicam.",lugetis socrum maternam fletis amicam,lugetis socrum maternam fletis amicam
361724,body,3,0,True,2,"Si Genus & Virtus, ſi Vultûs ſplendor honeſti;",si genus & virtus ſi vultûs ſplendor honeſti,si genus et uirtus si uultus splendor honesti
361724,body,4,0,True,2,Si bona fama; Caducarum ſi copia rerum,si bona fama caducarum ſi copia rerum,si bona fama caducarum si copia rerum
361724,body,5,0,True,2,"Qvos ornat, querimur: Næ Lossia jure querelis",qvos ornat querimur næ lossia jure querelis,quos ornat querimur nae lossia iure querelis
361724,body,6,0,True,2,Digna. Etenim modò non Generoſo ſtemmate nata eſt;,digna etenim modò non generoſo ſtemmate nata eſt,digna etenim modo non generoso stemmate nata est
361724,body,7,0,True,2,(Zedlicium Genus in Lyſiis prænobile terris,zedlicium genus in lyſiis prænobile terris,zedlicium genus in lysiis praenobile terris
361724,body,8,0,True,2,"Agnoſcit); Sed & eſt Aretes decorata Coronis,",agnoſcit sed & eſt aretes decorata coronis,agnoscit sed et est aretes decorata coronis
361724,body,9,0,True,2,Numinis obſequio; moderamine pectoris; Oris,numinis obſequio moderamine pectoris oris,numinis obsequio moderamine pectoris oris
361724,body,10,0,True,2,Deliciis; vultûs motu radiante ſereni;,deliciis vultûs motu radiante ſereni,deliciis uultus motu radiante sereni
