doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
weckherlin_gedichte_1641,body,0,0,True,,Georg Rodolf Weckherlins Gaiſtliche und Weltliche Gedichte. Amsterdam Bey Iohan Ianſſon Ao. 1641.,georg rodolf weckherlins gaiſtliche und weltliche gedichte amsterdam bey iohan ianſſon ao,georg rodolf weckherlins gaistliche und weltliche gedichte amsterdam bey iohan iansson ao
weckherlin_gedichte_1641,head,1,0,True,5,An den freindlichen Leſern.,an den freindlichen leſern,an den freindlichen lesern
weckherlin_gedichte_1641,body,2,0,False,5,WEil neben andern meinen guͤttern/ welche durch den vnmenſchlichen Krieg in meines brudern Ludwigs ſeeligen haͤnden (zu Stutgart vnd Blochingen) mit allem dem ſeinigen/ ja jhme ſelbſten/ vnd vnſerm Vatterland zu grund gegangen/ auch meine hinderlaſſene ſchrifften verlohren: Alß hab etlicher meiner gutten Freinden begehren Jch deſto baͤlder ſtat geben/ vnd etliche auß vielen andern/ mehrertheils von mir/ ſydher Jch Teutſchland verlaſſen/ geſchriebnen Poëſyen (weil Jch zwiſchen meinen wichtigern vnnd ſtehtigen geſchaͤfften kaum einige angenehmere/ dan dieſe/ mir natuͤrliche/ ergoͤtzung) zuſamen klauben/ vnd hiemit an das Liecht kommen laſſen wollen.,weil neben andern meinen guͤttern welche durch den vnmenſchlichen krieg in meines brudern ludwigs ſeeligen haͤnden zu stutgart vnd blochingen mit allem dem ſeinigen ja jhme ſelbſten vnd vnſerm vatterland zu grund gegangen auch meine hinderlaſſene ſchrifften verlohren alß hab etlicher meiner gutten freinden begehren jch deſto baͤlder ſtat geben vnd etliche auß vielen andern mehrertheils von mir ſydher jch teutſchland verlaſſen geſchriebnen poëſyen weil jch zwiſchen meinen wichtigern vnnd ſtehtigen geſchaͤfften kaum einige angenehmere dan dieſe mir natuͤrliche ergoͤtzung zuſamen klauben vnd hiemit an das liecht kommen laſſen wollen,weil neben andern meinen guttern welche durch den unmenschlichen krieg in meines brudern ludwigs seeligen handen zu stutgart und blochingen mit allem dem seinigen ia ihme selbsten und unserm uatterland zu grund gegangen auch meine hinderlassene schrifften uerlohren alss hab etlicher meiner gutten freinden begehren ich desto balder stat geben und etliche auss uielen andern mehrertheils uon mir sydher ich teutschland uerlassen geschriebnen poesyen weil ich zwischen meinen wichtigern unnd stehtigen geschafften kaum einige angenehmere dan diese mir naturliche ergotzung zusamen klauben und hiemit an das liecht kommen lassen wollen
weckherlin_gedichte_1641,body,2,1,False,5,Denen Jch jung bekant geweſen/ die wiſſen wol/ daß Jch ſchon vor dreyſſig jahren vnſerer Sprach reichthumb vnnd zierlichkeit den Frembden in meinen Gedichten fuͤr augen geleget: Deren die zwey Buͤchlein meiner Oden vnd Geſaͤnge vor langem durch den Druck zu Stutgart an das liecht: die vbrige aber (darunder mich allein meine in vielen Sonneten vnd andern Geſaͤngen vnd Staͤnden beſchriebene Buhlſchafft (Myrta genant) ſchier noch betriebet vnd verliebet) in des ellenden Teutſchlands fewer vnd aſchen gerahten; vnd alſo als meiner jungen thorheit funcken zu nichts worden.,denen jch jung bekant geweſen die wiſſen wol daß jch ſchon vor dreyſſig jahren vnſerer sprach reichthumb vnnd zierlichkeit den frembden in meinen gedichten fuͤr augen geleget deren die zwey buͤchlein meiner oden vnd geſaͤnge vor langem durch den druck zu stutgart an das liecht die vbrige aber darunder mich allein meine in vielen sonneten vnd andern geſaͤngen vnd staͤnden beſchriebene buhlſchafft myrta genant ſchier noch betriebet vnd verliebet in des ellenden teutſchlands fewer vnd aſchen gerahten vnd alſo als meiner jungen thorheit funcken zu nichts worden,denen ich iung bekant gewesen die wissen wol dass ich schon uor dreyssig iahren unserer sprach reichthumb unnd zierlichkeit den frembden in meinen gedichten fur augen geleget deren die zwey buchlein meiner oden und gesange uor langem durch den druck zu stutgart an das liecht die ubrige aber darunder mich allein meine in uielen sonneten und andern gesangen und standen beschriebene buhlschafft myrta genant schier noch betriebet und uerliebet in des ellenden teutschlands fewer und aschen gerahten und also als meiner iungen thorheit funcken zu nichts worden
weckherlin_gedichte_1641,body,2,2,False,6,Jnmaſſen dan gewiß daß Gleichwie Wir menſchen dahin ſterben/ Alſo auch vnſre Werck verderben.,jnmaſſen dan gewiß daß gleichwie wir menſchen dahin ſterben alſo auch vnſre werck verderben,inmassen dan gewiss dass gleichwie wir menschen dahin sterben also auch unsre werck uerderben
weckherlin_gedichte_1641,body,2,3,False,6,Waferꝛ nu diſe wenig ſtuͤcke auch dir wie andern meinen freinden angenehm ſeyn/ So moͤgen ſie vielleicht aͤlter dan jhre gedachte aͤltere geſchwi ſtrigte werden.,waferꝛ nu diſe wenig ſtuͤcke auch dir wie andern meinen freinden angenehm ſeyn so moͤgen ſie vielleicht aͤlter dan jhre gedachte aͤltere geſchwi ſtrigte werden,wafer nu dise wenig stucke auch dir wie andern meinen freinden angenehm seyn so mogen sie uielleicht alter dan ihre gedachte altere geschwi strigte werden
weckherlin_gedichte_1641,body,2,4,True,6,Zwar ob ich wol glaube/ daß ſie nicht Allen gefallen: So berede ich mich doch daß ſie auch vielen nicht mißfallen werden.,zwar ob ich wol glaube daß ſie nicht allen gefallen so berede ich mich doch daß ſie auch vielen nicht mißfallen werden,zwar ob ich wol glaube dass sie nicht allen gefallen so berede ich mich doch dass sie auch uielen nicht missfallen werden
weckherlin_gedichte_1641,body,3,0,False,6,Nichts iſt leichter vnd gemeiner/ dan andre Leut arbeit zu tadlen.,nichts iſt leichter vnd gemeiner dan andre leut arbeit zu tadlen,nichts ist leichter und gemeiner dan andre leut arbeit zu tadlen
weckherlin_gedichte_1641,body,3,1,False,6,Gleichwol deſſen vnge ſchewet/ wage ich dieſe ſtuͤck an das liecht/ weil ich weyß/ daß mich viel hohe vnd fuͤrtreffliche Pe ſonen/ (ja auch gute Poeten) in Engelland Franckreich/ Jtalien/ Hiſpanien/ vnd ande Landen/ ſo wol als in Teutſchland/ geliebet vn noch lieben.,gleichwol deſſen vnge ſchewet wage ich dieſe ſtuͤck an das liecht weil ich weyß daß mich viel hohe vnd fuͤrtreffliche pe ſonen ja auch gute poeten in engelland franckreich jtalien hiſpanien vnd ande landen ſo wol als in teutſchland geliebet vn noch lieben,gleichwol dessen unge schewet wage ich diese stuck an das liecht weil ich weyss dass mich uiel hohe und furtreffliche pe sonen ia auch gute poeten in engelland franckreich italien hispanien und ande landen so wol als in teutschland geliebet un noch lieben
weckherlin_gedichte_1641,body,3,2,True,6,Welches ich allein fuͤr die jenig melde/ welche jhnen ſelbs/ mehr dan andere diſer Kunſt zuwiſſen/ einbilden vnd ſich ſelbs ſchrayen doͤrffen.,welches ich allein fuͤr die jenig melde welche jhnen ſelbs mehr dan andere diſer kunſt zuwiſſen einbilden vnd ſich ſelbs ſchrayen doͤrffen,welches ich allein fur die ienig melde welche ihnen selbs mehr dan andere diser kunst zuwissen einbilden und sich selbs schrayen dorffen
weckherlin_gedichte_1641,body,4,0,False,6,Die Freyheit die ich einem jeden ſeine eig Werck herauß zu ſtreichen goͤnne/ Jſt auch mir verhoffentlich nicht zu vergoͤnnen.,die freyheit die ich einem jeden ſeine eig werck herauß zu ſtreichen goͤnne jſt auch mir verhoffentlich nicht zu vergoͤnnen,die freyheit die ich einem ieden seine eig werck herauss zu streichen gonne ist auch mir uerhoffentlich nicht zu uergonnen
weckherlin_gedichte_1641,body,4,1,False,7,Die zwaite/ vierte/ ſechſte/ achte ꝛc. Syllaben allzeit lang/ vnd alſo die Verſe auß lauter Spondæen oder Jamben (wie ſie zu nennen) zu machen/ erachte ich (erwegend einer jeden Sprach eygenſchafft) nicht ſo bequem in andern/ als in der Engellaͤndiſchen vnd Niderlaͤndiſchen Sprachen.,die zwaite vierte ſechſte achte ꝛc syllaben allzeit lang vnd alſo die verſe auß lauter spondæen oder jamben wie ſie zu nennen zu machen erachte ich erwegend einer jeden sprach eygenſchafft nicht ſo bequem in andern als in der engellaͤndiſchen vnd niderlaͤndiſchen sprachen,die zwaite uierte sechste achte c syllaben allzeit lang und also die uerse auss lauter spondaeen oder iamben wie sie zu nennen zu machen erachte ich erwegend einer ieden sprach eygenschafft nicht so bequem in andern als in der engellandischen und niderlandischen sprachen
weckherlin_gedichte_1641,body,4,2,False,7,Jedoch wer es auch in der Teutſchen halten will/ vnd zierlich fortbringen kan (dann die vbrige vorberuͤhrte Sprachen laſſen es jhnen nicht gern einzwingen) der mag es thun vnnd gelobet werden.,jedoch wer es auch in der teutſchen halten will vnd zierlich fortbringen kan dann die vbrige vorberuͤhrte sprachen laſſen es jhnen nicht gern einzwingen der mag es thun vnnd gelobet werden,iedoch wer es auch in der teutschen halten will und zierlich fortbringen kan dann die ubrige uorberuhrte sprachen lassen es ihnen nicht gern einzwingen der mag es thun unnd gelobet werden
weckherlin_gedichte_1641,body,4,3,False,7,Doch wuͤnſche ich/ daß er nicht zu gleich die Sprach den Frembden ſchwer vnd vnangenehm mache: Viel weniger auch viel ſchoͤne/ vnd inſonderheit die vielſyllabige/ vnd zuſamen vereinigte Wort von einander abſchaide/ oder jaͤmerlich zuſamen quetſche/ oder gar verbanne/ vnd in das ellend vnd die ewige Vergeſſenheit verſtoſſe: Vnd alſo dem ſo lieblich fallenden/ vnd (meiner meinung nach) gantz kuͤnſtlichen Abbruch in der mitten der langen Verſen/ ſein merckliches wehrt vielleicht gar benehme.,doch wuͤnſche ich daß er nicht zu gleich die sprach den frembden ſchwer vnd vnangenehm mache viel weniger auch viel ſchoͤne vnd inſonderheit die vielſyllabige vnd zuſamen vereinigte wort von einander abſchaide oder jaͤmerlich zuſamen quetſche oder gar verbanne vnd in das ellend vnd die ewige vergeſſenheit verſtoſſe vnd alſo dem ſo lieblich fallenden vnd meiner meinung nach gantz kuͤnſtlichen abbruch in der mitten der langen verſen ſein merckliches wehrt vielleicht gar benehme,doch wunsche ich dass er nicht zu gleich die sprach den frembden schwer und unangenehm mache uiel weniger auch uiel schone und insonderheit die uielsyllabige und zusamen uereinigte wort uon einander abschaide oder iamerlich zusamen quetsche oder gar uerbanne und in das ellend und die ewige uergessenheit uerstosse und also dem so lieblich fallenden und meiner meinung nach gantz kunstlichen abbruch in der mitten der langen uersen sein merckliches wehrt uielleicht gar benehme
