doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
343016,head,0,0,True,,"Kurtze Anleitung: Wie die jetzige boͤſe Zeit/ darinnen zwar fuͤr ſich ſelbſt/ nichts/ alß eytel Klag/ Ach/ vnd Weh regieret; Dennoch Dem WolEdlen vnd Geſtrengen Herꝛn Friedrichen von Rothkiꝛch/ auff Teppliwoda/ Jonßdorff/ Juxdorff/ Koblaw/ vnd Kunßdorff/ deß Muͤnſterbergiſchen Fuͤrſtenthumbs/ vnd Franckſteiniſchen Weichbildes Wolverdienten LandtRechtſitzer: Vber dem Hintritt ſeiner Seligen Hertzliebſten/ Der auch WolEdlen/ VielEhrentugendreichen Frawen/ Margarethæ Rothkirchin/ Geborener Mutſchlitzin/ Zu beſonderem Troſt gereichen koͤnne. Jn damals zu Breßlaw/ den 4. Septembris, entwichenen 1642ſten Jahres/ bey vberauß HochAnſehlich- vnd Volckreicher Verſamblung/ gehaltener Parentation/ vorgeſtellet: Durch Chriſtophen von Reydeburgk/ auff Liebenthal. Gedruckt zu Breßlaw/ durch Georgium Baumann.",kurtze anleitung wie die jetzige boͤſe zeit darinnen zwar fuͤr ſich ſelbſt nichts alß eytel klag ach vnd weh regieret dennoch dem woledlen vnd geſtrengen herꝛn friedrichen von rothkiꝛch auff teppliwoda jonßdorff juxdorff koblaw vnd kunßdorff deß muͤnſterbergiſchen fuͤrſtenthumbs vnd franckſteiniſchen weichbildes wolverdienten landtrechtſitzer vber dem hintritt ſeiner seligen hertzliebſten der auch woledlen vielehrentugendreichen frawen margarethæ rothkirchin geborener mutſchlitzin zu beſonderem troſt gereichen koͤnne jn damals zu breßlaw den septembris entwichenen ſten jahres bey vberauß hochanſehlich vnd volckreicher verſamblung gehaltener parentation vorgeſtellet durch chriſtophen von reydeburgk auff liebenthal gedruckt zu breßlaw durch georgium baumann,kurtze anleitung wie die ietzige bose zeit darinnen zwar fur sich selbst nichts alss eytel klag ach und weh regieret dennoch dem woledlen und gestrengen hern friedrichen uon rothkich auff teppliwoda ionssdorff iuxdorff koblaw und kunssdorff dess munsterbergischen furstenthumbs und francksteinischen weichbildes woluerdienten landtrechtsitzer uber dem hintritt seiner seligen hertzliebsten der auch woledlen uielehrentugendreichen frawen margarethae rothkirchin geborener mutschlitzin zu besonderem trost gereichen konne in damals zu bresslaw den septembris entwichenen sten iahres bey uberauss hochansehlich und uolckreicher uersamblung gehaltener parentation uorgestellet durch christophen uon reydeburgk auff liebenthal gedruckt zu bresslaw durch georgium baumann
343016,body,1,0,False,3,WolEdler vnd Geſtrenger/ Jnſonders Freundlich Vielgeliebter Herr Oehm/ Gevatter/ vnnd Wolerkandter Werther Herr Bruder.,woledler vnd geſtrenger jnſonders freundlich vielgeliebter herr oehm gevatter vnnd wolerkandter werther herr bruder,woledler und gestrenger insonders freundlich uielgeliebter herr oehm geuatter unnd wolerkandter werther herr bruder
343016,body,1,1,True,3,Nechſt treweſter Wuͤnſchung von GOtt/ alles erfrewlichen Seligen Wolſtandes/ vnd Erbittung meiner Schuldwilligſten Dienſte/ vberſende demſelben Jch hiermit/ die/ bey angeſtellter Sepultur ſeiner Liebſten/ von mir gehaltene Abdanckung/ vnnd bitte zum hoͤchſten/ vmb entſchuldigung/ daß meinen gechrteſten Herren Gevatter/ Jch wegen eines ſolchen ſchlechten dinges/ in die Zwantzig Wochen/ ſo offte/ ſo Inſtaͤndig/ vnd doch allemal vergebliche Anſuchung thun laſſen.,nechſt treweſter wuͤnſchung von gott alles erfrewlichen seligen wolſtandes vnd erbittung meiner schuldwilligſten dienſte vberſende demſelben jch hiermit die bey angeſtellter sepultur ſeiner liebſten von mir gehaltene abdanckung vnnd bitte zum hoͤchſten vmb entſchuldigung daß meinen gechrteſten herren gevatter jch wegen eines ſolchen ſchlechten dinges in die zwantzig wochen ſo offte ſo inſtaͤndig vnd doch allemal vergebliche anſuchung thun laſſen,nechst trewester wunschung uon gott alles erfrewlichen seligen wolstandes und erbittung meiner schuldwilligsten dienste ubersende demselben ich hiermit die bey angestellter sepultur seiner liebsten uon mir gehaltene abdanckung unnd bitte zum hochsten umb entschuldigung dass meinen gechrtesten herren geuatter ich wegen eines solchen schlechten dinges in die zwantzig wochen so offte so instandig und doch allemal uergebliche ansuchung thun lassen
343016,body,2,0,True,3,Wie hoch kegen Jhm/ in ander wege/ Jch mich zu aller moͤglichen Dienſtleiſtung/ verbunden erkenne/ iſt er ohne viel vergebliches Ruͤhmen/ gnugſam verſichert.,wie hoch kegen jhm in ander wege jch mich zu aller moͤglichen dienſtleiſtung verbunden erkenne iſt er ohne viel vergebliches ruͤhmen gnugſam verſichert,wie hoch kegen ihm in ander wege ich mich zu aller moglichen dienstleistung uerbunden erkenne ist er ohne uiel uergebliches ruhmen gnugsam uersichert
343016,body,3,0,True,3,Aber Zwo Vrſachen liegen in meinem Gemuͤtte/ vmb derer willen ich annoch gerne ſehen wolte/ daß der offentliche Druck dieſes Wercks vnterlaſſen wuͤrde.,aber zwo vrſachen liegen in meinem gemuͤtte vmb derer willen ich annoch gerne ſehen wolte daß der offentliche druck dieſes wercks vnterlaſſen wuͤrde,aber zwo ursachen liegen in meinem gemutte umb derer willen ich annoch gerne sehen wolte dass der offentliche druck dieses wercks unterlassen wurde
343016,body,4,0,True,4,"Einmal/ weil ich zu meinen damaligen meditationibus/ oder außfuͤhrlicher Elaborirung dieſes thematis, gantz keine Zeit gehabt/ dann am Sonnabend/ als den 26. Auguſti/ eben den Tag/ da ſeine Hertzliebſte verſchieden/ bin von meinem geliebten Herren Gevatter/ ich hierzu/ Muͤndlich erbethen worden/ Am Sontage hat ſich in meinem Haupte/ ein ſolcher Schwindel ereignet/ daß ich/ fuͤr mich alleine/ weder gehen noch ſtehen koͤnnen/ ſondern biß auff die Mitwoch/ vmb 10 Vhr/ meiſten theyls gantz darnieder gelegen/ folgenden Doñerſtag gegen Abend/ ward es verrichtet/ da der Herꝛ Gevatter/ als deme diß alles ſelbſten gar wol wiſſend/ vernuͤnfftig Vrtheylen kan/ wie vbel vor dißmal/ mein Dencken vnd Reden geſchickt geweſen.",einmal weil ich zu meinen damaligen meditationibus oder außfuͤhrlicher elaborirung dieſes thematis gantz keine zeit gehabt dann am sonnabend als den auguſti eben den tag da ſeine hertzliebſte verſchieden bin von meinem geliebten herren gevatter ich hierzu muͤndlich erbethen worden am sontage hat ſich in meinem haupte ein ſolcher schwindel ereignet daß ich fuͤr mich alleine weder gehen noch ſtehen koͤnnen ſondern biß auff die mitwoch vmb vhr meiſten theyls gantz darnieder gelegen folgenden doñerſtag gegen abend ward es verrichtet da der herꝛ gevatter als deme diß alles ſelbſten gar wol wiſſend vernuͤnfftig vrtheylen kan wie vbel vor dißmal mein dencken vnd reden geſchickt geweſen,einmal weil ich zu meinen damaligen meditationibus oder aussfuhrlicher elaborirung dieses thematis gantz keine zeit gehabt dann am sonnabend als den augusti eben den tag da seine hertzliebste uerschieden bin uon meinem geliebten herren geuatter ich hierzu mundlich erbethen worden am sontage hat sich in meinem haupte ein solcher schwindel ereignet dass ich fur mich alleine weder gehen noch stehen konnen sondern biss auff die mitwoch umb uhr meisten theyls gantz darnieder gelegen folgenden donnerstag gegen abend ward es uerrichtet da der her geuatter als deme diss alles selbsten gar wol wissend uernunfftig urtheylen kan wie ubel uor dissmal mein dencken und reden geschickt gewesen
343016,body,5,0,True,4,Andern mals/ beweget mich billich/ das gemeine Vrtheyl der Fruͤhklugen/ die dergleichen Labores/ ſonderlich einem Nobili/ auffs ſchaͤndlichſte zu laͤſtern vnd außzulegen pflegen/ koͤnnen durchauß nicht leyden/ daß man offentlich deß Herren vnd ſeines Namens gedencke/ daß ein Politicus ſich in ſeinem Reden vnd Schreiben/ zugleich als ein Chriſt erweiſe/ es iſt ſeiner anererbeten Reputation viel zuverkleinerlich.,andern mals beweget mich billich das gemeine vrtheyl der fruͤhklugen die dergleichen labores ſonderlich einem nobili auffs ſchaͤndlichſte zu laͤſtern vnd außzulegen pflegen koͤnnen durchauß nicht leyden daß man offentlich deß herren vnd ſeines namens gedencke daß ein politicus ſich in ſeinem reden vnd schreiben zugleich als ein chriſt erweiſe es iſt ſeiner anererbeten reputation viel zuverkleinerlich,andern mals beweget mich billich das gemeine urtheyl der fruhklugen die dergleichen labores sonderlich einem nobili auffs schandlichste zu lastern und ausszulegen pflegen konnen durchauss nicht leyden dass man offentlich dess herren und seines namens gedencke dass ein politicus sich in seinem reden und schreiben zugleich als ein christ erweise es ist seiner anererbeten reputation uiel zuuerkleinerlich
343016,body,6,0,False,4,Wiewol ich nun/ dieſen Teuffel/ nicht erſt heuer kennen lerne/ auch die Wort Chriſti: Wer ſich mein vnnd meiner Worte ſchemet/ deß wird ſich deß Menſchen Sohn ſchemen/ wann Er kommen wird in ſeiner Herrligkeit/ dermaſſen taͤglich in meinen Ohren klingen/ daß ich der Welt Geyffer vnd Vnflath/ ſo hoch nicht empfinde.,wiewol ich nun dieſen teuffel nicht erſt heuer kennen lerne auch die wort chriſti wer ſich mein vnnd meiner worte ſchemet deß wird ſich deß menſchen sohn ſchemen wann er kommen wird in ſeiner herrligkeit dermaſſen taͤglich in meinen ohren klingen daß ich der welt geyffer vnd vnflath ſo hoch nicht empfinde,wiewol ich nun diesen teuffel nicht erst heuer kennen lerne auch die wort christi wer sich mein unnd meiner worte schemet dess wird sich dess menschen sohn schemen wann er kommen wird in seiner herrligkeit dermassen taglich in meinen ohren klingen dass ich der welt geyffer und unflath so hoch nicht empfinde
343016,body,6,1,False,4,Dennoch wolt ich auch nicht gerne/ daß GOttes Wort/ vmb meiner Perſon willen/ ſolte geleſtert werden.,dennoch wolt ich auch nicht gerne daß gottes wort vmb meiner perſon willen ſolte geleſtert werden,dennoch wolt ich auch nicht gerne dass gottes wort umb meiner person willen solte gelestert werden
343016,body,6,2,True,4,Jhm gebuͤhret Ehre vnnd Ruhm/ Mir Haß vnd Verfolgung.,jhm gebuͤhret ehre vnnd ruhm mir haß vnd verfolgung,ihm gebuhret ehre unnd ruhm mir hass und uerfolgung
