doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
360685,head,0,0,True,,"Superattendentium Luctuoſa & doloroſa Remotio, & Eorundem Glorioſa & honorifica Assvmptio, Daß iſt: Fuͤrnehmer/ Hochanſehlicher/ wolverdienter Fuͤrſteher/ trauriges vnd klaͤgliches Todten Bild/ Vnd Lobwuͤrdiger/ troͤſtlicher Ehren Schild/ Bey dem Volckreichen Begraͤbniß Deß Weyland WohlEhrwuͤrdigen/ Achtbarn vnd Hochgelahrten Herrn M. GEORGII KIRSTENII, Fuͤrſtlichen/ Moͤnſterbergiſchen Bernſtaͤtiſchen Hoffpredigers/ Pfarrers zur Bernſtadt/ vnd deß gantzen Olßniſchen Fuͤrſtenthumß vnd zugehoͤriger weichbilder/ Superintendentens, auch des Fuͤrſtlichen Conſiſtorij Aſseſſoris Primarij, welcher den 6. Auguſti, zur Bernſtadt ſeliglich entſchlaffen/ vnd den 26. Ejusdem, in dieſem lauffenden 1638. Jahre Chriſtlichem gebrauch nach daſelbſt begraben worden/ nach anleitung eines Prophetiſchen Textes abgehandelt in einer Leichpredigt/ Von M. GEORGIO SEIDELIO, Fuͤrſtlichen/ Muͤnſterbergiſchem/ Olßniſchem Hoffprediger vnd Pfarrer zur Olß/ auch deß Olßniſchen Fuͤrſtenthums Seniore primario vnd Conſiſt: Aſseſſore. Syr: 44. Laſſet vns loben die Beruͤhmten Leutte. Gedruckt in der Fuͤrſtlichen Stadt Olſſe/ bey Joh: Boͤſſemeſſers Erben/ 1642.",superattendentium luctuoſa & doloroſa remotio & eorundem glorioſa & honorifica assvmptio daß iſt fuͤrnehmer hochanſehlicher wolverdienter fuͤrſteher trauriges vnd klaͤgliches todten bild vnd lobwuͤrdiger troͤſtlicher ehren schild bey dem volckreichen begraͤbniß deß weyland wohlehrwuͤrdigen achtbarn vnd hochgelahrten herrn m georgii kirstenii fuͤrſtlichen moͤnſterbergiſchen bernſtaͤtiſchen hoffpredigers pfarrers zur bernſtadt vnd deß gantzen olßniſchen fuͤrſtenthumß vnd zugehoͤriger weichbilder superintendentens auch des fuͤrſtlichen conſiſtorij aſseſſoris primarij welcher den auguſti zur bernſtadt ſeliglich entſchlaffen vnd den ejusdem in dieſem lauffenden jahre chriſtlichem gebrauch nach daſelbſt begraben worden nach anleitung eines prophetiſchen textes abgehandelt in einer leichpredigt von m georgio seidelio fuͤrſtlichen muͤnſterbergiſchem olßniſchem hoffprediger vnd pfarrer zur olß auch deß olßniſchen fuͤrſtenthums seniore primario vnd conſiſt aſseſſore syr laſſet vns loben die beruͤhmten leutte gedruckt in der fuͤrſtlichen stadt olſſe bey joh boͤſſemeſſers erben,superattendentium luctuosa et dolorosa remotio et eorundem gloriosa et honorifica assumptio dass ist furnehmer hochansehlicher woluerdienter fursteher trauriges und klagliches todten bild und lobwurdiger trostlicher ehren schild bey dem uolckreichen begrabniss dess weyland wohlehrwurdigen achtbarn und hochgelahrten herrn m georgii kirstenii furstlichen monsterbergischen bernstatischen hoffpredigers pfarrers zur bernstadt und dess gantzen olssnischen furstenthumss und zugehoriger weichbilder superintendentens auch des furstlichen consistorii assessoris primarii welcher den augusti zur bernstadt seliglich entschlaffen und den eiusdem in diesem lauffenden iahre christlichem gebrauch nach daselbst begraben worden nach anleitung eines prophetischen textes abgehandelt in einer leichpredigt uon m georgio seidelio furstlichen munsterbergischem olssnischem hoffprediger und pfarrer zur olss auch dess olssnischen furstenthums seniore primario und consist assessore syr lasset uns loben die beruhmten leutte gedruckt in der furstlichen stadt olsse bey ioh bossemessers erben
360685,head,1,0,True,1,Pręfatio.,pręfatio,prefatio
360685,body,2,0,True,1,Gott der Vater aller Barmhertzigkeit/ der da verwundet vnd heilet/ betruͤbet vnd erfrewet/ toͤdtet vnd wieder lebendig machet/ der wolle mit dem Troſt deß heiligen Geiſtes/ nicht allem gegenwertige Leide tragenden/ ſondern auch Alle andere betruͤbte Hertzen troͤſten vnd auffrichten/ daß ſie im Creutz geduͤldig ſeinem gnaͤdigen Willen gehorſamlich ſich vntergeben moͤgen/ vmb Jeſu Chriſti vnſers einigen Erloͤſers vnd Mittlers willen.,gott der vater aller barmhertzigkeit der da verwundet vnd heilet betruͤbet vnd erfrewet toͤdtet vnd wieder lebendig machet der wolle mit dem troſt deß heiligen geiſtes nicht allem gegenwertige leide tragenden ſondern auch alle andere betruͤbte hertzen troͤſten vnd auffrichten daß ſie im creutz geduͤldig ſeinem gnaͤdigen willen gehorſamlich ſich vntergeben moͤgen vmb jeſu chriſti vnſers einigen erloͤſers vnd mittlers willen,gott der uater aller barmhertzigkeit der da uerwundet und heilet betrubet und erfrewet todtet und wieder lebendig machet der wolle mit dem trost dess heiligen geistes nicht allem gegenwertige leide tragenden sondern auch alle andere betrubte hertzen trosten und auffrichten dass sie im creutz geduldig seinem gnadigen willen gehorsamlich sich untergeben mogen umb iesu christi unsers einigen erlosers und mittlers willen
360685,body,3,0,False,1,"ERlauchte/ Andächtige/ alleſampt Geliebte/ in vnſerm HErrn Chriſto/ Wir haben allhero zu ſeinem verordneten Schlaff- vnd ruhe Kaͤmmerlein/ begleiten helffen/ den Weyland WolEhrwuͤrdigen/ Achtbarn vnd Hochgelahrten Herrn M. Georgium Kirstenium, Fuͤrſtlichen/ Moͤnſterbergiſchen/ Bernſtaͤtiſchen Hoffpredigern/ Pfarrern allhie zur Bernſtadt/ Superattendenten deß Olßniſchen Fuͤrſtenthumbs/ vnd darzugehoͤrigen weichbilder/ wie denn auch deß Fuͤrſtlichen Conſiſtorii Aſseſſorem Primarium, Bey dieſem Actu bin ich nicht allein/ von der Hochbetruͤbten Fraw Wittib/ hinterlaſſenen Kindern vnd Freunden/ freundlich vnd dienſtlich gebeten vnd erſuchet/ ſondern es iſt mir ſolches von meinem Gnaͤdigen Fuͤrſten vnd Herrn/ Herrn Carll Friederichen Hertzogen zu Moͤnſterberg in Schleſien/ zur Olß/ ꝛc. an jetzo zu gegen/ anbefohlen/ wie denn gleichfals/ von der Hochanſehlichen/ Fuͤrſtlichẽ hinterlaſſenen Regierung/ allhie zur Bernſtadt/ an mich gemutet worden/ dem ſeligen Herrn/ Superintendenten, die Leich- vnd letzte Ehrenpredigt zu halten/ Jch thue aber ſolches gerne/ vnd auch vngerne: Gerne thue Jch es/ denn waß koͤnte mir wol liebers wiederfahren/ als daß Jch/ dem jenigen/ nach ſeinem Tode/ den letzten Ehren-Dienſt beweiſe/ der mir in meinem Leben viel guttes gethan/ vnd mich/ zu meinen Ehren befoͤrdern helffen; Der mein lieber Schwager/ Collega, Freund/ ja Patron vnd gleichſam ander Vater geweſen/ Er iſts/ der gleich jetzund/ fuͤr 35. Jahren/ zu Breßlaw mein erſter Præceptor worden/ von deme Jch Muſa & Magiſter lernen decliniren, vnd die erſten fundamenta pietatis & Artium begrieffen: Er iſts; der mich/ als die Jahre numehr herbey kamen/ daß Jch ſolte auff Univerſiteten verſchicket werden/ mit nothwendiger inſtruction vnd fleißiger vermahnung trewlich vnterrichtet.",erlauchte andächtige alleſampt geliebte in vnſerm herrn chriſto wir haben allhero zu ſeinem verordneten schlaff vnd ruhe kaͤmmerlein begleiten helffen den weyland wolehrwuͤrdigen achtbarn vnd hochgelahrten herrn m georgium kirstenium fuͤrſtlichen moͤnſterbergiſchen bernſtaͤtiſchen hoffpredigern pfarrern allhie zur bernſtadt superattendenten deß olßniſchen fuͤrſtenthumbs vnd darzugehoͤrigen weichbilder wie denn auch deß fuͤrſtlichen conſiſtorii aſseſſorem primarium bey dieſem actu bin ich nicht allein von der hochbetruͤbten fraw wittib hinterlaſſenen kindern vnd freunden freundlich vnd dienſtlich gebeten vnd erſuchet ſondern es iſt mir ſolches von meinem gnaͤdigen fuͤrſten vnd herrn herrn carll friederichen hertzogen zu moͤnſterberg in schleſien zur olß ꝛc an jetzo zu gegen anbefohlen wie denn gleichfals von der hochanſehlichen fuͤrſtlichẽ hinterlaſſenen regierung allhie zur bernſtadt an mich gemutet worden dem ſeligen herrn superintendenten die leich vnd letzte ehrenpredigt zu halten jch thue aber ſolches gerne vnd auch vngerne gerne thue jch es denn waß koͤnte mir wol liebers wiederfahren als daß jch dem jenigen nach ſeinem tode den letzten ehrendienſt beweiſe der mir in meinem leben viel guttes gethan vnd mich zu meinen ehren befoͤrdern helffen der mein lieber schwager collega freund ja patron vnd gleichſam ander vater geweſen er iſts der gleich jetzund fuͤr jahren zu breßlaw mein erſter præceptor worden von deme jch muſa & magiſter lernen decliniren vnd die erſten fundamenta pietatis & artium begrieffen er iſts der mich als die jahre numehr herbey kamen daß jch ſolte auff univerſiteten verſchicket werden mit nothwendiger inſtruction vnd fleißiger vermahnung trewlich vnterrichtet,erlauchte andachtige allesampt geliebte in unserm herrn christo wir haben allhero zu seinem uerordneten schlaff und ruhe kammerlein begleiten helffen den weyland wolehrwurdigen achtbarn und hochgelahrten herrn m georgium kirstenium furstlichen monsterbergischen bernstatischen hoffpredigern pfarrern allhie zur bernstadt superattendenten dess olssnischen furstenthumbs und darzugehorigen weichbilder wie denn auch dess furstlichen consistorii assessorem primarium bey diesem actu bin ich nicht allein uon der hochbetrubten fraw wittib hinterlassenen kindern und freunden freundlich und dienstlich gebeten und ersuchet sondern es ist mir solches uon meinem gnadigen fursten und herrn herrn carll friederichen hertzogen zu monsterberg in schlesien zur olss c an ietzo zu gegen anbefohlen wie denn gleichfals uon der hochansehlichen furstlichen hinterlassenen regierung allhie zur bernstadt an mich gemutet worden dem seligen herrn superintendenten die leich und letzte ehrenpredigt zu halten ich thue aber solches gerne und auch ungerne gerne thue ich es denn wass konte mir wol liebers wiederfahren als dass ich dem ienigen nach seinem tode den letzten ehrendienst beweise der mir in meinem leben uiel guttes gethan und mich zu meinen ehren befordern helffen der mein lieber schwager collega freund ia patron und gleichsam ander uater gewesen er ists der gleich ietzund fur iahren zu bresslaw mein erster praeceptor worden uon deme ich musa et magister lernen decliniren und die ersten fundamenta pietatis et artium begrieffen er ists der mich als die iahre numehr herbey kamen dass ich solte auff uniuersiteten uerschicket werden mit nothwendiger instruction und fleissiger uermahnung trewlich unterrichtet
360685,body,3,1,False,2,"Vnd als nach verfloſſenen ſechs Jahren/ Jch wiederumb anheim kam/ durch ſeine commendation vnd intercſesion, bey dem Hochloͤblichen Fuͤrſtlichen Moͤnſterbergiſchen Hauſe/ als bey vnſerer gnaͤdigen LandsFuͤrſtlichen Obrikeit/ mich anbracht vnd bekand gemacht/ denn gleich dieſen Tag/ Donnerſtag poſt Dominicam XII. Trinitatis A. C. 1619. habe ich allhier/ in dieſer Kirchen/ mein erſtes concionatorium exercitium, auff dieſer Kantzel gehalten/ vnd darauff bin ich nach dreyen Jahren/ A. C. 1622 zum Pfarr/ gen Wabnitz/ vnd balt folgendes 1623 Jahr/ zum Diacono dieſer Kirchen/ von J. F. G. dem Kayſerlichen vnd Koͤniglichen Oberhauptman/ vnſerm allerſeits gnaͤdigen Fuͤrſten vnd Herrn beruffen worden/ Da Jch denn gantzer Acht Jahr/ wie den meiſten/ in dieſer anſehlichen Chriſtlichen Gemeine bekandt/ mit vnd neben dem ſeligen Herrn Superintendenten, Georgius cum Georgio, als ein geiſtlicher Ackersmann neben dem andern/ nach vermahnung S. Pauli/ 1. Cor. 3. v. 6. Den geiſtlichen Kirchen vnd Ackerbaw allhie/ verhoffentlich nicht ohne nutz vnd frommen/ in ſteter Liebe vnd vertrewlicher Einigkeit fortgetrieben.",vnd als nach verfloſſenen ſechs jahren jch wiederumb anheim kam durch ſeine commendation vnd intercſesion bey dem hochloͤblichen fuͤrſtlichen moͤnſterbergiſchen hauſe als bey vnſerer gnaͤdigen landsfuͤrſtlichen obrikeit mich anbracht vnd bekand gemacht denn gleich dieſen tag donnerſtag poſt dominicam xii trinitatis a c habe ich allhier in dieſer kirchen mein erſtes concionatorium exercitium auff dieſer kantzel gehalten vnd darauff bin ich nach dreyen jahren a c zum pfarr gen wabnitz vnd balt folgendes jahr zum diacono dieſer kirchen von j f g dem kayſerlichen vnd koͤniglichen oberhauptman vnſerm allerſeits gnaͤdigen fuͤrſten vnd herrn beruffen worden da jch denn gantzer acht jahr wie den meiſten in dieſer anſehlichen chriſtlichen gemeine bekandt mit vnd neben dem ſeligen herrn superintendenten georgius cum georgio als ein geiſtlicher ackersmann neben dem andern nach vermahnung s pauli cor v den geiſtlichen kirchen vnd ackerbaw allhie verhoffentlich nicht ohne nutz vnd frommen in ſteter liebe vnd vertrewlicher einigkeit fortgetrieben,und als nach uerflossenen sechs iahren ich wiederumb anheim kam durch seine commendation und intercsesion bey dem hochloblichen furstlichen monsterbergischen hause als bey unserer gnadigen landsfurstlichen obrikeit mich anbracht und bekand gemacht denn gleich diesen tag donnerstag post dominicam xii trinitatis a c habe ich allhier in dieser kirchen mein erstes concionatorium exercitium auff dieser kantzel gehalten und darauff bin ich nach dreyen iahren a c zum pfarr gen wabnitz und balt folgendes iahr zum diacono dieser kirchen uon i f g dem kayserlichen und koniglichen oberhauptman unserm allerseits gnadigen fursten und herrn beruffen worden da ich denn gantzer acht iahr wie den meisten in dieser ansehlichen christlichen gemeine bekandt mit und neben dem seligen herrn superintendenten georgius cum georgio als ein geistlicher ackersmann neben dem andern nach uermahnung s pauli cor u den geistlichen kirchen und ackerbaw allhie uerhoffentlich nicht ohne nutz und frommen in steter liebe und uertrewlicher einigkeit fortgetrieben
360685,body,3,2,True,3,"Er iſts/ der Mir auch in meinen ſchweren vnd wichtigen curis & deliberationibus, mit guttem Rath beygeſtanden/ vnd ſolche vaͤterliche Liebe/ Gunſt vnd Freundſchafft beſtaͤndig biß in den Todt gegen mir erhalten/ daß Jch billich bey dieſem ſeinem letzten Ehren-Dienſt/ mich willig vnd gerne ſoll befinden laſſen.",er iſts der mir auch in meinen ſchweren vnd wichtigen curis & deliberationibus mit guttem rath beygeſtanden vnd ſolche vaͤterliche liebe gunſt vnd freundſchafft beſtaͤndig biß in den todt gegen mir erhalten daß jch billich bey dieſem ſeinem letzten ehrendienſt mich willig vnd gerne ſoll befinden laſſen,er ists der mir auch in meinen schweren und wichtigen curis et deliberationibus mit guttem rath beygestanden und solche uaterliche liebe gunst und freundschafft bestandig biss in den todt gegen mir erhalten dass ich billich bey diesem seinem letzten ehrendienst mich willig und gerne soll befinden lassen
360685,body,4,0,False,3,"Es will mir aber gleichwol auch dieſes Werck/ ſehr beſchwerlich fallen/ dieweil ich fuͤr mir ſehe/ nicht allein Erlauchte/ Fuͤrſtliche Perſonen/ Hochanſeliche/ Tapffere/ Fůrnehme Politicos, ſondern auch Diſertiſsimos & Doctiſsimos Theologos, derer etliche an Alter/ Weißheit/ Kunſt vnd Geſchickligkeit mir weit vberlegen.",es will mir aber gleichwol auch dieſes werck ſehr beſchwerlich fallen dieweil ich fuͤr mir ſehe nicht allein erlauchte fuͤrſtliche perſonen hochanſeliche tapffere fůrnehme politicos ſondern auch diſertiſsimos & doctiſsimos theologos derer etliche an alter weißheit kunſt vnd geſchickligkeit mir weit vberlegen,es will mir aber gleichwol auch dieses werck sehr beschwerlich fallen dieweil ich fur mir sehe nicht allein erlauchte furstliche personen hochanseliche tapffere furnehme politicos sondern auch disertissimos et doctissimos theologos derer etliche an alter weissheit kunst und geschickligkeit mir weit uberlegen
360685,body,4,1,False,4,"Ja weil der ſelige Herr Magiſter, wol wuͤrdig vnd werth/ wegen ſeiner fuͤrtrefflichen Kunſt vnd hohen Gaben/ daß Jhm ein Gelaͤhrter Prediger/ als ich bin/ ſeine Leichpredigt halte/ vnd wie Er ſeinem Herrn Vorfahren vnd Superintendenten in der gehaltenen Leichpredigt/ ein Anſehliches langes Prieſter-Kleid zugeſchnittẽ/ jhme gleichfalß von einem beretten vnd gelehrten Manne/ ein gebuͤhrliches Ehrenkraͤutzlein nach dem Tode moͤchte auffgeſetzet werden.",ja weil der ſelige herr magiſter wol wuͤrdig vnd werth wegen ſeiner fuͤrtrefflichen kunſt vnd hohen gaben daß jhm ein gelaͤhrter prediger als ich bin ſeine leichpredigt halte vnd wie er ſeinem herrn vorfahren vnd superintendenten in der gehaltenen leichpredigt ein anſehliches langes prieſterkleid zugeſchnittẽ jhme gleichfalß von einem beretten vnd gelehrten manne ein gebuͤhrliches ehrenkraͤutzlein nach dem tode moͤchte auffgeſetzet werden,ia weil der selige herr magister wol wurdig und werth wegen seiner furtrefflichen kunst und hohen gaben dass ihm ein gelahrter prediger als ich bin seine leichpredigt halte und wie er seinem herrn uorfahren und superintendenten in der gehaltenen leichpredigt ein ansehliches langes priesterkleid zugeschnitten ihme gleichfalss uon einem beretten und gelehrten manne ein gebuhrliches ehrenkrautzlein nach dem tode mochte auffgesetzet werden
360685,body,4,2,False,4,"So weiß ich auch in warheit nicht/ wie ich/ ohne bittere Zaͤhren vnd Thraͤnen/ dieſe Predigt verrichten ſoll/ weil ich nicht allein wegẽ der nahen Schwegerſchafft vnd Freundſchafft hertzlich betruͤbet/ der hochbekuͤmmerten Fraw Wittib/ der hochbetruͤbten Waͤyſen groſſes Elend mir tieff zu hertzen gehet/ ſondern wo Jch mich hinwende/ ſehe ich vberal naſſe Augen/ tieffe Seufftzer/ alſo daß ich lieber zuhoͤren vnd weynen/ als ſelber reden/ vnd der ich ſelbſt deß Troſtes bedarff/ andere nicht wohl werde troͤſten koͤnnen/ So beſorge ich auch/ es werde dieſer Todt/ vnſers Herrn Superintendenten/ eine groſſe Landplage vnd Straffe mit ſich bringen/ zu mal/ weil in ſo kurtzer zeit/ dieſes Olßniſche Presbyterium, zweymahl ſeines Haupts/ vnnd ſeiner Krone iſt entbloͤſet worden.",so weiß ich auch in warheit nicht wie ich ohne bittere zaͤhren vnd thraͤnen dieſe predigt verrichten ſoll weil ich nicht allein wegẽ der nahen schwegerſchafft vnd freundſchafft hertzlich betruͤbet der hochbekuͤmmerten fraw wittib der hochbetruͤbten waͤyſen groſſes elend mir tieff zu hertzen gehet ſondern wo jch mich hinwende ſehe ich vberal naſſe augen tieffe seufftzer alſo daß ich lieber zuhoͤren vnd weynen als ſelber reden vnd der ich ſelbſt deß troſtes bedarff andere nicht wohl werde troͤſten koͤnnen so beſorge ich auch es werde dieſer todt vnſers herrn superintendenten eine groſſe landplage vnd straffe mit ſich bringen zu mal weil in ſo kurtzer zeit dieſes olßniſche presbyterium zweymahl ſeines haupts vnnd ſeiner krone iſt entbloͤſet worden,so weiss ich auch in warheit nicht wie ich ohne bittere zahren und thranen diese predigt uerrichten soll weil ich nicht allein wegen der nahen schwegerschafft und freundschafft hertzlich betrubet der hochbekummerten fraw wittib der hochbetrubten waysen grosses elend mir tieff zu hertzen gehet sondern wo ich mich hinwende sehe ich uberal nasse augen tieffe seufftzer also dass ich lieber zuhoren und weynen als selber reden und der ich selbst dess trostes bedarff andere nicht wohl werde trosten konnen so besorge ich auch es werde dieser todt unsers herrn superintendenten eine grosse landplage und straffe mit sich bringen zu mal weil in so kurtzer zeit dieses olssnische presbyterium zweymahl seines haupts unnd seiner krone ist entbloset worden
360685,body,4,3,False,4,Deñ wenn Gott an den Knauff ſchlegt/ ſo muͤſſen die Pfeiler beben/ ſtehet Amoſi c. 9. Vnd wenn der Hirtte geſchlagen wird/ da muß ſich die Herde zerſtrewen/ Zach. 13. Derowegen ich auch einen ſolchen Leichen-Text/ mir fuͤrgenommen habe zu erklaͤren/ welcher nicht allein/ dem Verſtorbenen zu Ehren/ den Betruͤbten zu troſte/ ſondern auch vnß allenſampt zu nothwendiger Vermahnung/ vnd ſonderlich zu wahrer Buß vnd beſſerung deß Lebens dienen wird/ Damit wir ja bey zeiten in vns gehen/ wahre rechtſchaffene Buſſe thun/ vnd den vorſtehenden Zorn Gottes/ welcher vnß durch ſolche vnd dergleichen traurige Faͤlle angedrewet wird/ demuͤttig abwenden moͤgen.,deñ wenn gott an den knauff ſchlegt ſo muͤſſen die pfeiler beben ſtehet amoſi c vnd wenn der hirtte geſchlagen wird da muß ſich die herde zerſtrewen zach derowegen ich auch einen ſolchen leichentext mir fuͤrgenommen habe zu erklaͤren welcher nicht allein dem verſtorbenen zu ehren den betruͤbten zu troſte ſondern auch vnß allenſampt zu nothwendiger vermahnung vnd ſonderlich zu wahrer buß vnd beſſerung deß lebens dienen wird damit wir ja bey zeiten in vns gehen wahre rechtſchaffene buſſe thun vnd den vorſtehenden zorn gottes welcher vnß durch ſolche vnd dergleichen traurige faͤlle angedrewet wird demuͤttig abwenden moͤgen,denn wenn gott an den knauff schlegt so mussen die pfeiler beben stehet amosi c und wenn der hirtte geschlagen wird da muss sich die herde zerstrewen zach derowegen ich auch einen solchen leichentext mir furgenommen habe zu erklaren welcher nicht allein dem uerstorbenen zu ehren den betrubten zu troste sondern auch unss allensampt zu nothwendiger uermahnung und sonderlich zu wahrer buss und besserung dess lebens dienen wird damit wir ia bey zeiten in uns gehen wahre rechtschaffene busse thun und den uorstehenden zorn gottes welcher unss durch solche und dergleichen traurige falle angedrewet wird demuttig abwenden mogen
