doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635316218,body,0,0,True,1,Gedaͤchtnis bey adelicher Leichbeſtattung Dem Weiland HochEdlen Geſtrengen vnd Veſten Herrn Balthaſar von Brunnen/ Seiner Churfuͤrſtl. Durchl. zu Brandenburg FRJEDRJCH WJLHELMEN Marggraffen zu Brandenburg/ des H. R. R. ErtzCaͤmmerern vnd Churfuͤrſten in Preuſſen zu Guͤlich/ Cleve/ Berge/ Stettin/ Pommern etc. Hertzogen etc. etc. Vnſers gnaͤdigſten Churfuͤrſten vnd Herren Geheimen Rahte Geſtellet 1643. 24. Wintermonat. Gedruckt durch Johann Reuſnern.,gedaͤchtnis bey adelicher leichbeſtattung dem weiland hochedlen geſtrengen vnd veſten herrn balthaſar von brunnen seiner churfuͤrſtl durchl zu brandenburg frjedrjch wjlhelmen marggraffen zu brandenburg des h r r ertzcaͤmmerern vnd churfuͤrſten in preuſſen zu guͤlich cleve berge stettin pommern etc hertzogen etc etc vnſers gnaͤdigſten churfuͤrſten vnd herren geheimen rahte geſtellet wintermonat gedruckt durch johann reuſnern,gedachtnis bey adelicher leichbestattung dem weiland hochedlen gestrengen und uesten herrn balthasar uon brunnen seiner churfurstl durchl zu brandenburg friedrich wilhelmen marggraffen zu brandenburg des h r r ertzcammerern und churfursten in preussen zu gulich cleue berge stettin pommern etc hertzogen etc etc unsers gnadigsten churfursten und herren geheimen rahte gestellet wintermonat gedruckt durch iohann reusnern
635316218,body,1,0,False,2,OB dieß nun deiner Arbeit lohnt/,ob dieß nun deiner arbeit lohnt,ob diess nun deiner arbeit lohnt
635316218,body,1,1,False,2,Die/ edle Seele/ du gewohnt,die edle seele du gewohnt,die edle seele du gewohnt
635316218,body,1,2,False,2,Auff aller Tugend Gut zu wenden/,auff aller tugend gut zu wenden,auff aller tugend gut zu wenden
635316218,body,1,3,False,2,Jn dem du durch nicht-Menſchen-Fleiß,jn dem du durch nichtmenſchenfleiß,in dem du durch nichtmenschenfleiss
635316218,body,1,4,False,2,Geſucht an den Port an-zu-laͤnden/,geſucht an den port anzulaͤnden,gesucht an den port anzulanden
635316218,body,1,5,False,2,Wo Gnuͤge wohnt ſampt Rhue vnd Preiß?,wo gnuͤge wohnt ſampt rhue vnd preiß,wo gnuge wohnt sampt rhue und preiss
635316218,body,1,6,False,2,Du legſt dich auff den Ruͤcken nieder/,du legſt dich auff den ruͤcken nieder,du legst dich auff den rucken nieder
635316218,body,1,7,False,2,Vnd ſchlaͤffſt die eiſen-harte Nacht/,vnd ſchlaͤffſt die eiſenharte nacht,und schlaffst die eisenharte nacht
635316218,body,1,8,False,2,Dein Geiſt iſt hin vnd koͤmpt nicht wieder/,dein geiſt iſt hin vnd koͤmpt nicht wieder,dein geist ist hin und kompt nicht wieder
635316218,body,1,9,False,2,Schlaͤgt aller Welt Thun aus der acht/,schlaͤgt aller welt thun aus der acht,schlagt aller welt thun aus der acht
635316218,body,1,10,False,2,Du biſt als die ſo nie geweſen/,du biſt als die ſo nie geweſen,du bist als die so nie gewesen
635316218,body,1,11,True,2,Ohn was man noch von dir kan leſen.,ohn was man noch von dir kan leſen,ohn was man noch uon dir kan lesen
635316218,body,2,0,False,2,Dein Mund ſpricht nicht ein Woͤrtlein,dein mund ſpricht nicht ein woͤrtlein,dein mund spricht nicht ein wortlein
635316218,body,2,1,False,2,Dem doch der Keyſer gab Gehoͤr/,dem doch der keyſer gab gehoͤr,dem doch der keyser gab gehor
635316218,item,2,2,False,2,(mehr/,mehr,mehr
635316218,body,2,3,False,2,Von deſſen Weißheit gnug kan melden,von deſſen weißheit gnug kan melden,uon dessen weissheit gnug kan melden
635316218,body,2,4,False,2,Selbſt Brandenburg die wehrte Zucht,selbſt brandenburg die wehrte zucht,selbst brandenburg die wehrte zucht
635316218,body,2,5,False,2,Der ewig-hochberuͤhmten Helden/,der ewighochberuͤhmten helden,der ewighochberuhmten helden
635316218,body,2,6,False,2,Die offtmahls Raht bey dir geſucht.,die offtmahls raht bey dir geſucht,die offtmahls raht bey dir gesucht
635316218,body,2,7,False,2,Die Hand/ durch die wir vnſre Klagen,die hand durch die wir vnſre klagen,die hand durch die wir unsre klagen
635316218,body,2,8,True,2,Dem Landes-Fuͤrsten kunt gethan/,dem landesfuͤrsten kunt gethan,dem landesfursten kunt gethan
635316218,body,3,0,False,3,Die beydes Recht wuſt auffzuſchlagen,die beydes recht wuſt auffzuſchlagen,die beydes recht wust auffzuschlagen
635316218,body,3,1,False,3,Vnd alles im Juſtinian,vnd alles im juſtinian,und alles im iustinian
