doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
furttenbach_buechsenmeister_1643,body,0,0,True,7,Buͤchſenmeiſterey-Schul/ Darinnen die New angehen. de Buͤchſenmeiſter vnd Feurwercker/ nicht weniger die Zeugwartten/ in den Fundamenten vnd rechten grund der Buͤchſenmeiſterey/ auch allerhand Feurwercken/ zu Schimpff vnd Ernſt/ zu Waſſer vnd Land/ vom geringſten/ biß zum hoͤchſten/ dieſelbige in kurtzer Zeit/ beneben guter Vorſichtigkeit/ auch ohn einige Leibs Gefahr/ mit geringer Muͤhe/ vnd Erſparung viler Vnkoſten/ zu erlernen/ getrewlich vnd auffrichtig/ vnderwiſen/ vnd gelehrt werden. Alles auß eigener Erfahrenheit/ ganz vertrewlich beſchriben/ vermehret/ auch mit .45. Kupferblatten delinirt vnd fuͤr Augen geſtellt/ Durch JOSEPHVM Furttenbach. Gedruckt in deß Heil: Roͤmiſchen Reichs Statt Augſpurg/ bey Johann Schultes/ im Jahr M. DC. XXXXIII.,buͤchſenmeiſtereyschul darinnen die new angehen de buͤchſenmeiſter vnd feurwercker nicht weniger die zeugwartten in den fundamenten vnd rechten grund der buͤchſenmeiſterey auch allerhand feurwercken zu schimpff vnd ernſt zu waſſer vnd land vom geringſten biß zum hoͤchſten dieſelbige in kurtzer zeit beneben guter vorſichtigkeit auch ohn einige leibs gefahr mit geringer muͤhe vnd erſparung viler vnkoſten zu erlernen getrewlich vnd auffrichtig vnderwiſen vnd gelehrt werden alles auß eigener erfahrenheit ganz vertrewlich beſchriben vermehret auch mit kupferblatten delinirt vnd fuͤr augen geſtellt durch josephvm furttenbach gedruckt in deß heil roͤmiſchen reichs statt augſpurg bey johann schultes im jahr m dc xxxxiii,buchsenmeistereyschul darinnen die new angehen de buchsenmeister und feurwercker nicht weniger die zeugwartten in den fundamenten und rechten grund der buchsenmeisterey auch allerhand feurwercken zu schimpff und ernst zu wasser und land uom geringsten biss zum hochsten dieselbige in kurtzer zeit beneben guter uorsichtigkeit auch ohn einige leibs gefahr mit geringer muhe und ersparung uiler unkosten zu erlernen getrewlich und auffrichtig underwisen und gelehrt werden alles auss eigener erfahrenheit ganz uertrewlich beschriben uermehret auch mit kupferblatten delinirt und fur augen gestellt durch iosephum furttenbach gedruckt in dess heil romischen reichs statt augspurg bey iohann schultes im iahr m dc xxxxiii
furttenbach_buechsenmeister_1643,body,1,0,False,9,Dem Hoch Wolgebornen Herꝛn/ Herꝛn Maximiliano Willibald/ deß Heyl: Roͤm: Reichs Erbtruckſeſſen/ Grafen zu Wolffeck/ Freyherꝛn zu Waldburg/ Herꝛn zu Waldſee/ Zeil vnd Marſtaͤtten/ ꝛc. Roͤm: Kapf: May: vnd ChurFuͤrſtl: Durchl: in Bayern/ ꝛc. reſpectivè Hof: Kriegs: vnd Gehaimen Rath/ Cammerer/ General Veld Wachtmeiſtern/ beſtellten Obriſten vnd Gubernatorn der Voͤſtung Lindaw/ ꝛc. Meinem gnaͤdigen Grafen vnd Herꝛn.,dem hoch wolgebornen herꝛn herꝛn maximiliano willibald deß heyl roͤm reichs erbtruckſeſſen grafen zu wolffeck freyherꝛn zu waldburg herꝛn zu waldſee zeil vnd marſtaͤtten ꝛc roͤm kapf may vnd churfuͤrſtl durchl in bayern ꝛc reſpectivè hof kriegs vnd gehaimen rath cammerer general veld wachtmeiſtern beſtellten obriſten vnd gubernatorn der voͤſtung lindaw ꝛc meinem gnaͤdigen grafen vnd herꝛn,dem hoch wolgebornen hern hern maximiliano willibald dess heyl rom reichs erbtrucksessen grafen zu wolffeck freyhern zu waldburg hern zu waldsee zeil und marstatten c rom kapf may und churfurstl durchl in bayern c respectiue hof kriegs und gehaimen rath cammerer general ueld wachtmeistern bestellten obristen und gubernatorn der uostung lindaw c meinem gnadigen grafen und hern
furttenbach_buechsenmeister_1643,body,1,1,False,9,"Dem Wolgebornen Herꝛn/ Herꝛn Nicolao Freyherꝛn von Schonfeld/ auff Saulini/ Lom̅eringen/ Albesweiler/ Schoͤnwaldt/ Rhon/ vnd Proͤdlitz/ Pfandherꝛn der Freyen Herꝛſchafft Sargemundt/ Roͤm: Kay: May: Kriegs Rath/ General Commiſſario, vnd Obriſten/ Jhr Hoch Fuͤrſtl: Durchl: zu Lottringen geheimben Rath/ Cammerer/ vnd Gubernatorn der Grafſchafft Sarwerden/ ꝛc. Meinem gnaͤdigen Herꝛn.",dem wolgebornen herꝛn herꝛn nicolao freyherꝛn von schonfeld auff saulini lom̅eringen albesweiler schoͤnwaldt rhon vnd proͤdlitz pfandherꝛn der freyen herꝛſchafft sargemundt roͤm kay may kriegs rath general commiſſario vnd obriſten jhr hoch fuͤrſtl durchl zu lottringen geheimben rath cammerer vnd gubernatorn der grafſchafft sarwerden ꝛc meinem gnaͤdigen herꝛn,dem wolgebornen hern hern nicolao freyhern uon schonfeld auff saulini lommeringen albesweiler schonwaldt rhon und prodlitz pfandhern der freyen herschafft sargemundt rom kay may kriegs rath general commissario und obristen ihr hoch furstl durchl zu lottringen geheimben rath cammerer und gubernatorn der grafschafft sarwerden c meinem gnadigen hern
furttenbach_buechsenmeister_1643,body,1,2,True,9,"Denen WolEdlen vnd Geſtrengen Herꝛen/ Herꝛn/ Eitelhanſen von Stahlburg/ zu Hautzenheimb/ ꝛc. der Ertz Fuͤrſtl: Durchl: Leopoldi Ertzhertzogen zu Oeſterreich nachgelaſſener Erben Vormundſchafft/ ꝛc. Kriegs Rath/ vnd Obriſten Leutenambt vber die Artolleri, &c. Herꝛn Sebaſtian/ vnd Herꝛn Hans Jacob/ den Gengern/ Gebruͤdern/ zu Grien Puͤhel/ vnd Schaidenſtain/ reſpectiuè Ertzf: Durchleucht: hinderlaſſener Erben Vormundſchafft Pfanhautz Rath/ Mundſchenck/ vnd Viertel Hauptmann im Wippſtahl/ auch Pfandts Jnnhabern der Herꝛſchafften Landeck/ Pfnus/ vnd Rettenberg/ ꝛc. Vnd dann/ Herꝛen N. N. von Stammen/ vnd Geſchlecht/ Furttenbach/ ſampt vnd ſonders/ deren reſpectivè Hauptleut/ auch zu Staͤtt vnd Landen wol meritirten Vorgeſetzten/ ſo wol auch dero geſampten nechſten Anverwandten/ vnd Befreundten/ ꝛc. Meinen großguͤnſtigen hochgeehrten vnd wolvertrawten Herꝛen.",denen woledlen vnd geſtrengen herꝛen herꝛn eitelhanſen von stahlburg zu hautzenheimb ꝛc der ertz fuͤrſtl durchl leopoldi ertzhertzogen zu oeſterreich nachgelaſſener erben vormundſchafft ꝛc kriegs rath vnd obriſten leutenambt vber die artolleri &c herꝛn sebaſtian vnd herꝛn hans jacob den gengern gebruͤdern zu grien puͤhel vnd schaidenſtain reſpectiuè ertzf durchleucht hinderlaſſener erben vormundſchafft pfanhautz rath mundſchenck vnd viertel hauptmann im wippſtahl auch pfandts jnnhabern der herꝛſchafften landeck pfnus vnd rettenberg ꝛc vnd dann herꝛen n n von stammen vnd geſchlecht furttenbach ſampt vnd ſonders deren reſpectivè hauptleut auch zu staͤtt vnd landen wol meritirten vorgeſetzten ſo wol auch dero geſampten nechſten anverwandten vnd befreundten ꝛc meinen großguͤnſtigen hochgeehrten vnd wolvertrawten herꝛen,denen woledlen und gestrengen heren hern eitelhansen uon stahlburg zu hautzenheimb c der ertz furstl durchl leopoldi ertzhertzogen zu oesterreich nachgelassener erben uormundschafft c kriegs rath und obristen leutenambt uber die artolleri etc hern sebastian und hern hans iacob den gengern gebrudern zu grien puhel und schaidenstain respectiue ertzf durchleucht hinderlassener erben uormundschafft pfanhautz rath mundschenck und uiertel hauptmann im wippstahl auch pfandts innhabern der herschafften landeck pfnus und rettenberg c und dann heren n n uon stammen und geschlecht furttenbach sampt und sonders deren respectiue hauptleut auch zu statt und landen wol meritirten uorgesetzten so wol auch dero gesampten nechsten anuerwandten und befreundten c meinen grossgunstigen hochgeehrten und woluertrawten heren
furttenbach_buechsenmeister_1643,body,2,0,False,9,HOch: vnnd Wolgeborne/ auch Wol Edel Geſtrenge/ E: Graͤfl: Excell.,hoch vnnd wolgeborne auch wol edel geſtrenge e graͤfl excell,hoch unnd wolgeborne auch wol edel gestrenge e grafl excell
furttenbach_buechsenmeister_1643,item,2,1,False,9,Gn: Gſt:.,gn gſt,gn gst
furttenbach_buechsenmeister_1643,body,2,2,True,9,Gſt: Gſt: vnd gſt: ſeyen mein vnterthaͤnige gefliſſene willigſte Dienſt jederzeit in ſchuldiger Bereitſchafft voran/ Gnaͤdige Herꝛen/ auch großguͤnſtig hochgeehrte vnd wol vertrawte Herꝛen.,gſt gſt vnd gſt ſeyen mein vnterthaͤnige gefliſſene willigſte dienſt jederzeit in ſchuldiger bereitſchafft voran gnaͤdige herꝛen auch großguͤnſtig hochgeehrte vnd wol vertrawte herꝛen,gst gst und gst seyen mein unterthanige geflissene willigste dienst iederzeit in schuldiger bereitschafft uoran gnadige heren auch grossgunstig hochgeehrte und wol uertrawte heren
furttenbach_buechsenmeister_1643,body,3,0,False,9,"Demnach vnden in der/ an den guͤnſtigen Leſer abgangenen Vorred mit mehrerm/ vnd nach laͤngs angedeutet vnd außgefuͤhrt wird/ was maſſen mein in Anno .1627. zu offenem Truck gegebene Halonitro-Pyrobolia, wie geringfuͤgig auch ſelbiges Wercklin jmmer geweſen/ bey ſehr vilen in Polemicis wol exercirten, vnd dapffern Maͤnnern/ zuvorderſt aber bey E. Graͤfl: Excell: Gn. Gſt: Gſt: Gſt: Gſt: vnd gſt: mit ſolchem dancknemigem gefallen àgradirt vnd vffgehoben/ daß deren Exemplarien nahent alle vffgegangen/ vnd zerflogen/ Entzwiſchen aber ich ſo wol von E. Graͤfl: Excell: Gn: Gſt: Gſt: Gſt: Gſt: vnd gſt: als auch andern der Buͤchſenmeiſterey Kunſt begirigen Hochanſehnlichen Herꝛen/ ſo ſchrifft: ſo muͤndlich ohn vnderlaß angeſucht/ vnd erinnert woꝛden/ ernannte Halonitro-Pyroboliam, neben deme/ was mir etwan ſonſten vnder ſolcher Zeit von der Buͤchſenmeiſterey Kunſt weiters/ auch zu Vermehrung deß Wercks beygefallen/ vnd practicirt, hinzu zu ſetzen/ vnd zu verbeſſern/ auch den Poſteris vmb uͤffnung deß boni publici mitzutheilen: So hab ich/ weilen es gleichwol meiner Profeſſion nit iſt/ ſonder allein mein recreation darinn ſuche/ meniglichen zum beſten/ (.ſintemahlen Pallas ihr lection hierbey auch finden wird.",demnach vnden in der an den guͤnſtigen leſer abgangenen vorred mit mehrerm vnd nach laͤngs angedeutet vnd außgefuͤhrt wird was maſſen mein in anno zu offenem truck gegebene halonitropyrobolia wie geringfuͤgig auch ſelbiges wercklin jmmer geweſen bey ſehr vilen in polemicis wol exercirten vnd dapffern maͤnnern zuvorderſt aber bey e graͤfl excell gn gſt gſt gſt gſt vnd gſt mit ſolchem dancknemigem gefallen àgradirt vnd vffgehoben daß deren exemplarien nahent alle vffgegangen vnd zerflogen entzwiſchen aber ich ſo wol von e graͤfl excell gn gſt gſt gſt gſt vnd gſt als auch andern der buͤchſenmeiſterey kunſt begirigen hochanſehnlichen herꝛen ſo ſchrifft ſo muͤndlich ohn vnderlaß angeſucht vnd erinnert woꝛden ernannte halonitropyroboliam neben deme was mir etwan ſonſten vnder ſolcher zeit von der buͤchſenmeiſterey kunſt weiters auch zu vermehrung deß wercks beygefallen vnd practicirt hinzu zu ſetzen vnd zu verbeſſern auch den poſteris vmb uͤffnung deß boni publici mitzutheilen so hab ich weilen es gleichwol meiner profeſſion nit iſt ſonder allein mein recreation darinn ſuche meniglichen zum beſten ſintemahlen pallas ihr lection hierbey auch finden wird,demnach unden in der an den gunstigen leser abgangenen uorred mit mehrerm und nach langs angedeutet und aussgefuhrt wird was massen mein in anno zu offenem truck gegebene halonitropyrobolia wie geringfugig auch selbiges wercklin immer gewesen bey sehr uilen in polemicis wol exercirten und dapffern mannern zuuorderst aber bey e grafl excell gn gst gst gst gst und gst mit solchem dancknemigem gefallen agradirt und uffgehoben dass deren exemplarien nahent alle uffgegangen und zerflogen entzwischen aber ich so wol uon e grafl excell gn gst gst gst gst und gst als auch andern der buchsenmeisterey kunst begirigen hochansehnlichen heren so schrifft so mundlich ohn underlass angesucht und erinnert woden ernannte halonitropyroboliam neben deme was mir etwan sonsten under solcher zeit uon der buchsenmeisterey kunst weiters auch zu uermehrung dess wercks beygefallen und practicirt hinzu zu setzen und zu uerbessern auch den posteris umb uffnung dess boni publici mitzutheilen so hab ich weilen es gleichwol meiner profession nit ist sonder allein mein recreation darinn suche meniglichen zum besten sintemahlen pallas ihr lection hierbey auch finden wird
furttenbach_buechsenmeister_1643,body,3,1,False,10,") kein Vmbgang nemmen koͤnnen noch ſollen/ diſe anjetzo mit vilen Zuſaͤtzen ernewerte/ corrigirte/ vnd vff vnſer Teutſches Gewicht/ vnd Manier gerichte Halonitro-Pyroboliam, vnder dem Tittul Buͤchſenmeiſterey Schul/ nicht allein zum andern mahl ſub prælum zu geben/ ſondern auch E: Graͤfl: Excell: Gn: Gſt: Gſt: Gſt: Gſt: vnd gſt: vornemblich der Vrſachen halber/ vnderthaͤnig/ vnd dienſtlich zu dedicieren, vnd zu zuaignen/ alldieweil denſelben vnentſuncken/ daß ſie zum theil damahlen perſoͤnlichen in Italia, auch eben bey denen in diſem Tractat begriffenen Feurwercken geweſen/ vnd alſo augenſcheinlich deren effectum, vnd operation geſehen: nit zweiflend/ gleich wie ich diſes zwar geringe Wercklin/ mit E: Graͤfl: Excell: Gn: Gſt: Gſt: Gſt: Gſt: vn̄ gſt: als hochanſehnlichen/ der Kunſt ſelbſt erfahrenen Herꝛen/ vnd Grund Saͤulen vnderſtuͤtzen wollen: Alſo werden ſie hingegen Jhnen auch nit mißfallen laſſen/ ſolches vnder ihre Protection zu nemmen/ vnd alſo zu verthaͤdingen/ daß es vor der Zoilanten Anſtoͤß/ vnd Neidbiſſen moͤge geſichert verbleiben/ mit vnterthaͤnig vnd dienſtlicher Bitt/ diſe meine Arbeit in Gn: vnd gſt: vff- und anzunemmen/ Befehle E. Graͤfl.",kein vmbgang nemmen koͤnnen noch ſollen diſe anjetzo mit vilen zuſaͤtzen ernewerte corrigirte vnd vff vnſer teutſches gewicht vnd manier gerichte halonitropyroboliam vnder dem tittul buͤchſenmeiſterey schul nicht allein zum andern mahl ſub prælum zu geben ſondern auch e graͤfl excell gn gſt gſt gſt gſt vnd gſt vornemblich der vrſachen halber vnderthaͤnig vnd dienſtlich zu dedicieren vnd zu zuaignen alldieweil denſelben vnentſuncken daß ſie zum theil damahlen perſoͤnlichen in italia auch eben bey denen in diſem tractat begriffenen feurwercken geweſen vnd alſo augenſcheinlich deren effectum vnd operation geſehen nit zweiflend gleich wie ich diſes zwar geringe wercklin mit e graͤfl excell gn gſt gſt gſt gſt vn̄ gſt als hochanſehnlichen der kunſt ſelbſt erfahrenen herꝛen vnd grund saͤulen vnderſtuͤtzen wollen alſo werden ſie hingegen jhnen auch nit mißfallen laſſen ſolches vnder ihre protection zu nemmen vnd alſo zu verthaͤdingen daß es vor der zoilanten anſtoͤß vnd neidbiſſen moͤge geſichert verbleiben mit vnterthaͤnig vnd dienſtlicher bitt diſe meine arbeit in gn vnd gſt vff und anzunemmen befehle e graͤfl,kein umbgang nemmen konnen noch sollen dise anietzo mit uilen zusatzen ernewerte corrigirte und uff unser teutsches gewicht und manier gerichte halonitropyroboliam under dem tittul buchsenmeisterey schul nicht allein zum andern mahl sub praelum zu geben sondern auch e grafl excell gn gst gst gst gst und gst uornemblich der ursachen halber underthanig und dienstlich zu dedicieren und zu zuaignen alldieweil denselben unentsuncken dass sie zum theil damahlen personlichen in italia auch eben bey denen in disem tractat begriffenen feurwercken gewesen und also augenscheinlich deren effectum und operation gesehen nit zweiflend gleich wie ich dises zwar geringe wercklin mit e grafl excell gn gst gst gst gst und gst als hochansehnlichen der kunst selbst erfahrenen heren und grund saulen understutzen wollen also werden sie hingegen ihnen auch nit missfallen lassen solches under ihre protection zu nemmen und also zu uerthadingen dass es uor der zoilanten anstoss und neidbissen moge gesichert uerbleiben mit unterthanig und dienstlicher bitt dise meine arbeit in gn und gst uff und anzunemmen befehle e grafl
furttenbach_buechsenmeister_1643,body,3,2,False,10,Excell: Gn. Gſt. Gſt. Gſt. Gſt. vnd gſt. darbey/ deß Allgewaltigen Schutzes zu immerwehrenden Wolſtand/ erwuͤnſchter Geſundheit/ vnd aller dero Chriſtloͤbl.,excell gn gſt gſt gſt gſt vnd gſt darbey deß allgewaltigen schutzes zu immerwehrenden wolſtand erwuͤnſchter geſundheit vnd aller dero chriſtloͤbl,excell gn gst gst gst gst und gst darbey dess allgewaltigen schutzes zu immerwehrenden wolstand erwunschter gesundheit und aller dero christlobl
