doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
luetkemann_leichsermon_1644,body,0,0,True,1,"Von dem Leben im Glauben JEsu CHristi Ein Leich-Sermon Bey der Christlichen Leichbegängnüs Des Weyland Ehrenvesten vnd Wolgelahrten Herrn Henrici Brockes Patricij Lubecensis, LL. Studiosi, Am 16. Tag Februarij / dieses 1644. Jahres zu Rosteck in der Chumb-Kirchen zu S. Jacob gehalten Von JOACHIMO LÜTKEMANN, Diener am Worte Gottes zu S. Jacob / vnd bey der Vntversität Professore. Bey Nicolaus Keyl der Vnivers. Buchdr.",von dem leben im glauben jesu christi ein leichsermon bey der christlichen leichbegängnüs des weyland ehrenvesten vnd wolgelahrten herrn henrici brockes patricij lubecensis ll studiosi am tag februarij dieses jahres zu rosteck in der chumbkirchen zu s jacob gehalten von joachimo lütkemann diener am worte gottes zu s jacob vnd bey der vntversität professore bey nicolaus keyl der vnivers buchdr,uon dem leben im glauben iesu christi ein leichsermon bey der christlichen leichbegangnus des weyland ehrenuesten und wolgelahrten herrn henrici brockes patricii lubecensis ll studiosi am tag februarii dieses iahres zu rosteck in der chumbkirchen zu s iacob gehalten uon ioachimo lutkemann diener am worte gottes zu s iacob und bey der untuersitat professore bey nicolaus keyl der uniuers buchdr
luetkemann_leichsermon_1644,body,1,0,True,1,Dem Woll Ehrenvesten / Großachtbahren vnd Hochweisen Herrn Otto Brockes / der des Römisch: Reichs freyen Stadt Lübeck wolverordenten Bürgermeistern / alß des verstorbenen Hochbetrübten H. Vater. vnd desselben Vrüdern Den Ehrenvesten vnd Achtbahren,dem woll ehrenvesten großachtbahren vnd hochweisen herrn otto brockes der des römisch reichs freyen stadt lübeck wolverordenten bürgermeistern alß des verstorbenen hochbetrübten h vater vnd desselben vrüdern den ehrenvesten vnd achtbahren,dem woll ehrenuesten grossachtbahren und hochweisen herrn otto brockes der des romisch reichs freyen stadt lubeck woluerordenten burgermeistern alss des uerstorbenen hochbetrubten h uater und desselben urudern den ehrenuesten und achtbahren
luetkemann_leichsermon_1644,head,2,0,False,1,Herren Johan vnd H. Otto Brotkes.,herren johan vnd h otto brotkes,herren iohan und h otto brotkes
luetkemann_leichsermon_1644,body,2,1,True,1,Wie auch den Leydtragenden Schwestern / Den Ehr vnnd Viel-Tugentreichen Frawen /,wie auch den leydtragenden schwestern den ehr vnnd vieltugentreichen frawen,wie auch den leydtragenden schwestern den ehr unnd uieltugentreichen frawen
luetkemann_leichsermon_1644,body,3,0,True,1,Fraw Margareta / H. Conradi zur Helten / Vornehmen Bürgers in Lübeck Ehelicher Haußfrawen.,fraw margareta h conradi zur helten vornehmen bürgers in lübeck ehelicher haußfrawen,fraw margareta h conradi zur helten uornehmen burgers in lubeck ehelicher haussfrawen
luetkemann_leichsermon_1644,body,4,0,True,1,Fr. Catharina / Herrn Jürgen Bartels gleichsfals Vornehmen Bürgers in Lübeck Ehelicher Haußfrawen.,fr catharina herrn jürgen bartels gleichsfals vornehmen bürgers in lübeck ehelicher haußfrawen,fr catharina herrn iurgen bartels gleichsfals uornehmen burgers in lubeck ehelicher haussfrawen
luetkemann_leichsermon_1644,body,5,0,True,1,Fr. Gertrud / Herrn Hieronymi von Dorn / Rittern / Ehelicher Haußfrawen.,fr gertrud herrn hieronymi von dorn rittern ehelicher haußfrawen,fr gertrud herrn hieronymi uon dorn rittern ehelicher haussfrawen
luetkemann_leichsermon_1644,body,6,0,True,1,Fr. Anna / Herrn Eberhardi Weydenkopffs J. U. Doctoris vnd Vornehmen Practici in Holstein / Ehelicher Haußfrawen.,fr anna herrn eberhardi weydenkopffs j u doctoris vnd vornehmen practici in holstein ehelicher haußfrawen,fr anna herrn eberhardi weydenkopffs i u doctoris und uornehmen practici in holstein ehelicher haussfrawen
luetkemann_leichsermon_1644,body,7,0,False,1,Fr. Magdalena / Herrn Henning Paulsen / Patricij zu Lübeck / Ehelicher Haußfrawen.,fr magdalena herrn henning paulsen patricij zu lübeck ehelicher haußfrawen,fr magdalena herrn henning paulsen patricii zu lubeck ehelicher haussfrawen
luetkemann_leichsermon_1644,body,7,1,True,1,Meinen Großgünstigen Hoch-vnd Vielgeehrten Herren vnd Freunden / wie auch Ehrengünstigen Fraweit Wünschet Gottes reiche Gnade / kräfftigen Trost des H. Geistes / vnd das würdige Leben vnd Beständigkeit im Glauben Jesu Christi.,meinen großgünstigen hochvnd vielgeehrten herren vnd freunden wie auch ehrengünstigen fraweit wünschet gottes reiche gnade kräfftigen trost des h geistes vnd das würdige leben vnd beständigkeit im glauben jesu christi,meinen grossgunstigen hochund uielgeehrten herren und freunden wie auch ehrengunstigen fraweit wunschet gottes reiche gnade krafftigen trost des h geistes und das wurdige leben und bestandigkeit im glauben iesu christi
luetkemann_leichsermon_1644,item,8,0,True,1,Joachimus Lütkemann.,joachimus lütkemann,ioachimus lutkemann
luetkemann_leichsermon_1644,body,9,0,False,3,HOchweiser Herr Bür germeister / Großgünstiger Herr / vielgeehrte Freunde / auch viel Ehr- vnd Tugendtreiche Ehrengünstige Frawen / allesampt in CHristo JEsu Geliebte.,hochweiser herr bür germeister großgünstiger herr vielgeehrte freunde auch viel ehr vnd tugendtreiche ehrengünstige frawen allesampt in christo jesu geliebte,hochweiser herr bur germeister grossgunstiger herr uielgeehrte freunde auch uiel ehr und tugendtreiche ehrengunstige frawen allesampt in christo iesu geliebte
luetkemann_leichsermon_1644,body,9,1,False,3,Wie denselben die betrübte Botschafft von dem frühzeitigen Abscheid jhres respectivè Hertzlieben Sohns vnd Brudern ist zu Hause kommen / werden sie zweiffels ohn drüber sehr bestürtzet gewordẽ seyn / vñ wird es insonderheit in dem väterlichen Hertzẽ eine schwere Wunde verursachet haben / die vieleicht noch nicht gar geheylet ist.,wie denselben die betrübte botschafft von dem frühzeitigen abscheid jhres respectivè hertzlieben sohns vnd brudern ist zu hause kommen werden sie zweiffels ohn drüber sehr bestürtzet gewordẽ seyn vñ wird es insonderheit in dem väterlichen hertzẽ eine schwere wunde verursachet haben die vieleicht noch nicht gar geheylet ist,wie denselben die betrubte botschafft uon dem fruhzeitigen abscheid ihres respectiue hertzlieben sohns und brudern ist zu hause kommen werden sie zweiffels ohn druber sehr besturtzet geworden seyn und wird es insonderheit in dem uaterlichen hertzen eine schwere wunde uerursachet haben die uieleicht noch nicht gar geheylet ist
luetkemann_leichsermon_1644,body,9,2,False,3,Denn es ist die Liebe Christlicher Eltern zart vnd knellig gegen die Kinder / vnd kan gar leicht mit Sorge vnd Kümmernüs verletzet werden.,denn es ist die liebe christlicher eltern zart vnd knellig gegen die kinder vnd kan gar leicht mit sorge vnd kümmernüs verletzet werden,denn es ist die liebe christlicher eltern zart und knellig gegen die kinder und kan gar leicht mit sorge und kummernus uerletzet werden
