doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635358336,body,0,0,True,1,Chriſtliches Gedaͤchtnis Dem Weyland Ehrenveſten Nahmhafften Wolweiſen Hn. Bartholomaeus Teichman/ der Stadt Heiligen Beil wolverdienten Buͤrgermeiſter/ Welcher den 19. Weinmonats Tag 1646 ſanfft vnd ſeelig eingeſchlaffen/ vnd den 25. ſelbigen Monats vnd Jahres Chriſtlich vnd Ehrlich in der H. Beilſchen Kirchen beerdiget worden Der Ehr vnd Tugendreichen Fr. Maria Siegfriedinn/ ſeiner geweſenen hertzlieben Hausfr. vnd nun hochbetruͤbten Witwen/ wie auch dero lieben Kindern zum Troſt geſchrieben Von Simon Dachen. Koͤnigsberg/ Gedruckt durch Johann Reuſnern.,chriſtliches gedaͤchtnis dem weyland ehrenveſten nahmhafften wolweiſen hn bartholomaeus teichman der stadt heiligen beil wolverdienten buͤrgermeiſter welcher den weinmonats tag ſanfft vnd ſeelig eingeſchlaffen vnd den ſelbigen monats vnd jahres chriſtlich vnd ehrlich in der h beilſchen kirchen beerdiget worden der ehr vnd tugendreichen fr maria siegfriedinn ſeiner geweſenen hertzlieben hausfr vnd nun hochbetruͤbten witwen wie auch dero lieben kindern zum troſt geſchrieben von simon dachen koͤnigsberg gedruckt durch johann reuſnern,christliches gedachtnis dem weyland ehrenuesten nahmhafften wolweisen hn bartholomaeus teichman der stadt heiligen beil woluerdienten burgermeister welcher den weinmonats tag sanfft und seelig eingeschlaffen und den selbigen monats und iahres christlich und ehrlich in der h beilschen kirchen beerdiget worden der ehr und tugendreichen fr maria siegfriedinn seiner gewesenen hertzlieben hausfr und nun hochbetrubten witwen wie auch dero lieben kindern zum trost geschrieben uon simon dachen konigsberg gedruckt durch iohann reusnern
635358336,body,1,0,False,2,Die es trewlich mit Euch meinen/,die es trewlich mit euch meinen,die es trewlich mit euch meinen
635358336,body,1,1,False,2,Muͤſſen/ ewrem Vrtheil nach/,muͤſſen ewrem vrtheil nach,mussen ewrem urtheil nach
635358336,body,1,2,False,2,Fraw/ bey dieſem Vngemach,fraw bey dieſem vngemach,fraw bey diesem ungemach
635358336,body,1,3,False,2,Euch nicht troͤſten/ ſondern weinen/,euch nicht troͤſten ſondern weinen,euch nicht trosten sondern weinen
635358336,body,1,4,False,2,Vnd geſtehn/ daß Gottes Raht,vnd geſtehn daß gottes raht,und gestehn dass gottes raht
635358336,body,1,5,True,2,Euch ſehr hoch betruͤbet hat.,euch ſehr hoch betruͤbet hat,euch sehr hoch betrubet hat
635358336,body,2,0,False,2,Nun/ wañ Jhr Euch koͤnnt beſinnen/,nun wañ jhr euch koͤnnt beſinnen,nun wann ihr euch konnt besinnen
635358336,body,2,1,False,2,Bin ich Euch nicht unverwandt/,bin ich euch nicht unverwandt,bin ich euch nicht unuerwandt
635358336,body,2,2,False,2,Siegfried/ den des Todes Handt,siegfried den des todes handt,siegfried den des todes handt
