doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635368625,body,0,0,True,5,Chriſtliche Troſt-Schrifft Bey Chriſtlicher und anſehnlicher Leich-beſtattung Der weiland Edlen viel Ehr und Tugendreichen Fr. Maria/ gebohrnen Ridelinn/ Welche in hertzlicher Anruffung jhres Erloͤſers 1648. 21. Mey ſelig eingeſchlaffen/ und den 24. drauff in der Altſtaͤdtiſchen Kirchen Koͤnigsberg ehrlich eingeſencket An dero Hochbetruͤbten hinterlaſſen Witwer Den Ehrnveſten Achtbarn vnd Wollbenahmten Hn. Johann Schmeiſſen/ Koͤnigl. Maytt in Pohlen vnd Schweden wie auch Churfl. Brandenb. wolbeſtallten Factorn &c. Meinen Hochgeehrten Herrn vnd Freuͤnd geſchrieben von mir Simon Dachen. Gedruckt durch Johann Reuſnern.,chriſtliche troſtschrifft bey chriſtlicher und anſehnlicher leichbeſtattung der weiland edlen viel ehr und tugendreichen fr maria gebohrnen ridelinn welche in hertzlicher anruffung jhres erloͤſers mey ſelig eingeſchlaffen und den drauff in der altſtaͤdtiſchen kirchen koͤnigsberg ehrlich eingeſencket an dero hochbetruͤbten hinterlaſſen witwer den ehrnveſten achtbarn vnd wollbenahmten hn johann schmeiſſen koͤnigl maytt in pohlen vnd schweden wie auch churfl brandenb wolbeſtallten factorn &c meinen hochgeehrten herrn vnd freuͤnd geſchrieben von mir simon dachen gedruckt durch johann reuſnern,christliche trostschrifft bey christlicher und ansehnlicher leichbestattung der weiland edlen uiel ehr und tugendreichen fr maria gebohrnen ridelinn welche in hertzlicher anruffung ihres erlosers mey selig eingeschlaffen und den drauff in der altstadtischen kirchen konigsberg ehrlich eingesencket an dero hochbetrubten hinterlassen witwer den ehrnuesten achtbarn und wollbenahmten hn iohann schmeissen konigl maytt in pohlen und schweden wie auch churfl brandenb wolbestallten factorn etc meinen hochgeehrten herrn und freund geschrieben uon mir simon dachen gedruckt durch iohann reusnern
635368625,body,1,0,False,6,HErr wer wil ſich untterwinden,herr wer wil ſich untterwinden,herr wer wil sich untterwinden
635368625,body,1,1,False,6,Jrgends Raht und Ruh zu finden,jrgends raht und ruh zu finden,irgends raht und ruh zu finden
635368625,body,1,2,False,6,Deiner hochbetruͤbten Zeit?,deiner hochbetruͤbten zeit,deiner hochbetrubten zeit
635368625,body,1,3,False,6,Dieſen gantz gerechten Zehren,dieſen gantz gerechten zehren,diesen gantz gerechten zehren
635368625,body,1,4,False,6,Troſt noch hoffen zugewehren,troſt noch hoffen zugewehren,trost noch hoffen zugewehren
635368625,body,1,5,True,6,Jst fuͤrwar Vermeſſenheit.,jst fuͤrwar vermeſſenheit,ist furwar uermessenheit
635368625,body,2,0,False,6,Meine Schuld fuͤr allen dingen,meine schuld fuͤr allen dingen,meine schuld fur allen dingen
635368625,body,2,1,False,6,Reitzt mich zwar dir bey zu ſpringen/,reitzt mich zwar dir bey zu ſpringen,reitzt mich zwar dir bey zu springen
635368625,body,2,2,False,6,Ja mein Hertz weint neben dir/,ja mein hertz weint neben dir,ia mein hertz weint neben dir
