doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635360128,body,0,0,True,1,Klag vnd Troſt-Reimchen Vber dem klaͤglichen aber ſeligen Ableiben Der Weiland Erbarn Viel Ehr vnd Tugendreichen Fr: Annen/ gebohrnen Weſſelin/ Hn. Heinrich Knoblochs etc. geweſenen hertzlieben Ehgenoſſen/ Welche Nachdem ſie newlich den 6. Mertz des Nachts uͤmb 1. Vhr einer jungen Tochter geneſen/ den 16. darauff ſelig im HErren eingeſchlaffen/ vnd den 20. Chriſtlich vnd Ehrlich beerdiget worden/ An die Hochbetruͤbten Hintterlaſſenen Anverwandten/ Geſchrieben Von Simon Dachen 1648. Gedruckt durch Johann Reuſnern.,klag vnd troſtreimchen vber dem klaͤglichen aber ſeligen ableiben der weiland erbarn viel ehr vnd tugendreichen fr annen gebohrnen weſſelin hn heinrich knoblochs etc geweſenen hertzlieben ehgenoſſen welche nachdem ſie newlich den mertz des nachts uͤmb vhr einer jungen tochter geneſen den darauff ſelig im herren eingeſchlaffen vnd den chriſtlich vnd ehrlich beerdiget worden an die hochbetruͤbten hintterlaſſenen anverwandten geſchrieben von simon dachen gedruckt durch johann reuſnern,klag und trostreimchen uber dem klaglichen aber seligen ableiben der weiland erbarn uiel ehr und tugendreichen fr annen gebohrnen wesselin hn heinrich knoblochs etc gewesenen hertzlieben ehgenossen welche nachdem sie newlich den mertz des nachts umb uhr einer iungen tochter genesen den darauff selig im herren eingeschlaffen und den christlich und ehrlich beerdiget worden an die hochbetrubten hintterlassenen anuerwandten geschrieben uon simon dachen gedruckt durch iohann reusnern
635360128,body,1,0,False,3,THar ich mich auch an Euch machen,thar ich mich auch an euch machen,thar ich mich auch an euch machen
635360128,body,1,1,False,3,Bey ſo ſchlecht-beſtalten Sachen/,bey ſo ſchlechtbeſtalten sachen,bey so schlechtbestalten sachen
635360128,body,1,2,False,3,Vnd dem ſteten Angſt-Geſchrey?,vnd dem ſteten angſtgeſchrey,und dem steten angstgeschrey
635360128,body,1,3,False,3,Wer lehrt mich die Weißheit faſſen?,wer lehrt mich die weißheit faſſen,wer lehrt mich die weissheit fassen
635360128,body,1,4,False,3,Wer den Glimpff? vnd welcher maſſen,wer den glimpff vnd welcher maſſen,wer den glimpff und welcher massen
635360128,body,1,5,True,3,Komm' ich ewrem Hertzen bey?,komm ich ewrem hertzen bey,komm ich ewrem hertzen bey
635360128,body,2,0,False,3,Hie ſieht man die Mutter klagen,hie ſieht man die mutter klagen,hie sieht man die mutter klagen
635360128,body,2,1,False,3,Vnd faſt allem Troſt entſagen:,vnd faſt allem troſt entſagen,und fast allem trost entsagen
635360128,body,2,2,False,3,Jetzt faͤllt Jhr jhr Alter ein,jetzt faͤllt jhr jhr alter ein,ietzt fallt ihr ihr alter ein
