doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
basteln_kichote_1648,head,0,0,True,1,"Don Kichote de la Mantzscha, Das ist: Juncker Harnisch auß Fleckenland / Auß Hispanischer Spraach in hochteutsche vbersetzt. Kauff mich: Vnd liß mich. Rewts dich: So friß mich. Odr ich Bezahl dich. Franckfurt / In Verlegung Thomæ Matthiæ Götzen. 1648.",don kichote de la mantzscha das ist juncker harnisch auß fleckenland auß hispanischer spraach in hochteutsche vbersetzt kauff mich vnd liß mich rewts dich so friß mich odr ich bezahl dich franckfurt in verlegung thomæ matthiæ götzen,don kichote de la mantzscha das ist iuncker harnisch auss fleckenland auss hispanischer spraach in hochteutsche ubersetzt kauff mich und liss mich rewts dich so friss mich odr ich bezahl dich franckfurt in uerlegung thomae matthiae gotzen
basteln_kichote_1648,head,1,0,True,3,Erster Theil Der abenthewrlichen Geschichte des scharpffsinnigen Lehns- vnd Rittersassen / Juncker Harnisches auß Fleckenland / Auß dem Spanischen ins Hochteutsche versetzt Durch Pahsch Basteln von der Sohle. HoffGeißmar / Gedruckt bey Salomon Schadewitz. Im Jahr 1648.,erster theil der abenthewrlichen geschichte des scharpffsinnigen lehns vnd rittersassen juncker harnisches auß fleckenland auß dem spanischen ins hochteutsche versetzt durch pahsch basteln von der sohle hoffgeißmar gedruckt bey salomon schadewitz im jahr,erster theil der abenthewrlichen geschichte des scharpffsinnigen lehns und rittersassen iuncker harnisches auss fleckenland auss dem spanischen ins hochteutsche uersetzt durch pahsch basteln uon der sohle hoffgeissmar gedruckt bey salomon schadewitz im iahr
basteln_kichote_1648,head,2,0,True,5,Dem Leser.,dem leser,dem leser
basteln_kichote_1648,body,3,0,False,5,BEym Eingang acht ich nicht von der Noth zuseyn / viel vrsachen allhiero anzusetzen / so mich zu verdolmetschung dieses Buchs bewogen.,beym eingang acht ich nicht von der noth zuseyn viel vrsachen allhiero anzusetzen so mich zu verdolmetschung dieses buchs bewogen,beym eingang acht ich nicht uon der noth zuseyn uiel ursachen allhiero anzusetzen so mich zu uerdolmetschung dieses buchs bewogen
basteln_kichote_1648,body,3,1,False,5,Wem das Werck zuvorhero bekandt / wird ohn mein erjnnern wissen / wie höchlichen man sich nach dessen vbersetzung in vnsere Muttersprach verlangen lassen.,wem das werck zuvorhero bekandt wird ohn mein erjnnern wissen wie höchlichen man sich nach dessen vbersetzung in vnsere muttersprach verlangen lassen,wem das werck zuuorhero bekandt wird ohn mein erinnern wissen wie hochlichen man sich nach dessen ubersetzung in unsere muttersprach uerlangen lassen
basteln_kichote_1648,body,3,2,False,5,Meines Orts zum wenigsten / bescheid ich mich / als es etwann kundbar worden / daß nach der Widerkunfft von meinen wenigen Reisen vor ohngefehr acht Jahren / ich dessen etwas zu verdolmetschen angefangen / wie hoch ich darinn fortzufahren vnnd es ans Liecht vnd herauß zugeben von hohes vnd mittelmässigs Stands Orten bin angestrengt worden: also gar / daß mans auch / mit bedrewung offentlichen drucks / zu mehrmahlen heimlich nachschreiben lassen.,meines orts zum wenigsten bescheid ich mich als es etwann kundbar worden daß nach der widerkunfft von meinen wenigen reisen vor ohngefehr acht jahren ich dessen etwas zu verdolmetschen angefangen wie hoch ich darinn fortzufahren vnnd es ans liecht vnd herauß zugeben von hohes vnd mittelmässigs stands orten bin angestrengt worden also gar daß mans auch mit bedrewung offentlichen drucks zu mehrmahlen heimlich nachschreiben lassen,meines orts zum wenigsten bescheid ich mich als es etwann kundbar worden dass nach der widerkunfft uon meinen wenigen reisen uor ohngefehr acht iahren ich dessen etwas zu uerdolmetschen angefangen wie hoch ich darinn fortzufahren unnd es ans liecht und herauss zugeben uon hohes und mittelmassigs stands orten bin angestrengt worden also gar dass mans auch mit bedrewung offentlichen drucks zu mehrmahlen heimlich nachschreiben lassen
basteln_kichote_1648,body,3,3,True,5,Worauf ich auß zweyen eins wöhlen vnd es lieber geändert vnnd mit wissen / als zerstümpelt vnd wider willen / zum druck vberlassen wollen: bevorab weiln vnsere Drangsalen mir vorige hieran säumige Hindernüssse / zu allgemeinem vnd meinem höchsten verderb / grosses Theils aussm mittel geraumbt / vnd mir etwas / oder vielleicht mehr / als mir leider gut / Zeit vnd Musse dazu an die hand gegeben.,worauf ich auß zweyen eins wöhlen vnd es lieber geändert vnnd mit wissen als zerstümpelt vnd wider willen zum druck vberlassen wollen bevorab weiln vnsere drangsalen mir vorige hieran säumige hindernüssse zu allgemeinem vnd meinem höchsten verderb grosses theils aussm mittel geraumbt vnd mir etwas oder vielleicht mehr als mir leider gut zeit vnd musse dazu an die hand gegeben,worauf ich auss zweyen eins wohlen und es lieber geandert unnd mit wissen als zerstumpelt und wider willen zum druck uberlassen wollen beuorab weiln unsere drangsalen mir uorige hieran saumige hindernussse zu allgemeinem und meinem hochsten uerderb grosses theils aussm mittel geraumbt und mir etwas oder uielleicht mehr als mir leider gut zeit und musse dazu an die hand gegeben
basteln_kichote_1648,body,4,0,False,6,So viel nun das Werck an sich selbs betrifft / darffs von mir keiner anzeig oder beschreibung: sintemahl Federn vnd Gesang den Vogel vor sich gnugsam an tag zuerkennen geben.,so viel nun das werck an sich selbs betrifft darffs von mir keiner anzeig oder beschreibung sintemahl federn vnd gesang den vogel vor sich gnugsam an tag zuerkennen geben,so uiel nun das werck an sich selbs betrifft darffs uon mir keiner anzeig oder beschreibung sintemahl federn und gesang den uogel uor sich gnugsam an tag zuerkennen geben
basteln_kichote_1648,body,4,1,False,6,Mit einem Wort ist derogleichen Schlachtbücher wol keins diesem an die Seit zusetzen.,mit einem wort ist derogleichen schlachtbücher wol keins diesem an die seit zusetzen,mit einem wort ist derogleichen schlachtbucher wol keins diesem an die seit zusetzen
basteln_kichote_1648,body,4,2,True,6,Welchs ich auch dannenhero geschlossen / daß / ob schon gewöhnlich der Pfenning / wo er geschlagen / am meisten gilt / ich doch in seinem GeburtsLande bey weitem dessen Würde nicht so hoch / als bey jedwedern andern Völckern / hab vermercken können.,welchs ich auch dannenhero geschlossen daß ob schon gewöhnlich der pfenning wo er geschlagen am meisten gilt ich doch in seinem geburtslande bey weitem dessen würde nicht so hoch als bey jedwedern andern völckern hab vermercken können,welchs ich auch dannenhero geschlossen dass ob schon gewohnlich der pfenning wo er geschlagen am meisten gilt ich doch in seinem geburtslande bey weitem dessen wurde nicht so hoch als bey iedwedern andern uolckern hab uermercken konnen
