doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_friedensschluss_1648,head,0,0,True,5,Friedens-Schluß/ Zwiſchen der Roͤmiſchen Kaͤyſerlichen/ Auch Aller-Chriſtl. Koͤnigl. Mayſt. Mayſt. Mit der Roͤm. Kaͤyſ. Mayſt. Special-Gnad vnd Freyheit; Auch Churfuͤrſtl. Maͤyntziſcher Conceſſion nicht nachzudrucken. Gedruckt zu Maͤyntz/ bey Nicolao Heyll. Jn Verlegung Philipps Jacob Fiſchers zu Franckfurt. Jm Jahr M. DC. XLVIII.,friedensschluß zwiſchen der roͤmiſchen kaͤyſerlichen auch allerchriſtl koͤnigl mayſt mayſt mit der roͤm kaͤyſ mayſt specialgnad vnd freyheit auch churfuͤrſtl maͤyntziſcher conceſſion nicht nachzudrucken gedruckt zu maͤyntz bey nicolao heyll jn verlegung philipps jacob fiſchers zu franckfurt jm jahr m dc xlviii,friedensschluss zwischen der romischen kayserlichen auch allerchristl konigl mayst mayst mit der rom kays mayst specialgnad und freyheit auch churfurstl mayntzischer concession nicht nachzudrucken gedruckt zu mayntz bey nicolao heyll in uerlegung philipps iacob fischers zu franckfurt im iahr m dc xluiii
nn_friedensschluss_1648,head,1,0,True,7,"Friedens-Schluß/ So von der Roͤmiſchen Kaͤyſerlichen/ Vnd Aller-Chriſtl. Koͤnigl. May. May. Als auch Deß Heyl. Roͤmiſchen Reichs Extraordinari Deputirten, vnd anderer Chur:Fuͤrſten vnd Staͤnd Gevollmaͤchtigten vnd Hochanſehenlichen Herꝛn Abgeſandten zu Muͤnſter in Weſtphalen/ am \frac {24}{14} Octobris Jm Jahr 1648. in offentlicher Verſamblung vnderſchrieben vnd bekraͤfftiget auch den \frac {25}{15}. eiuſdem ſolenniter publicirt worden/ &c. Auß dem wahren Original, wie es bey dem Chur-Maͤyntziſ. Reichs Directorio deponirt worden/ ins Teutſche verſetzt. Mit der Roͤm. Kaͤyſ. Mayſt. Special-Gnad vnd Freyheit; Auch Churfuͤrſtl. Maͤyntziſcher Conceſſion nicht nachzudrucken. Gedruckt zu Maͤyntz/ bey Nicolao Heyll. Jn Verlegung Philipps Jacob Fiſchers zu Franckfurt. Jm Jahr M. DC. XLVIII.",friedensschluß so von der roͤmiſchen kaͤyſerlichen vnd allerchriſtl koͤnigl may may als auch deß heyl roͤmiſchen reichs extraordinari deputirten vnd anderer churfuͤrſten vnd staͤnd gevollmaͤchtigten vnd hochanſehenlichen herꝛn abgeſandten zu muͤnſter in weſtphalen am frac octobris jm jahr in offentlicher verſamblung vnderſchrieben vnd bekraͤfftiget auch den frac eiuſdem ſolenniter publicirt worden &c auß dem wahren original wie es bey dem churmaͤyntziſ reichs directorio deponirt worden ins teutſche verſetzt mit der roͤm kaͤyſ mayſt specialgnad vnd freyheit auch churfuͤrſtl maͤyntziſcher conceſſion nicht nachzudrucken gedruckt zu maͤyntz bey nicolao heyll jn verlegung philipps jacob fiſchers zu franckfurt jm jahr m dc xlviii,friedensschluss so uon der romischen kayserlichen und allerchristl konigl may may als auch dess heyl romischen reichs extraordinari deputirten und anderer churfursten und stand geuollmachtigten und hochansehenlichen hern abgesandten zu munster in westphalen am frac octobris im iahr in offentlicher uersamblung underschrieben und bekrafftiget auch den frac eiusdem solenniter publicirt worden etc auss dem wahren original wie es bey dem churmayntzis reichs directorio deponirt worden ins teutsche uersetzt mit der rom kays mayst specialgnad und freyheit auch churfurstl mayntzischer concession nicht nachzudrucken gedruckt zu mayntz bey nicolao heyll in uerlegung philipps iacob fischers zu franckfurt im iahr m dc xluiii
nn_friedensschluss_1648,head,2,0,True,5,An den Leſer.,an den leſer,an den leser
nn_friedensschluss_1648,body,3,0,False,5,DEmnach niemand gebuͤhret/ ohne der Roͤm.,demnach niemand gebuͤhret ohne der roͤm,demnach niemand gebuhret ohne der rom
nn_friedensschluss_1648,body,3,1,False,5,Kayſ Mayſt wie auch Jhr Churfuͤrſtl.,kayſ mayſt wie auch jhr churfuͤrſtl,kays mayst wie auch ihr churfurstl
nn_friedensschluss_1648,body,3,2,False,5,Gn. zu Maintz/ als deß Heil. Roͤm.,gn zu maintz als deß heil roͤm,gn zu maintz als dess heil rom
nn_friedensschluss_1648,body,3,3,False,5,"Reichs Ertz Cantzlers durch Germanien/ erlangte Gnad/ Wiſſen vnd Willen/ die jenigen Acta, ſo bey offentlicher Reichsverſamblung zu Oßnabruͤck vorgangen ſeyn/ in Truck zu geben/ im Werck aber ſich ein vnd der ander vnterſtehen will/ daß ohnlaͤngſt zwiſchen alleꝛhoͤchſt bemelter jhr Kayſerl. May. wie auch Koͤnigl. May. in Schweden/ verglichene Inſtrumentum Pacis in Truck/ vnnd zwar nicht dem rechten Original gemaͤß/ außgehen zu laſſen/ Allerhoͤchſt beſagt jhr Kayſ.",reichs ertz cantzlers durch germanien erlangte gnad wiſſen vnd willen die jenigen acta ſo bey offentlicher reichsverſamblung zu oßnabruͤck vorgangen ſeyn in truck zu geben im werck aber ſich ein vnd der ander vnterſtehen will daß ohnlaͤngſt zwiſchen alleꝛhoͤchſt bemelter jhr kayſerl may wie auch koͤnigl may in schweden verglichene inſtrumentum pacis in truck vnnd zwar nicht dem rechten original gemaͤß außgehen zu laſſen allerhoͤchſt beſagt jhr kayſ,reichs ertz cantzlers durch germanien erlangte gnad wissen und willen die ienigen acta so bey offentlicher reichsuersamblung zu ossnabruck uorgangen seyn in truck zu geben im werck aber sich ein und der ander unterstehen will dass ohnlangst zwischen allehochst bemelter ihr kayserl may wie auch konigl may in schweden uerglichene instrumentum pacis in truck unnd zwar nicht dem rechten original gemass aussgehen zu lassen allerhochst besagt ihr kays
nn_friedensschluss_1648,body,3,4,False,5,Mayeſtet aber/ wie auch Jhr Churfuͤrſtl.,mayeſtet aber wie auch jhr churfuͤrſtl,mayestet aber wie auch ihr churfurstl
nn_friedensschluss_1648,body,3,5,True,5,"Gnaden zu Maintz/ als Ertz Cantzler durch Germanien/ Philips Jacob Fiſchern/ deß Raths zu Franckfurt/ die beſondere Kayſerliche vnnd Churfuͤrſtliche Gnad gethan/ vnnd von dero Reichs Directorio bey den General Friedens Tractaten ein authenticam Copiam, nach dem rechten wahren bey demſelben hinderlegtem Original/ gnaͤdigſt dahin ertheilt haben/ daß jhme allein ſolches trucken zu laſſen/ erlaubt/ allen andern aber/ vnd zwar/ bey Straff fuͤnff Marck loͤtiges Golds/ verbotten ſeyn ſolle/ wie hernach folgende beyde Kayſerliche vnnd Churfuͤrſtliche Privilegia mit mehrerm außweiſen/ Als iſt ſolches zu maͤnniglichs Nachricht anzudeuten/ fuͤr eine Notturfft er meſſen worden.",gnaden zu maintz als ertz cantzler durch germanien philips jacob fiſchern deß raths zu franckfurt die beſondere kayſerliche vnnd churfuͤrſtliche gnad gethan vnnd von dero reichs directorio bey den general friedens tractaten ein authenticam copiam nach dem rechten wahren bey demſelben hinderlegtem original gnaͤdigſt dahin ertheilt haben daß jhme allein ſolches trucken zu laſſen erlaubt allen andern aber vnd zwar bey straff fuͤnff marck loͤtiges golds verbotten ſeyn ſolle wie hernach folgende beyde kayſerliche vnnd churfuͤrſtliche privilegia mit mehrerm außweiſen als iſt ſolches zu maͤnniglichs nachricht anzudeuten fuͤr eine notturfft er meſſen worden,gnaden zu maintz als ertz cantzler durch germanien philips iacob fischern dess raths zu franckfurt die besondere kayserliche unnd churfurstliche gnad gethan unnd uon dero reichs directorio bey den general friedens tractaten ein authenticam copiam nach dem rechten wahren bey demselben hinderlegtem original gnadigst dahin ertheilt haben dass ihme allein solches trucken zu lassen erlaubt allen andern aber und zwar bey straff funff marck lotiges golds uerbotten seyn solle wie hernach folgende beyde kayserliche unnd churfurstliche priuilegia mit mehrerm aussweisen als ist solches zu manniglichs nachricht anzudeuten fur eine notturfft er messen worden
nn_friedensschluss_1648,head,4,0,True,6,Kayſerliches Privilegium.,kayſerliches privilegium,kayserliches priuilegium
