doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635376083,body,0,0,True,5,Chriſtliches Ehren-Gedaͤchtniß Der Weiland Viel Ehr vnd Tugendreichen Frawen Sophien/ gebohrnen Gretſchinn Des Ehrnveſten Achtbarn/ Nahmhafften vnd Wohlweiſen Herrn Martin Bierwolffs Wolverordneten Rahtsverwandten der loͤblichen Stadt Kneiphoff Koͤnigsberg ꝛc. hertzlieben Ehgenoſſen Welche 1649. 14. Hewmon. in hertzlicher Anruffung Jeſu Chriſti ſanfft vnd ſelig eingeſchlaffen/ vnd darauff den 16. gedachten Monats Chriſtlich vnd ehrlich in ihr Ruhbettlein gebracht/ mitleidendem Hertzen geſtifftet von Simon Dachen. Koͤnigsberg/ Gedruckt durch Johann Reuſnern.,chriſtliches ehrengedaͤchtniß der weiland viel ehr vnd tugendreichen frawen sophien gebohrnen gretſchinn des ehrnveſten achtbarn nahmhafften vnd wohlweiſen herrn martin bierwolffs wolverordneten rahtsverwandten der loͤblichen stadt kneiphoff koͤnigsberg ꝛc hertzlieben ehgenoſſen welche hewmon in hertzlicher anruffung jeſu chriſti ſanfft vnd ſelig eingeſchlaffen vnd darauff den gedachten monats chriſtlich vnd ehrlich in ihr ruhbettlein gebracht mitleidendem hertzen geſtifftet von simon dachen koͤnigsberg gedruckt durch johann reuſnern,christliches ehrengedachtniss der weiland uiel ehr und tugendreichen frawen sophien gebohrnen gretschinn des ehrnuesten achtbarn nahmhafften und wohlweisen herrn martin bierwolffs woluerordneten rahtsuerwandten der loblichen stadt kneiphoff konigsberg c hertzlieben ehgenossen welche hewmon in hertzlicher anruffung iesu christi sanfft und selig eingeschlaffen und darauff den gedachten monats christlich und ehrlich in ihr ruhbettlein gebracht mitleidendem hertzen gestifftet uon simon dachen konigsberg gedruckt durch iohann reusnern
635376083,body,1,0,False,6,WAs hoͤr ich? was erzehlt man mir?,was hoͤr ich was erzehlt man mir,was hor ich was erzehlt man mir
635376083,body,1,1,False,6,Jhr koͤñt in dieſes Leid Euch finden/,jhr koͤñt in dieſes leid euch finden,ihr konnt in dieses leid euch finden
635376083,body,1,2,False,6,Die Trawrigkeit/ das wilde Thier/,die trawrigkeit das wilde thier,die trawrigkeit das wilde thier
635376083,body,1,3,False,6,Durch Krafft des Glaubens uͤberwinden?,durch krafft des glaubens uͤberwinden,durch krafft des glaubens uberwinden
635376083,body,1,4,False,6,Vnd raͤumet ewer Hertz allein,vnd raͤumet ewer hertz allein,und raumet ewer hertz allein
635376083,body,1,5,True,6,Des Allerhoͤchſten Willen ein?,des allerhoͤchſten willen ein,des allerhochsten willen ein
635376083,body,2,0,False,6,Jſt dieſem alſo/ welches ich,jſt dieſem alſo welches ich,ist diesem also welches ich
635376083,body,2,1,False,6,Denn hertzlich wil gewuͤnſchet haben;,denn hertzlich wil gewuͤnſchet haben,denn hertzlich wil gewunschet haben
635376083,body,2,2,False,6,So ſag ich/ daß in Warheit ſich,so ſag ich daß in warheit ſich,so sag ich dass in warheit sich
