doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
635377063,body,0,0,True,5,Letztes Ehren-gedaͤchtniß Dem Weiland Edlen WolEhrnveſten GroßAchtbarn und Hochgelarten Hn. Chriſtoff Derſchowen Jhrer Fuͤrſtl. Gnaden des Herzogen in Churland ett. etc. Wollverordneten Raht/ auff Kaulitzgen etc . Erbſaſſen Welcher in wichtigen Geſchaͤfften am Kaͤyſerlichen Hoffe zu Wien ſich befunden/ vnnd daſelbſt durch vnverhofften vnd trawrigen Todesfall ſanfft vnd ſelig abgefordert Chriſtlich vnd anſehnlich beerdiget worden Der Hochbetruͤbten Fraw Witwen vnd andern hinterlaſſnen zu Troſt erwieſen Von Simon Dachen 1649. 24. Weinmonat Koͤnigsberg/ Gedruckt durch Johann Reuſnern.,letztes ehrengedaͤchtniß dem weiland edlen wolehrnveſten großachtbarn und hochgelarten hn chriſtoff derſchowen jhrer fuͤrſtl gnaden des herzogen in churland ett etc wollverordneten raht auff kaulitzgen etc erbſaſſen welcher in wichtigen geſchaͤfften am kaͤyſerlichen hoffe zu wien ſich befunden vnnd daſelbſt durch vnverhofften vnd trawrigen todesfall ſanfft vnd ſelig abgefordert chriſtlich vnd anſehnlich beerdiget worden der hochbetruͤbten fraw witwen vnd andern hinterlaſſnen zu troſt erwieſen von simon dachen weinmonat koͤnigsberg gedruckt durch johann reuſnern,letztes ehrengedachtniss dem weiland edlen wolehrnuesten grossachtbarn und hochgelarten hn christoff derschowen ihrer furstl gnaden des herzogen in churland ett etc wolluerordneten raht auff kaulitzgen etc erbsassen welcher in wichtigen geschafften am kayserlichen hoffe zu wien sich befunden unnd daselbst durch unuerhofften und trawrigen todesfall sanfft und selig abgefordert christlich und ansehnlich beerdiget worden der hochbetrubten fraw witwen und andern hinterlassnen zu trost erwiesen uon simon dachen weinmonat konigsberg gedruckt durch iohann reusnern
635377063,body,1,0,False,6,WAs ich von ewres Hertzens Pein,was ich von ewres hertzens pein,was ich uon ewres hertzens pein
635377063,body,1,1,False,6,Anjetzt ſol reden oder ſchweigen,anjetzt ſol reden oder ſchweigen,anietzt sol reden oder schweigen
635377063,body,1,2,False,6,Fallt/ wehrte Fraw/ mir gar nicht,fallt wehrte fraw mir gar nicht,fallt wehrte fraw mir gar nicht
635377063,body,1,3,False,6,Denn ich bin ſelber nicht mein eigen: (ein/,denn ich bin ſelber nicht mein eigen ein,denn ich bin selber nicht mein eigen ein
635377063,body,1,4,False,6,So ſehr hat ewres Creutzes Macht.,so ſehr hat ewres creutzes macht,so sehr hat ewres creutzes macht
635377063,body,1,5,True,6,Ergrimmt mich vnter ſich gebracht.,ergrimmt mich vnter ſich gebracht,ergrimmt mich unter sich gebracht
635377063,body,2,0,False,6,Wer dieſen hochbetruͤbten Fall,wer dieſen hochbetruͤbten fall,wer diesen hochbetrubten fall
635377063,body,2,1,False,6,Recht anſieht vnd nicht wird beweget/,recht anſieht vnd nicht wird beweget,recht ansieht und nicht wird beweget
635377063,body,2,2,False,6,Der iſt ein Vnmenſch/ hat Metall,der iſt ein vnmenſch hat metall,der ist ein unmensch hat metall
635377063,body,2,3,False,6,Vnd Felſen umb ſein Hertz geleget/,vnd felſen umb ſein hertz geleget,und felsen umb sein hertz geleget
635377063,body,2,4,False,6,Verſtehet nicht was Heyraht-Trew,verſtehet nicht was heyrahttrew,uerstehet nicht was heyrahttrew
635377063,body,2,5,True,6,Noch was Verdienſt vnd Tugend ſey.,noch was verdienſt vnd tugend ſey,noch was uerdienst und tugend sey
635377063,body,3,0,False,6,Mir fehlt Vermoͤgen Zeit vnd Muth/,mir fehlt vermoͤgen zeit vnd muth,mir fehlt uermogen zeit und muth
635377063,body,3,1,False,6,Sonſt waͤr hie Fug ſein gantzes Leben/,sonſt waͤr hie fug ſein gantzes leben,sonst war hie fug sein gantzes leben
635377063,body,3,2,False,6,Vnd ſeiner Kuͤnſte thewres Gut,vnd ſeiner kuͤnſte thewres gut,und seiner kunste thewres gut
635377063,body,3,3,False,6,Sein' Ehr vnd Anſehn zu erheben/,sein ehr vnd anſehn zu erheben,sein ehr und ansehn zu erheben
635377063,body,3,4,False,6,Denn vnſrer Schmertzen gutter Grund,denn vnſrer schmertzen gutter grund,denn unsrer schmertzen gutter grund
635377063,body,3,5,True,6,Vnd ſein Verluſt wuͤrd hiedurch kunt.,vnd ſein verluſt wuͤrd hiedurch kunt,und sein uerlust wurd hiedurch kunt
635377063,body,4,0,False,7,Jch laſſe ſein Geſchlecht hier aus/,jch laſſe ſein geſchlecht hier aus,ich lasse sein geschlecht hier aus
635377063,body,4,1,False,7,Es waͤre viel davon zuſprechen/,es waͤre viel davon zuſprechen,es ware uiel dauon zusprechen
635377063,body,4,2,False,7,Hat Keyſer Rudolph nicht ſein Hauß,hat keyſer rudolph nicht ſein hauß,hat keyser rudolph nicht sein hauss
635377063,body,4,3,False,7,Geadelt an der Mulden Baͤchen:,geadelt an der mulden baͤchen,geadelt an der mulden bachen
635377063,body,4,4,False,7,Mit Schild vnd Wapen es verehrt/,mit schild vnd wapen es verehrt,mit schild und wapen es uerehrt
635377063,body,4,5,True,7,Vnd dieſen Stam nicht ſchlecht vermehrt?,vnd dieſen stam nicht ſchlecht vermehrt,und diesen stam nicht schlecht uermehrt
635377063,body,5,0,False,7,Sein beſter Adel war die Kunſt/,sein beſter adel war die kunſt,sein bester adel war die kunst
635377063,body,5,1,False,7,Er hat ſich nicht vergnuͤgt geſchaͤtzet,er hat ſich nicht vergnuͤgt geſchaͤtzet,er hat sich nicht uergnugt geschatzet
635377063,body,5,2,False,7,Biß er erhalten jhre Gunſt,biß er erhalten jhre gunſt,biss er erhalten ihre gunst
635377063,body,5,3,False,7,Mit welcher Strasburg jhn ergetzet/,mit welcher strasburg jhn ergetzet,mit welcher strasburg ihn ergetzet
635377063,body,5,4,False,7,Sie ſchenckt jhm da zum Eigenthum,sie ſchenckt jhm da zum eigenthum,sie schenckt ihm da zum eigenthum
635377063,body,5,5,True,7,Der Rechtsgelehrten hoͤchſten Rhum.,der rechtsgelehrten hoͤchſten rhum,der rechtsgelehrten hochsten rhum
635377063,body,6,0,False,7,Er kam nach langen Reiſen heim,er kam nach langen reiſen heim,er kam nach langen reisen heim
635377063,body,6,1,False,7,Vnd lieſſ auch/ wie wir ſaͤmptlich wiſſen/,vnd lieſſ auch wie wir ſaͤmptlich wiſſen,und liess auch wie wir samptlich wissen
635377063,body,6,2,False,7,Der Kuͤnſt vnd Weisheit Honig-Seim,der kuͤnſt vnd weisheit honigseim,der kunst und weisheit honigseim
635377063,body,6,3,False,7,Auff vnſre Jugend reichlich flieſſen/,auff vnſre jugend reichlich flieſſen,auff unsre iugend reichlich fliessen
635377063,body,6,4,False,7,Wie mancher iſt/ der ſeinem Fleiß,wie mancher iſt der ſeinem fleiß,wie mancher ist der seinem fleiss
635377063,body,6,5,True,7,Nicht ein geringes ſchuldig weis.,nicht ein geringes ſchuldig weis,nicht ein geringes schuldig weis
635377063,body,7,0,False,7,Hieruͤber bricht ſein Lob hervor,hieruͤber bricht ſein lob hervor,hieruber bricht sein lob heruor
635377063,body,7,1,False,7,(Denn welchen heben ſeine Gaben,denn welchen heben ſeine gaben,denn welchen heben seine gaben
635377063,body,7,2,False,7,Nicht bald vnd vnvermerckt empor?),nicht bald vnd vnvermerckt empor,nicht bald und unuermerckt empor
635377063,body,7,3,False,7,Dein Herzog/ Churland/ muß jhn haben/,dein herzog churland muß jhn haben,dein herzog churland muss ihn haben
635377063,body,7,4,False,7,Er giebt auch dem Verhaͤngnis ſtat,er giebt auch dem verhaͤngnis ſtat,er giebt auch dem uerhangnis stat
635377063,body,7,5,True,7,Zeucht hin vnd wird ſein weiſer Raht.,zeucht hin vnd wird ſein weiſer raht,zeucht hin und wird sein weiser raht
635377063,body,8,0,False,8,Wie hat der Held/ wie hat ſein Land,wie hat der held wie hat ſein land,wie hat der held wie hat sein land
635377063,body,8,1,False,8,Biſher in mancher ſchweren Sachen,biſher in mancher ſchweren sachen,bisher in mancher schweren sachen
635377063,body,8,2,False,8,Des Mannes Witz vnd Fleiß erkant,des mannes witz vnd fleiß erkant,des mannes witz und fleiss erkant
635377063,body,8,3,False,8,Der alles richtig kuntte machen?,der alles richtig kuntte machen,der alles richtig kuntte machen
635377063,body,8,4,False,8,Daher er dann je mehr vnd mehr,daher er dann je mehr vnd mehr,daher er dann ie mehr und mehr
635377063,body,8,5,True,8,Erhalten Gnade Lieb vnd Ehr.,erhalten gnade lieb vnd ehr,erhalten gnade lieb und ehr
635377063,body,9,0,False,8,Ach daß beruͤhmten Maͤnnern nicht,ach daß beruͤhmten maͤnnern nicht,ach dass beruhmten mannern nicht
635377063,body,9,1,False,8,Ein laͤnger Ziel hie wird gegeben,ein laͤnger ziel hie wird gegeben,ein langer ziel hie wird gegeben
635377063,body,9,2,False,8,Vnd daß der guͤldnen Weisheit Licht,vnd daß der guͤldnen weisheit licht,und dass der guldnen weisheit licht
635377063,body,9,3,False,8,Dem Tode nicht kan wieder ſtreben!,dem tode nicht kan wieder ſtreben,dem tode nicht kan wieder streben
635377063,body,9,4,False,8,Die alles ſonſt beherſchen kan,die alles ſonſt beherſchen kan,die alles sonst beherschen kan
635377063,body,9,5,True,8,Nimmt ſein Gebot vnd Herrſchafft an.,nimmt ſein gebot vnd herrſchafft an,nimmt sein gebot und herrschafft an
635377063,body,10,0,False,8,Des Fuͤrſten Sache/ ſagt man mir/,des fuͤrſten sache ſagt man mir,des fursten sache sagt man mir
635377063,body,10,1,False,8,Mus jhn der Thonaw Ufer trawen/,mus jhn der thonaw ufer trawen,mus ihn der thonaw ufer trawen
635377063,body,10,2,False,8,Daſelbſt hat ſeines Urtheils Zier,daſelbſt hat ſeines urtheils zier,daselbst hat seines urtheils zier
635377063,body,10,3,False,8,Vnd Weisheit erſt ſich laſſen ſchawen/,vnd weisheit erſt ſich laſſen ſchawen,und weisheit erst sich lassen schawen
635377063,body,10,4,False,8,Es hat der groſſe Ferdinand,es hat der groſſe ferdinand,es hat der grosse ferdinand
635377063,body,10,5,True,8,Sein Ohr jhm gnaͤdigſt hin gewand.,sein ohr jhm gnaͤdigſt hin gewand,sein ohr ihm gnadigst hin gewand
635377063,body,11,0,False,8,Der Tod nimmt keines Dinges war,der tod nimmt keines dinges war,der tod nimmt keines dinges war
635377063,body,11,1,False,8,Er tobt vnd wuͤrget allermaſſen/,er tobt vnd wuͤrget allermaſſen,er tobt und wurget allermassen
635377063,body,11,2,False,8,Jn was Beſchwer in was Gefahr,jn was beſchwer in was gefahr,in was beschwer in was gefahr
635377063,body,11,3,False,8,Wir immer auch die vnſern laſſen,wir immer auch die vnſern laſſen,wir immer auch die unsern lassen
635377063,body,11,4,False,8,Wie wild vnd frembd auch ſey ein Ort,wie wild vnd frembd auch ſey ein ort,wie wild und frembd auch sey ein ort
635377063,body,11,5,True,8,Er ſattelt vns/ wir muͤſſen fort.,er ſattelt vns wir muͤſſen fort,er sattelt uns wir mussen fort
635377063,body,12,0,False,9,Er hat der Soͤhne Hertzeleid,er hat der soͤhne hertzeleid,er hat der sohne hertzeleid
635377063,body,12,1,False,9,Die umb den Vater ſich befunden/,die umb den vater ſich befunden,die umb den uater sich befunden
635377063,body,12,2,False,9,Nicht angeſehn/ der Sterbligkeit,nicht angeſehn der sterbligkeit,nicht angesehn der sterbligkeit
635377063,body,12,3,False,9,Jhn ſanfft vnd ſelig zwar entbunden/,jhn ſanfft vnd ſelig zwar entbunden,ihn sanfft und selig zwar entbunden
635377063,body,12,4,False,9,Sie aber ach durch ſolchen Tod,sie aber ach durch ſolchen tod,sie aber ach durch solchen tod
