doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
august_gesindlein_1650,body,0,0,False,1,VOn GOttes Gnaden/ Wir Augustus/ Herzog zu Bruns Wig/ und Lunaͤ Burg/ Geben allen und Jeden unſeren Praͤlaten/ Grafen/ Freihern/ denen von der Ritterſchaft/ Grosvoͤgten/ Gerichts-Herrn/ Ober- und Amtleuten/ Befaͤlichhabern/ Voͤgten/ Gogrefen/ Schuldheisſen/ auch Richtern/ Buͤrgermeistern und Raͤthen in Staͤten/ und in gemein allen und jeden Unſern Untertanen und Verwanten naͤchst Entbitung Unſerer Gnade himit zu wisſen.,von gottes gnaden wir augustus herzog zu bruns wig und lunaͤ burg geben allen und jeden unſeren praͤlaten grafen freihern denen von der ritterſchaft grosvoͤgten gerichtsherrn ober und amtleuten befaͤlichhabern voͤgten gogrefen schuldheisſen auch richtern buͤrgermeistern und raͤthen in staͤten und in gemein allen und jeden unſern untertanen und verwanten naͤchst entbitung unſerer gnade himit zu wisſen,uon gottes gnaden wir augustus herzog zu bruns wig und luna burg geben allen und ieden unseren pralaten grafen freihern denen uon der ritterschaft grosuogten gerichtsherrn ober und amtleuten befalichhabern uogten gogrefen schuldheissen auch richtern burgermeistern und rathen in staten und in gemein allen und ieden unsern untertanen und uerwanten nachst entbitung unserer gnade himit zu wissen
august_gesindlein_1650,body,0,1,False,1,Ob wol nicht allein in des Heil. Roͤm.,ob wol nicht allein in des heil roͤm,ob wol nicht allein in des heil rom
august_gesindlein_1650,body,0,2,False,1,Reichs Abſcheiden/ ſondern auch in unterſchidlichen von Weiland Unsren Vorfahren an Unſer Landes-Fuͤrstl.,reichs abſcheiden ſondern auch in unterſchidlichen von weiland unsren vorfahren an unſer landesfuͤrstl,reichs abscheiden sondern auch in unterschidlichen uon weiland unsren uorfahren an unser landesfurstl
august_gesindlein_1650,body,0,3,False,1,Regirung Hochloͤblichen Christmilden Gedaͤchtnis/ publicirten conſtitutionen aus wichtigen hochbewegenden Urſachen/ deutlich enthalten daß das unnuͤtze boͤſe Geſindlein/ welche man Zigeuner oder ins gemein Tartern nennet/ ſo wol in dem ganzen Heil. Roͤm.,regirung hochloͤblichen christmilden gedaͤchtnis publicirten conſtitutionen aus wichtigen hochbewegenden urſachen deutlich enthalten daß das unnuͤtze boͤſe geſindlein welche man zigeuner oder ins gemein tartern nennet ſo wol in dem ganzen heil roͤm,regirung hochloblichen christmilden gedachtnis publicirten constitutionen aus wichtigen hochbewegenden ursachen deutlich enthalten dass das unnutze bose gesindlein welche man zigeuner oder ins gemein tartern nennet so wol in dem ganzen heil rom
august_gesindlein_1650,body,0,4,True,1,Reich Teutscher Nation als auch in diſen Unſeren Fuͤrstentumen/ Graf-Herrſchaften/ und Landen nicht geduldet noch gelitten/ ſondern weggewiſen/ abgeſchaffet/ und jnen kein Durchzug noch unterſ leif verſtattet werden ſolle.,reich teutscher nation als auch in diſen unſeren fuͤrstentumen grafherrſchaften und landen nicht geduldet noch gelitten ſondern weggewiſen abgeſchaffet und jnen kein durchzug noch unterſ leif verſtattet werden ſolle,reich teutscher nation als auch in disen unseren furstentumen grafherrschaften und landen nicht geduldet noch gelitten sondern weggewisen abgeschaffet und inen kein durchzug noch unters leif uerstattet werden solle
august_gesindlein_1650,body,1,0,False,1,So erfahren Wir dennoch mit ſonderbarer Befremdung/ und ungnaͤdigen Misfaͤllen das unter andern Ungelegenheiten/ ſo der leidige Krig nach ſich gezogen/ auch dieſes boͤſes/ und verraͤterisches Geſindlein/ unter dem vorwandt einiger Kriges Dinste auch in Unſeren Fuͤrstentum/ Graf- Herſchaften/ und Landen ſich wider finden laͤsſen wollen/ wodurch Unſeren Untertanen vilerlei Beſwerungen/ uͤberlast/ allerhand dibische Entwendunge und mannigerlei Betrug zu gefuͤget/ dy Zigeuner aber unter ſich ſelbst in allerhand Suͤnden und Schanden/ wider das goͤttliche/ und natuͤrliche Recht/ oͤffendlich leben/ einer den andern ungeſcheuet ermorden/ Zauberei/ Unzucht/ Blutſchande/ Ehebruch/ und Todtſlag/ fuͤr keine Suͤnde halten/ ſondern jnen ein eigenes unnatuͤrliches Recht einbilden/ und dabey unter keiner Obrigkeit zwang und Jurisdiction ſeyn/ ſondern inen einen eigenen ſtatum zueigenen wollen/ durch welches alles den GOtt im Himmel hochbeleidiget/ und das Land durch Blutſchulde und andere zu GOtt in dem Himmel ſchreyende Laster verunreiniget wird: Dero verraͤterischen boͤſen Hendel fuͤr dismahl nicht zugedenkken/ welche dy Roͤm: Kaͤyſerl: Majest: auch Chur-Fuͤrsten und Staͤnde des Reichs/ zu verbannund Austilgung diſes gottloſen Geſindleins bewogen.,so erfahren wir dennoch mit ſonderbarer befremdung und ungnaͤdigen misfaͤllen das unter andern ungelegenheiten ſo der leidige krig nach ſich gezogen auch dieſes boͤſes und verraͤterisches geſindlein unter dem vorwandt einiger kriges dinste auch in unſeren fuͤrstentum graf herſchaften und landen ſich wider finden laͤsſen wollen wodurch unſeren untertanen vilerlei beſwerungen uͤberlast allerhand dibische entwendunge und mannigerlei betrug zu gefuͤget dy zigeuner aber unter ſich ſelbst in allerhand suͤnden und schanden wider das goͤttliche und natuͤrliche recht oͤffendlich leben einer den andern ungeſcheuet ermorden zauberei unzucht blutſchande ehebruch und todtſlag fuͤr keine suͤnde halten ſondern jnen ein eigenes unnatuͤrliches recht einbilden und dabey unter keiner obrigkeit zwang und jurisdiction ſeyn ſondern inen einen eigenen ſtatum zueigenen wollen durch welches alles den gott im himmel hochbeleidiget und das land durch blutſchulde und andere zu gott in dem himmel ſchreyende laster verunreiniget wird dero verraͤterischen boͤſen hendel fuͤr dismahl nicht zugedenkken welche dy roͤm kaͤyſerl majest auch churfuͤrsten und staͤnde des reichs zu verbannund austilgung diſes gottloſen geſindleins bewogen,so erfahren wir dennoch mit sonderbarer befremdung und ungnadigen misfallen das unter andern ungelegenheiten so der leidige krig nach sich gezogen auch dieses boses und uerraterisches gesindlein unter dem uorwandt einiger kriges dinste auch in unseren furstentum graf herschaften und landen sich wider finden lassen wollen wodurch unseren untertanen uilerlei beswerungen uberlast allerhand dibische entwendunge und mannigerlei betrug zu gefuget dy zigeuner aber unter sich selbst in allerhand sunden und schanden wider das gottliche und naturliche recht offendlich leben einer den andern ungescheuet ermorden zauberei unzucht blutschande ehebruch und todtslag fur keine sunde halten sondern inen ein eigenes unnaturliches recht einbilden und dabey unter keiner obrigkeit zwang und iurisdiction seyn sondern inen einen eigenen statum zueigenen wollen durch welches alles den gott im himmel hochbeleidiget und das land durch blutschulde und andere zu gott in dem himmel schreyende laster uerunreiniget wird dero uerraterischen bosen hendel fur dismahl nicht zugedenkken welche dy rom kayserl maiest auch churfursten und stande des reichs zu uerbannund austilgung dises gottlosen gesindleins bewogen
august_gesindlein_1650,body,1,1,False,1,Wenn Wir aber ſolchem Unweſen in Unsren Fuͤrstentum und Landen/ zu zuſehen/ ganz nicht/ ſondern vilmehr ſo vil an Uns/ uͤber obberuͤrte des Heil. Roͤm.,wenn wir aber ſolchem unweſen in unsren fuͤrstentum und landen zu zuſehen ganz nicht ſondern vilmehr ſo vil an uns uͤber obberuͤrte des heil roͤm,wenn wir aber solchem unwesen in unsren furstentum und landen zu zusehen ganz nicht sondern uilmehr so uil an uns uber obberurte des heil rom
august_gesindlein_1650,body,1,2,True,1,Reichs geſezze und Ordnung/ wie auch uͤber Unſerer in Gottruhenden Vorfaren conſtitutiones zu halten/ gemeint/ dero Behuf auch gemelte Zigeuner unlaͤngst durch ein oͤffenes an alle Unſere Beamten und Geriches-Herrn ausgelasſenes Befehl aus Unſeren Landen ausgeboten.,reichs geſezze und ordnung wie auch uͤber unſerer in gottruhenden vorfaren conſtitutiones zu halten gemeint dero behuf auch gemelte zigeuner unlaͤngst durch ein oͤffenes an alle unſere beamten und gerichesherrn ausgelasſenes befehl aus unſeren landen ausgeboten,reichs gesezze und ordnung wie auch uber unserer in gottruhenden uorfaren constitutiones zu halten gemeint dero behuf auch gemelte zigeuner unlangst durch ein offenes an alle unsere beamten und gerichesherrn ausgelassenes befehl aus unseren landen ausgeboten
august_gesindlein_1650,body,2,0,False,1,Als befaͤlen/ ordnen/ und conſtituiren Wir himit ernstlich/ das hinfuͤro in Unſeren Fuͤrstentumen/ Graff-Herſchafften/ und Landen/ vorgemelte Zigeuner oder Tartarn nicht ſollen geduldet/ inen kein Durchzug oder Nacht Lager verſtattet/ noch ſy auf einige Weiſe darin gelitten oder ſonst ihnen Unterſ leif gegoͤnnet werden/ ſondern es ſollen dy Unsrige ſambt und ſonders/ niemand ausbeſcheiden/ bei Vermeidung Unſerer ſwaͤren Strafe und hoͤchsten ungnade/ befaͤliget ſeyn/ dafern dergleichen Zigeuner oder Tartern ſich in Unsren Landen betreten lasſen ſolten/ das alsdeñ ein jeder ſeines Ortes ſich derſelben bemaͤchtigen/ und wen ein Gerichte etwan dazu nicht Sterkke oder Mittel gnug hette/ als deñ das andere um Huͤlf/ und Beiſtand durch den Glokkenſlag oder andere Mittel anruffen/ (welches ihm auch darauf bei Vermeidung ſwaͤrer Strafe beizuſtehen/ ſchuldig ſeyn ſoll) ſolches Geſindlein zu wolverwarlicher Haft naͤmen/ und ſolches Uns zu ernstlicher Beſtrafung desſelbigen/ ohne Verzug zu wisſen tun ſoll.,als befaͤlen ordnen und conſtituiren wir himit ernstlich das hinfuͤro in unſeren fuͤrstentumen graffherſchafften und landen vorgemelte zigeuner oder tartarn nicht ſollen geduldet inen kein durchzug oder nacht lager verſtattet noch ſy auf einige weiſe darin gelitten oder ſonst ihnen unterſ leif gegoͤnnet werden ſondern es ſollen dy unsrige ſambt und ſonders niemand ausbeſcheiden bei vermeidung unſerer ſwaͤren strafe und hoͤchsten ungnade befaͤliget ſeyn dafern dergleichen zigeuner oder tartern ſich in unsren landen betreten lasſen ſolten das alsdeñ ein jeder ſeines ortes ſich derſelben bemaͤchtigen und wen ein gerichte etwan dazu nicht sterkke oder mittel gnug hette als deñ das andere um huͤlf und beiſtand durch den glokkenſlag oder andere mittel anruffen welches ihm auch darauf bei vermeidung ſwaͤrer strafe beizuſtehen ſchuldig ſeyn ſoll ſolches geſindlein zu wolverwarlicher haft naͤmen und ſolches uns zu ernstlicher beſtrafung desſelbigen ohne verzug zu wisſen tun ſoll,als befalen ordnen und constituiren wir himit ernstlich das hinfuro in unseren furstentumen graffherschafften und landen uorgemelte zigeuner oder tartarn nicht sollen geduldet inen kein durchzug oder nacht lager uerstattet noch sy auf einige weise darin gelitten oder sonst ihnen unters leif gegonnet werden sondern es sollen dy unsrige sambt und sonders niemand ausbescheiden bei uermeidung unserer swaren strafe und hochsten ungnade befaliget seyn dafern dergleichen zigeuner oder tartern sich in unsren landen betreten lassen solten das alsdenn ein ieder seines ortes sich derselben bemachtigen und wen ein gerichte etwan dazu nicht sterkke oder mittel gnug hette als denn das andere um hulf und beistand durch den glokkenslag oder andere mittel anruffen welches ihm auch darauf bei uermeidung swarer strafe beizustehen schuldig seyn soll solches gesindlein zu woluerwarlicher haft namen und solches uns zu ernstlicher bestrafung desselbigen ohne uerzug zu wissen tun soll
august_gesindlein_1650,body,2,1,False,1,Wir wollen auch hidurch dy maͤrgemelte in des Heil.,wir wollen auch hidurch dy maͤrgemelte in des heil,wir wollen auch hidurch dy margemelte in des heil
