doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
636618293,body,0,0,True,5,Unbeweglicher Troſt beydes im Leben und Sterben Aus der Epiſtel an die Roͤmer 5. v. 1. 2. und aus dem 8. Cap. v. 38. 39. genommen/ Vnd bey des Weyland WolEhrenVeſten Vorachtbarn Nahmhafften und Wolweiſen H. HEJNRJCJ Schultzen/ Der loͤblichen Stadt Loͤbenicht allhier in Koͤnigsberg wolverdienten Buͤrgermeiſters Hochbetrawerlichen zwar aber ſeligen Ableiben Jn ein Chriſtliches Lied uͤberſetzet Von Simon Dachen. Koͤnigsberg/ gedruckt bey Paſchen Menſen/1650. 3. Weinmon.,unbeweglicher troſt beydes im leben und sterben aus der epiſtel an die roͤmer v und aus dem cap v genommen vnd bey des weyland wolehrenveſten vorachtbarn nahmhafften und wolweiſen h hejnrjcj schultzen der loͤblichen stadt loͤbenicht allhier in koͤnigsberg wolverdienten buͤrgermeiſters hochbetrawerlichen zwar aber ſeligen ableiben jn ein chriſtliches lied uͤberſetzet von simon dachen koͤnigsberg gedruckt bey paſchen menſen weinmon,unbeweglicher trost beydes im leben und sterben aus der epistel an die romer u und aus dem cap u genommen und bey des weyland wolehrenuesten uorachtbarn nahmhafften und wolweisen h heinrici schultzen der loblichen stadt lobenicht allhier in konigsberg woluerdienten burgermeisters hochbetrawerlichen zwar aber seligen ableiben in ein christliches lied ubersetzet uon simon dachen konigsberg gedruckt bey paschen mensen weinmon
636618293,body,1,0,True,6,Discantus Johan Weichman.,discantus johan weichman,discantus iohan weichman
636618293,body,2,0,False,6,Er JEſu/ nun dein Todt und Blut Mein Troſt iſt und mein,er jeſu nun dein todt und blut mein troſt iſt und mein,er iesu nun dein todt und blut mein trost ist und mein
636618293,body,2,1,False,6,hoͤch- ſtes Gut/ darauff ich ſicher mich kan gruͤnden: Dadurch ich bin gerecht und frey von deß Geſetzes Tyranney Und lohs von allen,hoͤch ſtes gut darauff ich ſicher mich kan gruͤnden dadurch ich bin gerecht und frey von deß geſetzes tyranney und lohs von allen,hoch stes gut darauff ich sicher mich kan grunden dadurch ich bin gerecht und frey uon dess gesetzes tyranney und lohs uon allen
636618293,body,2,2,True,6,meinen Suͤn- den.,meinen suͤn den,meinen sun den
636618293,body,3,0,False,6,HErr JEſu/ nun dein Todt und Blut,herr jeſu nun dein todt und blut,herr iesu nun dein todt und blut
636618293,body,3,1,False,6,Mein Troſt iſt und mein hoͤchſtes Gut,mein troſt iſt und mein hoͤchſtes gut,mein trost ist und mein hochstes gut
636618293,body,3,2,False,6,Darauff ich ſicher mich kan gruͤnden:,darauff ich ſicher mich kan gruͤnden,darauff ich sicher mich kan grunden
636618293,body,3,3,False,6,Dadurch ich bin gerecht und frey,dadurch ich bin gerecht und frey,dadurch ich bin gerecht und frey
636618293,body,3,4,False,6,Von deß Geſetzes Tyranney,von deß geſetzes tyranney,uon dess gesetzes tyranney
636618293,body,3,5,True,6,Vnd lohs von allen meinen Suͤnden.,vnd lohs von allen meinen suͤnden,und lohs uon allen meinen sunden
636618293,body,4,0,False,7,So weiß ich durch deß Glaubens Siñ,so weiß ich durch deß glaubens siñ,so weiss ich durch dess glaubens sinn
636618293,body,4,1,False,7,Daß ich mit GOTT vertragen bin/,daß ich mit gott vertragen bin,dass ich mit gott uertragen bin
636618293,body,4,2,False,7,Und er mir zuneigt ſein Gemuͤte:,und er mir zuneigt ſein gemuͤte,und er mir zuneigt sein gemute
636618293,body,4,3,False,7,Mich als ein Vater hertzlich liebt/,mich als ein vater hertzlich liebt,mich als ein uater hertzlich liebt
636618293,body,4,4,False,7,Mir ſeinem Kind anch zugang giebt,mir ſeinem kind anch zugang giebt,mir seinem kind anch zugang giebt
636618293,body,4,5,True,7,Zu ſeiner Vaͤterlichen Guͤte.,zu ſeiner vaͤterlichen guͤte,zu seiner uaterlichen gute
636618293,body,5,0,False,7,Daher ich in deß Todes Bann,daher ich in deß todes bann,daher ich in dess todes bann
636618293,body,5,1,False,7,Mich auch der Hoffnung ruͤhmen kan,mich auch der hoffnung ruͤhmen kan,mich auch der hoffnung ruhmen kan
636618293,body,5,2,False,7,Der Herrligkeit nach dieſem Leben,der herrligkeit nach dieſem leben,der herrligkeit nach diesem leben
636618293,body,5,3,False,7,Die Gott/ wann wir im Glauben ſtehn,die gott wann wir im glauben ſtehn,die gott wann wir im glauben stehn
636618293,body,5,4,False,7,Und auff der Unſchuld Wegen gehn/,und auff der unſchuld wegen gehn,und auff der unschuld wegen gehn
636618293,body,5,5,True,7,Uns ſich verſprochen hat zu geben.,uns ſich verſprochen hat zu geben,uns sich uersprochen hat zu geben
636618293,body,6,0,False,8,Ja/ HErr/ in aller meiner Noht,ja herr in aller meiner noht,ia herr in aller meiner noht
636618293,body,6,1,False,8,Bin ich gewis/ daß weder Todt,bin ich gewis daß weder todt,bin ich gewis dass weder todt
636618293,body,6,2,False,8,Noch Leben/ weder Luſt noch Leiden/,noch leben weder luſt noch leiden,noch leben weder lust noch leiden
636618293,body,6,3,False,8,Nicht Fuͤrſtenthum noch Engel-Krafft,nicht fuͤrſtenthum noch engelkrafft,nicht furstenthum noch engelkrafft
636618293,body,6,4,True,8,Noch ſonſt was Erd und Himmel ſchafft Mich ſol von deiner Liebe ſcheiden.,noch ſonſt was erd und himmel ſchafft mich ſol von deiner liebe ſcheiden,noch sonst was erd und himmel schafft mich sol uon deiner liebe scheiden
