doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
glauber_furni06_1650,head,0,0,True,[1],ANNOTATIONES Vber den APPENDICEM Welcher zu Ende des Fuͤnften Theils/ Philoſophiſcher Oefen geſetzet/ vnd von vnderſchiedlichen guten/ nutzbaren/ vnd vngemeinen Secreten tractiret; Allen Vnglaubigen vnd Der Natur Secreten vnwiſſenden Menſchen darmit aus dem Zweiffel zu helffen/ vnd jhnen den Glauben in die Haͤnde zu geben. Durch Joh. rud. glauberum. Gedruckt zu Ambſterdam/ Bey Hanß Fabeln/ Buchdr. daſelbſt. Jm Jahr/ 1650.,annotationes vber den appendicem welcher zu ende des fuͤnften theils philoſophiſcher oefen geſetzet vnd von vnderſchiedlichen guten nutzbaren vnd vngemeinen secreten tractiret allen vnglaubigen vnd der natur secreten vnwiſſenden menſchen darmit aus dem zweiffel zu helffen vnd jhnen den glauben in die haͤnde zu geben durch joh rud glauberum gedruckt zu ambſterdam bey hanß fabeln buchdr daſelbſt jm jahr,annotationes uber den appendicem welcher zu ende des funften theils philosophischer oefen gesetzet und uon underschiedlichen guten nutzbaren und ungemeinen secreten tractiret allen unglaubigen und der natur secreten unwissenden menschen darmit aus dem zweiffel zu helffen und ihnen den glauben in die hande zu geben durch ioh rud glauberum gedruckt zu ambsterdam bey hanss fabeln buchdr daselbst im iahr
glauber_furni06_1650,head,1,0,True,3,Voꝛrede An den guͤnſtigen Leſer.,voꝛrede an den guͤnſtigen leſer,uorede an den gunstigen leser
glauber_furni06_1650,body,2,0,False,3,WAs fuͤr vrſachen mich bewogen haben/ dieſen Appéndicem an meine Philoſophiſche Oefen anzu ſetzen/ kan aus dem Eingang deſſelben etlicher maſſen verſtauden werden; derohalben nicht noͤtig ſolches zu wiederholen: Vber daſſelbige aber iſt auch mein Intent vnd Augenmerck geweſen/ nemblich/ dardurch der gantzen Welt bekant zu machen/ das jenige/ ſo Gott der Allmaͤchtige vns Menſchen in dieſen letzten Zeiten zu groſſer Befoͤrderung vnſerer zeitlichen Nahrung/ ſo viel herrliche/ ſchoͤne/ vnd nutzbahre/ bißhero gantz vnbekandte Secreten offenbahret hat/ hoffende/ vieler hartnaͤckiger Menſchen Gemuͤhter darmit zu ermuntern/ vnd zur Danckbarkeit gegen vnſern guͤtigen Gott fuͤr ſolche Gaben/ Vrſach vnd Anlaß zu geben.,was fuͤr vrſachen mich bewogen haben dieſen appéndicem an meine philoſophiſche oefen anzu ſetzen kan aus dem eingang deſſelben etlicher maſſen verſtauden werden derohalben nicht noͤtig ſolches zu wiederholen vber daſſelbige aber iſt auch mein intent vnd augenmerck geweſen nemblich dardurch der gantzen welt bekant zu machen das jenige ſo gott der allmaͤchtige vns menſchen in dieſen letzten zeiten zu groſſer befoͤrderung vnſerer zeitlichen nahrung ſo viel herrliche ſchoͤne vnd nutzbahre bißhero gantz vnbekandte secreten offenbahret hat hoffende vieler hartnaͤckiger menſchen gemuͤhter darmit zu ermuntern vnd zur danckbarkeit gegen vnſern guͤtigen gott fuͤr ſolche gaben vrſach vnd anlaß zu geben,was fur ursachen mich bewogen haben diesen appendicem an meine philosophische oefen anzu setzen kan aus dem eingang desselben etlicher massen uerstauden werden derohalben nicht notig solches zu wiederholen uber dasselbige aber ist auch mein intent und augenmerck gewesen nemblich dardurch der gantzen welt bekant zu machen das ienige so gott der allmachtige uns menschen in diesen letzten zeiten zu grosser beforderung unserer zeitlichen nahrung so uiel herrliche schone und nutzbahre bisshero gantz unbekandte secreten offenbahret hat hoffende uieler hartnackiger menschen gemuhter darmit zu ermuntern und zur danckbarkeit gegen unsern gutigen gott fur solche gaben ursach und anlass zu geben
glauber_furni06_1650,body,2,1,False,3,Jſt aber das contrarium erfolget/ in deme ſolcher Appendix von vielen/ ſo wol verſtaͤndigen als vnverſtaͤndigen Menſchen iſt geſehen worden/ haben ſich jhrer ein theil hoͤchlich darůber verwundert/ daß ſolche nůtzliche Wiſſenſchafften ſo lang vnbekandt blieben ſeyn/ vnd Gott darfůr gedancket/ daß er dieſelbigen zu vieler Menſchen Nutzen hat offenbahren wollen; Andere aber/ vnd auch der groͤſſere Hauff deroſelben/ haben (nach gewohnheit der boͤſen Welt) damit geſpottet/ vnd fuͤr vnwarheit vnd vnmuͤgliche Dinge außgeruffen; ja/ es haben auch etliche Naſeweiſe Spoͤtter (welchen natuͤrliche Kuͤnſte verborgen ſeyn) ſagen doͤrffen; Es iſt Wunder/ daß Glauber nicht auch ſchreibet/ wie daß man aus Steinen Brodt machen ſoll/ weil er meldet/ daß man aus Waſſer Wein machen koͤnne/ ſo haͤttens die Bauren gut gehabt/ vnd hinfuͤrter ſo viel Muͤhe vnd Arbeit nicht mehr/ dieſelben zu ziehlen/ anwenden doͤrffen: Solche vnd dergleichen ſpoͤttiſche Reden haben etliche bey jhren Zuſammen-kuͤnfften darvon getrieben/ vnd noch ſolche Leute/ welche nicht fůr gemein zu ſeyn/ wollen angeſehen werden/ ſondern jhnen einbilden/ daß ſie ſehr viel wiſſen/ vnd fuͤr groſſer Weißheit/ (Narrheit meine ich) ſich ſelber nicht kennen/ vnd doch rechte vngeſchickte/ vnerfahrne/ hoffaͤrtige/ grobe Eſel ſeyn/ ob ſie ſchon noch ſo hoch geſchoren ſind/ deſſen ſie ſich beruͤhmen/ vnd andere dadurch verachten/ welche doch mehr vielleicht vergeſſen/ als jene jemahlen gewuſt haben: Jch verwundere mich immer ſo ſo viel vber jhrer Vnwiſſenheit/ als ſie vber meine Schrifften; ſehe vnd ſpuͤre nun ſehr wol/ was die vrſach iſt/ daß jhrer viel/ welchen Gott ſonderliche Erkantnuͤß natuͤrlicher Dingen geben hat/ davon gantz ſtill geſchwiegen/ vnd im geringſten nichts jhren Nachkommenen ſchrifftlich nachlaſſen wollen/ es iſt aber ſoviel nit daran gelegen/ niemand kan jederman recht thun/ welches alzeit geweſen/ vnd ohne zweifel auch alſo bis zu der welt Eude bleiben wird/ deſſen man ſich zu troͤſten hat; gleichwol iſt es verdrießlich/ wan man fuͤr viel gehabte Muͤhe vnd Fleiß/ von boͤſen Menſchen Vndanck zu Lohn empf angen muß: Ja nicht allein Vndanck/ ſondern auch vbel Nachreden vnd Verkleinerung/ gleich als wan man mehr/ als die Warheit geſchrieben hette/ vnd geſagt/ wann Glauber ſolcher Dingen Erkantnus haͤtte/ deren er ſich in ſeinem Appendice hoͤren laͤſſet/ warumb greiffet er nicht ſelber zur That/ vnd machet ſich nicht erſt reich genug damit/ da man doch ſiehet/ daß er an dergleichen Wercken kein Hand anleget; muͤſſen derohalben nur Einbildungen ſeyn/ darauff nicht zu gehen iſt.,jſt aber das contrarium erfolget in deme ſolcher appendix von vielen ſo wol verſtaͤndigen als vnverſtaͤndigen menſchen iſt geſehen worden haben ſich jhrer ein theil hoͤchlich darůber verwundert daß ſolche nůtzliche wiſſenſchafften ſo lang vnbekandt blieben ſeyn vnd gott darfůr gedancket daß er dieſelbigen zu vieler menſchen nutzen hat offenbahren wollen andere aber vnd auch der groͤſſere hauff deroſelben haben nach gewohnheit der boͤſen welt damit geſpottet vnd fuͤr vnwarheit vnd vnmuͤgliche dinge außgeruffen ja es haben auch etliche naſeweiſe spoͤtter welchen natuͤrliche kuͤnſte verborgen ſeyn ſagen doͤrffen es iſt wunder daß glauber nicht auch ſchreibet wie daß man aus steinen brodt machen ſoll weil er meldet daß man aus waſſer wein machen koͤnne ſo haͤttens die bauren gut gehabt vnd hinfuͤrter ſo viel muͤhe vnd arbeit nicht mehr dieſelben zu ziehlen anwenden doͤrffen solche vnd dergleichen ſpoͤttiſche reden haben etliche bey jhren zuſammenkuͤnfften darvon getrieben vnd noch ſolche leute welche nicht fůr gemein zu ſeyn wollen angeſehen werden ſondern jhnen einbilden daß ſie ſehr viel wiſſen vnd fuͤr groſſer weißheit narrheit meine ich ſich ſelber nicht kennen vnd doch rechte vngeſchickte vnerfahrne hoffaͤrtige grobe eſel ſeyn ob ſie ſchon noch ſo hoch geſchoren ſind deſſen ſie ſich beruͤhmen vnd andere dadurch verachten welche doch mehr vielleicht vergeſſen als jene jemahlen gewuſt haben jch verwundere mich immer ſo ſo viel vber jhrer vnwiſſenheit als ſie vber meine schrifften ſehe vnd ſpuͤre nun ſehr wol was die vrſach iſt daß jhrer viel welchen gott ſonderliche erkantnuͤß natuͤrlicher dingen geben hat davon gantz ſtill geſchwiegen vnd im geringſten nichts jhren nachkommenen ſchrifftlich nachlaſſen wollen es iſt aber ſoviel nit daran gelegen niemand kan jederman recht thun welches alzeit geweſen vnd ohne zweifel auch alſo bis zu der welt eude bleiben wird deſſen man ſich zu troͤſten hat gleichwol iſt es verdrießlich wan man fuͤr viel gehabte muͤhe vnd fleiß von boͤſen menſchen vndanck zu lohn empf angen muß ja nicht allein vndanck ſondern auch vbel nachreden vnd verkleinerung gleich als wan man mehr als die warheit geſchrieben hette vnd geſagt wann glauber ſolcher dingen erkantnus haͤtte deren er ſich in ſeinem appendice hoͤren laͤſſet warumb greiffet er nicht ſelber zur that vnd machet ſich nicht erſt reich genug damit da man doch ſiehet daß er an dergleichen wercken kein hand anleget muͤſſen derohalben nur einbildungen ſeyn darauff nicht zu gehen iſt,ist aber das contrarium erfolget in deme solcher appendix uon uielen so wol uerstandigen als unuerstandigen menschen ist gesehen worden haben sich ihrer ein theil hochlich daruber uerwundert dass solche nutzliche wissenschafften so lang unbekandt blieben seyn und gott darfur gedancket dass er dieselbigen zu uieler menschen nutzen hat offenbahren wollen andere aber und auch der grossere hauff deroselben haben nach gewohnheit der bosen welt damit gespottet und fur unwarheit und unmugliche dinge aussgeruffen ia es haben auch etliche naseweise spotter welchen naturliche kunste uerborgen seyn sagen dorffen es ist wunder dass glauber nicht auch schreibet wie dass man aus steinen brodt machen soll weil er meldet dass man aus wasser wein machen konne so hattens die bauren gut gehabt und hinfurter so uiel muhe und arbeit nicht mehr dieselben zu ziehlen anwenden dorffen solche und dergleichen spottische reden haben etliche bey ihren zusammenkunfften daruon getrieben und noch solche leute welche nicht fur gemein zu seyn wollen angesehen werden sondern ihnen einbilden dass sie sehr uiel wissen und fur grosser weissheit narrheit meine ich sich selber nicht kennen und doch rechte ungeschickte unerfahrne hoffartige grobe esel seyn ob sie schon noch so hoch geschoren sind dessen sie sich beruhmen und andere dadurch uerachten welche doch mehr uielleicht uergessen als iene iemahlen gewust haben ich uerwundere mich immer so so uiel uber ihrer unwissenheit als sie uber meine schrifften sehe und spure nun sehr wol was die ursach ist dass ihrer uiel welchen gott sonderliche erkantnuss naturlicher dingen geben hat dauon gantz still geschwiegen und im geringsten nichts ihren nachkommenen schrifftlich nachlassen wollen es ist aber souiel nit daran gelegen niemand kan iederman recht thun welches alzeit gewesen und ohne zweifel auch also bis zu der welt eude bleiben wird dessen man sich zu trosten hat gleichwol ist es uerdriesslich wan man fur uiel gehabte muhe und fleiss uon bosen menschen undanck zu lohn empf angen muss ia nicht allein undanck sondern auch ubel nachreden und uerkleinerung gleich als wan man mehr als die warheit geschrieben hette und gesagt wann glauber solcher dingen erkantnus hatte deren er sich in seinem appendice horen lasset warumb greiffet er nicht selber zur that und machet sich nicht erst reich genug damit da man doch siehet dass er an dergleichen wercken kein hand anleget mussen derohalben nur einbildungen seyn darauff nicht zu gehen ist
glauber_furni06_1650,body,2,2,False,5,Ey lieber/ wie kanſtu doch ſo ſcharpff ſehen/ ohne Brillen/ vnd vrtheilen von Farben/ die du niemahlen geſehen haſt/ was dringet mich darzu/ dir auff die Naſen zu hencken/ die Vrſach meines nun zur Zeit ſtillhaltens/ darzu haſtu mich auch nicht gefragt/ haͤtteſt du ſolches gethan/ vielleicht hette ich dir geantwortet/ vnd dardurch verhindert/ daß du ein ſolch naͤrriſches Vrtheil nicht gefaͤllet hetteſt.,ey lieber wie kanſtu doch ſo ſcharpff ſehen ohne brillen vnd vrtheilen von farben die du niemahlen geſehen haſt was dringet mich darzu dir auff die naſen zu hencken die vrſach meines nun zur zeit ſtillhaltens darzu haſtu mich auch nicht gefragt haͤtteſt du ſolches gethan vielleicht hette ich dir geantwortet vnd dardurch verhindert daß du ein ſolch naͤrriſches vrtheil nicht gefaͤllet hetteſt,ey lieber wie kanstu doch so scharpff sehen ohne brillen und urtheilen uon farben die du niemahlen gesehen hast was dringet mich darzu dir auff die nasen zu hencken die ursach meines nun zur zeit stillhaltens darzu hastu mich auch nicht gefragt hattest du solches gethan uielleicht hette ich dir geantwortet und dardurch uerhindert dass du ein solch narrisches urtheil nicht gefallet hettest
glauber_furni06_1650,body,2,3,False,6,Aber/ was ſoll man ſagen/ ſolche Leute geben darmit zu erkennen/ daß ſie nicht wiſſen/ was im Fewer zu laboriren ſey/ oder was darzu gehoͤre: Soll einer Fiſch fangen/ ſo muß er ſeine Garn auffs Waſſer bringen; vnd nicht auff hohe Berge/ vnd ſo jemand ſeine Nahrung durchs Fewer in den Metallen ſuchen will/ ſo muß er auch ſeyn an ſolchen Orthen/ da dergleichen gefunden werden: Daß Jch mich nun etliche Jahre allhier in dieſem Lande/ zu meinem groſſen Verſaͤumnůß/ gegen meinen Willen habe auff halten muͤſſen/ iſt mihr zu vielem Glůck/ (welches mir vielleicht an einem andern gelegenen Orthe zu laboriren/ haͤtte beyfallen koͤnnen) hinderlich vnd ſchaͤdlich geweſen.,aber was ſoll man ſagen ſolche leute geben darmit zu erkennen daß ſie nicht wiſſen was im fewer zu laboriren ſey oder was darzu gehoͤre soll einer fiſch fangen ſo muß er ſeine garn auffs waſſer bringen vnd nicht auff hohe berge vnd ſo jemand ſeine nahrung durchs fewer in den metallen ſuchen will ſo muß er auch ſeyn an ſolchen orthen da dergleichen gefunden werden daß jch mich nun etliche jahre allhier in dieſem lande zu meinem groſſen verſaͤumnůß gegen meinen willen habe auff halten muͤſſen iſt mihr zu vielem glůck welches mir vielleicht an einem andern gelegenen orthe zu laboriren haͤtte beyfallen koͤnnen hinderlich vnd ſchaͤdlich geweſen,aber was soll man sagen solche leute geben darmit zu erkennen dass sie nicht wissen was im fewer zu laboriren sey oder was darzu gehore soll einer fisch fangen so muss er seine garn auffs wasser bringen und nicht auff hohe berge und so iemand seine nahrung durchs fewer in den metallen suchen will so muss er auch seyn an solchen orthen da dergleichen gefunden werden dass ich mich nun etliche iahre allhier in diesem lande zu meinem grossen uersaumnuss gegen meinen willen habe auff halten mussen ist mihr zu uielem gluck welches mir uielleicht an einem andern gelegenen orthe zu laboriren hatte beyfallen konnen hinderlich und schadlich gewesen
glauber_furni06_1650,body,2,4,True,6,Gleichwol iſt es beſſer/ wenig mit Ruhe im Frieden/ als viel in Gefahr vnd Sorgen zu beſitzen/ ſonderlich an ſolchen Orthen/ da Mars die oberſte Hand hat/ darunter nicht ein jedweder gern ſeyn will.,gleichwol iſt es beſſer wenig mit ruhe im frieden als viel in gefahr vnd sorgen zu beſitzen ſonderlich an ſolchen orthen da mars die oberſte hand hat darunter nicht ein jedweder gern ſeyn will,gleichwol ist es besser wenig mit ruhe im frieden als uiel in gefahr und sorgen zu besitzen sonderlich an solchen orthen da mars die oberste hand hat darunter nicht ein iedweder gern seyn will
glauber_furni06_1650,body,3,0,False,6,Gleichwohl hab ich nun gaͤntzlich beſchloſſen/ des lang mit Schmertzen erwarteten Friedens in Teutſchland/ er folge oder folge nicht (ſo es Gott gefaͤllig) zukuͤnfftigen Sommer/ mich an einen ſolchen Orth zu begeben/ da man die Haͤnde in die Erden vnd Kohlen ſtecken kan.,gleichwohl hab ich nun gaͤntzlich beſchloſſen des lang mit schmertzen erwarteten friedens in teutſchland er folge oder folge nicht ſo es gott gefaͤllig zukuͤnfftigen sommer mich an einen ſolchen orth zu begeben da man die haͤnde in die erden vnd kohlen ſtecken kan,gleichwohl hab ich nun gantzlich beschlossen des lang mit schmertzen erwarteten friedens in teutschland er folge oder folge nicht so es gott gefallig zukunfftigen sommer mich an einen solchen orth zu begeben da man die hande in die erden und kohlen stecken kan
glauber_furni06_1650,body,3,1,False,6,Alßdann moͤgen ſolche Veraͤchter nachfragen/ ob ich etwas laborire oder nicht/ vnd nicht allhier/ da ich niemahlen (wegen vnbequaͤmheit des Orths) etwas an zu ſtellen vnd reich darmit zu werden/ willens geweſen bin: Dan es mir allhier Arbeit genug geben hat/ dieſe Zeit vber/ an einem ſolchen Orth/ da alles ſo thewer muß erkaufft werden/ nebenſt einem ehrlichen Vnterhalt/ nur die Natur vnd jhre Heimligkeit/ dir vnd andern zum beſten/ ins kleine zu ergrůnden/ vnd keine groſſe Dinge habe anſtellen koͤnnen.,alßdann moͤgen ſolche veraͤchter nachfragen ob ich etwas laborire oder nicht vnd nicht allhier da ich niemahlen wegen vnbequaͤmheit des orths etwas an zu ſtellen vnd reich darmit zu werden willens geweſen bin dan es mir allhier arbeit genug geben hat dieſe zeit vber an einem ſolchen orth da alles ſo thewer muß erkaufft werden nebenſt einem ehrlichen vnterhalt nur die natur vnd jhre heimligkeit dir vnd andern zum beſten ins kleine zu ergrůnden vnd keine groſſe dinge habe anſtellen koͤnnen,alssdann mogen solche uerachter nachfragen ob ich etwas laborire oder nicht und nicht allhier da ich niemahlen wegen unbequamheit des orths etwas an zu stellen und reich darmit zu werden willens gewesen bin dan es mir allhier arbeit genug geben hat diese zeit uber an einem solchen orth da alles so thewer muss erkaufft werden nebenst einem ehrlichen unterhalt nur die natur und ihre heimligkeit dir und andern zum besten ins kleine zu ergrunden und keine grosse dinge habe anstellen konnen
glauber_furni06_1650,body,3,2,True,7,Alſo kanſtu hierauß leichtlich abnehmen/ was meines bißhero Stillhaltens vrſach geweſen ſey/ vnd auf ein ander mahl ſo leichtlich nicht von vnbekandten Dingen zu vrtheilen herein tappen/ ſondern dich nur vmb deine eigene Sachen bemůhen vnd andere fuͤr die ſeinige ſorgen laſſen.,alſo kanſtu hierauß leichtlich abnehmen was meines bißhero stillhaltens vrſach geweſen ſey vnd auf ein ander mahl ſo leichtlich nicht von vnbekandten dingen zu vrtheilen herein tappen ſondern dich nur vmb deine eigene sachen bemůhen vnd andere fuͤr die ſeinige ſorgen laſſen,also kanstu hierauss leichtlich abnehmen was meines bisshero stillhaltens ursach gewesen sey und auf ein ander mahl so leichtlich nicht uon unbekandten dingen zu urtheilen herein tappen sondern dich nur umb deine eigene sachen bemuhen und andere fur die seinige sorgen lassen
