doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
gryphius_leoarmenius_1650,body,0,0,True,5,Andreas Griphen Teutſche Reim-Gedichte Darein enthalten I. Ein Fuͤrſten-Moͤrderiſches Trawer-Spiel/ genant. Leo Armenius. II. Zwey Buͤcher ſeiner ODEN III. Drey Buͤcherder SONNETEN Denen zum Schluß die Geiſtvolle Opitianiſche Gedancken von der Ewigkeit hinbey geſetzet ſeyn. Alles auff die jetzt uͤb-vnd loͤbliche Teutſche Reim-Art verfaſſet. Jn Franckfurt am Mayn bey Johann Huͤttnern/Buchfuͤhrern. Jm Jahr. 1650.,andreas griphen teutſche reimgedichte darein enthalten i ein fuͤrſtenmoͤrderiſches trawerspiel genant leo armenius ii zwey buͤcher ſeiner oden iii drey buͤcherder sonneten denen zum schluß die geiſtvolle opitianiſche gedancken von der ewigkeit hinbey geſetzet ſeyn alles auff die jetzt uͤbvnd loͤbliche teutſche reimart verfaſſet jn franckfurt am mayn bey johann huͤttnern buchfuͤhrern jm jahr,andreas griphen teutsche reimgedichte darein enthalten i ein furstenmorderisches trawerspiel genant leo armenius ii zwey bucher seiner oden iii drey bucherder sonneten denen zum schluss die geistuolle opitianische gedancken uon der ewigkeit hinbey gesetzet seyn alles auff die ietzt ubund lobliche teutsche reimart uerfasset in franckfurt am mayn bey iohann huttnern buchfuhrern im iahr
gryphius_leoarmenius_1650,body,1,0,False,6,GVILIELMO SCHLEGELIO Hereditatio in Caſtayn&Mohringen Domino & Amico Colendo.,gvilielmo schlegelio hereditatio in caſtayn&mohringen domino & amico colendo,guilielmo schlegelio hereditatio in castaynetmohringen domino et amico colendo
gryphius_leoarmenius_1650,body,1,1,False,6,"S. P. Diræ fvrores noctis, et sacrvm nefas Rventis avlæsceptra; calcato Dvce Pollvta raptv, Cæsaris undanti effera Animata TAbo Busta, Regnorum lvem; Tu, qvem severis Arbitrum cvris legit, Pr nceps Deorum cura terrarum tremor, Dignare vultu, quo soles vultus tui.",s p diræ fvrores noctis et sacrvm nefas rventis avlæsceptra calcato dvce pollvta raptv cæsaris undanti effera animata tabo busta regnorum lvem tu qvem severis arbitrum cvris legit pr nceps deorum cura terrarum tremor dignare vultu quo soles vultus tui,s p dirae furores noctis et sacrum nefas ruentis aulaesceptra calcato duce polluta raptu caesaris undanti effera animata tabo busta regnorum luem tu quem seueris arbitrum curis legit pr nceps deorum cura terrarum tremor dignare uultu quo soles uultus tui
gryphius_leoarmenius_1650,body,1,2,False,6,"Mentemque GryphI nollasic faustam tibi Caligo lucem turbet, et fictos gemas Tantum furores noctis Ac scenae nefas.",mentemque gryphi nollasic faustam tibi caligo lucem turbet et fictos gemas tantum furores noctis ac scenae nefas,mentemque gryphi nollasic faustam tibi caligo lucem turbet et fictos gemas tantum furores noctis ac scenae nefas
gryphius_leoarmenius_1650,item,1,3,False,6,Ex Biblioth.,ex biblioth,ex biblioth
gryphius_leoarmenius_1650,item,1,4,True,6,Regia Berolinenſi.,regia berolinenſi,regia berolinensi
gryphius_leoarmenius_1650,body,2,0,False,6,Argentorati.prid. Kalend. Novemb. Greg.,argentorati prid kalend novemb greg,argentorati prid kalend nouemb greg
gryphius_leoarmenius_1650,body,2,1,True,6,Anni ⅽⅼↄ ⅼↄ ⅽ xlvi. A. GRYPHIVS.,anni ↄ ↄ xlvi a gryphivs,anni xlui a gryphius
gryphius_leoarmenius_1650,head,3,0,True,7,Großguͤnſtiger Leſer.,großguͤnſtiger leſer,grossgunstiger leser
gryphius_leoarmenius_1650,body,4,0,False,7,JN dem vnſer gantzes Vatterland ſich nuhmehr in ſeine eigene Aſchen verſcharꝛet/ vnd in einen Schawplatz der Eitelkeit verwandelt; bin ich gefliſſen dir die vergaͤnglichkeit menſchlicher ſachen in gegenwertigem/ vnd etlich folgenden Trawerſpielen vorzuſtellen.,jn dem vnſer gantzes vatterland ſich nuhmehr in ſeine eigene aſchen verſcharꝛet vnd in einen schawplatz der eitelkeit verwandelt bin ich gefliſſen dir die vergaͤnglichkeit menſchlicher ſachen in gegenwertigem vnd etlich folgenden trawerſpielen vorzuſtellen,in dem unser gantzes uatterland sich nuhmehr in seine eigene aschen uerscharet und in einen schawplatz der eitelkeit uerwandelt bin ich geflissen dir die uerganglichkeit menschlicher sachen in gegenwertigem und etlich folgenden trawerspielen uorzustellen
