doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
harsdoerffer_trichter01_1650,body,0,0,True,1,Poetiſcher Trichter/ Die Teutſche Dicht- und Reimkunſt/ ohne Behuf der Lateiniſchen Sprache/ in VI. Stunden einzugieſſen. Erſter Theil handlend: I. Von der Poeterey ins gemein/ und Erfindung derſelben Jnhalt. II. Von der Teutſchen Sprache Eigenſchafft und Fuͤglichkeit in den Gedichten. III. Von den Reimen und derſelben Beſchaffenheit. IV. Von den vornemſten Reimarten. V. Von der Veraͤnderung und Erfindung neuer Reimarten. VI. Von der Gedichte Zierlichkeit/ und derſelben Fehlern. Samt einem Anhang Von der Rechtſchreibung/ und Schriftſcheidung/ oder Diſtinction. Durch ein Mitglied der hochloͤblichen Fruchtbringenden Geſellſchaft. Zum zweiten mal aufgelegt und an vielen Orten vermehret. Nuͤrnberg/ Gedruckt bey Wolfgang Endter. M. DC. L.,poetiſcher trichter die teutſche dicht und reimkunſt ohne behuf der lateiniſchen sprache in vi stunden einzugieſſen erſter theil handlend i von der poeterey ins gemein und erfindung derſelben jnhalt ii von der teutſchen sprache eigenſchafft und fuͤglichkeit in den gedichten iii von den reimen und derſelben beſchaffenheit iv von den vornemſten reimarten v von der veraͤnderung und erfindung neuer reimarten vi von der gedichte zierlichkeit und derſelben fehlern samt einem anhang von der rechtſchreibung und schriftſcheidung oder diſtinction durch ein mitglied der hochloͤblichen fruchtbringenden geſellſchaft zum zweiten mal aufgelegt und an vielen orten vermehret nuͤrnberg gedruckt bey wolfgang endter m dc l,poetischer trichter die teutsche dicht und reimkunst ohne behuf der lateinischen sprache in ui stunden einzugiessen erster theil handlend i uon der poeterey ins gemein und erfindung derselben inhalt ii uon der teutschen sprache eigenschafft und fuglichkeit in den gedichten iii uon den reimen und derselben beschaffenheit iu uon den uornemsten reimarten u uon der ueranderung und erfindung neuer reimarten ui uon der gedichte zierlichkeit und derselben fehlern samt einem anhang uon der rechtschreibung und schriftscheidung oder distinction durch ein mitglied der hochloblichen fruchtbringenden gesellschaft zum zweiten mal aufgelegt und an uielen orten uermehret nurnberg gedruckt bey wolfgang endter m dc l
harsdoerffer_trichter01_1650,head,1,0,True,2,Sinnbild.,sinnbild,sinnbild
harsdoerffer_trichter01_1650,body,2,0,True,2,SOl der neubelaubte Reben,sol der neubelaubte reben,sol der neubelaubte reben
harsdoerffer_trichter01_1650,body,3,0,True,2,reiff’ und helle Trauben geben/,reiff und helle trauben geben,reiff und helle trauben geben
harsdoerffer_trichter01_1650,body,4,0,True,2,muß man ihn/ auf Berg und Thal/,muß man ihn auf berg und thal,muss man ihn auf berg und thal
harsdoerffer_trichter01_1650,body,5,0,True,2,hacken/ duͤngen/ und beſchneiden:,hacken duͤngen und beſchneiden,hacken dungen und beschneiden
harsdoerffer_trichter01_1650,body,6,0,True,2,ihn auch mit den falben Weiden,ihn auch mit den falben weiden,ihn auch mit den falben weiden
harsdoerffer_trichter01_1650,body,7,0,True,2,hefften an den Erdenpfal.,hefften an den erdenpfal,hefften an den erdenpfal
harsdoerffer_trichter01_1650,body,8,0,True,2,So beſagte Wintzerzucht,so beſagte wintzerzucht,so besagte wintzerzucht
harsdoerffer_trichter01_1650,body,9,0,True,2,bringt verlangte Freudenfrucht.,bringt verlangte freudenfrucht,bringt uerlangte freudenfrucht
harsdoerffer_trichter01_1650,body,10,0,True,2,Sol die Rede/ gleich dem Reben/,sol die rede gleich dem reben,sol die rede gleich dem reben
harsdoerffer_trichter01_1650,body,11,0,True,2,hoͤnigſuͤſſe Fruͤchte geben/,hoͤnigſuͤſſe fruͤchte geben,honigsusse fruchte geben
harsdoerffer_trichter01_1650,body,12,0,True,2,muß der Woͤrter Maß vnd Zahl,muß der woͤrter maß vnd zahl,muss der worter mass und zahl
harsdoerffer_trichter01_1650,body,13,0,True,2,ſie verbinden/ und bereiten/,ſie verbinden und bereiten,sie uerbinden und bereiten
harsdoerffer_trichter01_1650,body,14,0,True,2,nach der Sprache Gruͤnden leiten,nach der sprache gruͤnden leiten,nach der sprache grunden leiten
harsdoerffer_trichter01_1650,body,15,0,True,2,mit der Reimungreichen Wahl.,mit der reimungreichen wahl,mit der reimungreichen wahl
harsdoerffer_trichter01_1650,body,16,0,True,2,Solche kunſtbeliebte Zucht,solche kunſtbeliebte zucht,solche kunstbeliebte zucht
harsdoerffer_trichter01_1650,body,17,0,True,2,bringt der Lippen holde Frucht.,bringt der lippen holde frucht,bringt der lippen holde frucht
harsdoerffer_trichter01_1650,body,18,0,True,3,Zuſchrift an der Hochloͤblichen Fruchtbringenden Geſellſchaft ſinnreichen und wolverdienten Mitgenoſſen/ den Traumenden.,zuſchrift an der hochloͤblichen fruchtbringenden geſellſchaft ſinnreichen und wolverdienten mitgenoſſen den traumenden,zuschrift an der hochloblichen fruchtbringenden gesellschaft sinnreichen und woluerdienten mitgenossen den traumenden
harsdoerffer_trichter01_1650,body,19,0,True,3,ALs unlangſten in Teutſchliebender Geſellſchaft vernuͤnftig erwehnet wordẽ: die Teutſche Poeterey were ſehr ſchwer zu erlernen; dieweil man nicht uur den Laut/ uñ das Maß der Syllben/ wie bey den Griechẽ und Lateinern/ beobachten muͤſſe; ſondern auch benebens verbunden ſey/ den Abſchnitt und den Reimſchluß/ mit unverruckter Ordnung der Woͤrter/ in allen Zeilen/ genauſichtig zu behalten: da hingegen in andeꝛn Sprachen kein Reimſchluß/ und zuweilen kein Abſchnitt/ vonnoͤhten; die Woͤrter aber nach Erheiſchung deß Gebaͤnds zu verſetzen freyſtehe.,als unlangſten in teutſchliebender geſellſchaft vernuͤnftig erwehnet wordẽ die teutſche poeterey were ſehr ſchwer zu erlernen dieweil man nicht uur den laut uñ das maß der syllben wie bey den griechẽ und lateinern beobachten muͤſſe ſondern auch benebens verbunden ſey den abſchnitt und den reimſchluß mit unverruckter ordnung der woͤrter in allen zeilen genauſichtig zu behalten da hingegen in andeꝛn sprachen kein reimſchluß und zuweilen kein abſchnitt vonnoͤhten die woͤrter aber nach erheiſchung deß gebaͤnds zu verſetzen freyſtehe,als unlangsten in teutschliebender gesellschaft uernunftig erwehnet worden die teutsche poeterey were sehr schwer zu erlernen dieweil man nicht uur den laut unn das mass der syllben wie bey den griechen und lateinern beobachten musse sondern auch benebens uerbunden sey den abschnitt und den reimschluss mit unuerruckter ordnung der worter in allen zeilen genausichtig zu behalten da hingegen in anden sprachen kein reimschluss und zuweilen kein abschnitt uonnohten die worter aber nach erheischung dess gebands zu uersetzen freystehe
harsdoerffer_trichter01_1650,body,20,0,True,4,Hierauf habe ich/ nach meiner geringen Wiſſenſchaft dieſer Sachen/ geantwortet: daß hingegen zu betrachten; wie uns unſre Mutterſprach bekanter ſeyn ſoll/ als keine fremde; wie die langen und kurtzen Syllben leichtlich zu erkennen; wie der Reimwoͤrter ſehr viel und der Abſchnitt/ wegen derſelben voͤlliger Wahl/ ſowol als die natuͤrliche Ordnung der Rede leichtlich koͤnne gefuͤget werden.,hierauf habe ich nach meiner geringen wiſſenſchaft dieſer sachen geantwortet daß hingegen zu betrachten wie uns unſre mutterſprach bekanter ſeyn ſoll als keine fremde wie die langen und kurtzen syllben leichtlich zu erkennen wie der reimwoͤrter ſehr viel und der abſchnitt wegen derſelben voͤlliger wahl ſowol als die natuͤrliche ordnung der rede leichtlich koͤnne gefuͤget werden,hierauf habe ich nach meiner geringen wissenschaft dieser sachen geantwortet dass hingegen zu betrachten wie uns unsre muttersprach bekanter seyn soll als keine fremde wie die langen und kurtzen syllben leichtlich zu erkennen wie der reimworter sehr uiel und der abschnitt wegen derselben uolliger wahl sowol als die naturliche ordnung der rede leichtlich konne gefuget werden
harsdoerffer_trichter01_1650,body,21,0,False,4,Wann wir/ ſetzte ich darzu/ mit der Zeit/ wie mit gegenwaͤꝛtigem Wein/ umgiengen/ ſo ſolte man die Dicht- und Reimkunſt/ in VI. Stunden/ wonicht vollkoͤmmlich/ iedoch zur Noht/ faſſen/ und verſtehen koͤnnen.,wann wir ſetzte ich darzu mit der zeit wie mit gegenwaͤꝛtigem wein umgiengen ſo ſolte man die dicht und reimkunſt in vi stunden wonicht vollkoͤmmlich iedoch zur noht faſſen und verſtehen koͤnnen,wann wir setzte ich darzu mit der zeit wie mit gegenwatigem wein umgiengen so solte man die dicht und reimkunst in ui stunden wonicht uollkommlich iedoch zur noht fassen und uerstehen konnen
