,textstring
title,kuchemaistrey
P.head,die vorred ditz buchs
P.0,ujll menschen sein sunderlich vnd nit vnbillichenn geneigt tzu natuerlicher vnd lustiger speiße. sich der selben nach gesuntheyt yres leybes ordenlich zu gebrauchen vnd zu entpfahen. hyrumb ist in dissem gegenwertygen buechlein genant kuechemaystrey gar kurtz auch nuetzlich begriffen vnd angezeiget mit huebscher warhafftiger vntterweysunge von mangerley speyße. wie man die bereytten sol. vnd nachuolgundt stuersten vnd herren geistlichen oder weltlichen auch dem gemeinen man also fuer tragen vnd geben mag. von welcherley kreueteren gewuertzten oder andern materien sie gemacht vnd bereit werden suellen. es sey flaysch. huener. wilprat. visch. krebs. ayer. fuell. gebaches. suppen vnd gemueß. etc das es den den kochen gar nuetz wer zu wissen. wen ein ordenlicher koch mit wol bereitter natuerlicher speiß ist hie in disser zeit der best artzt. vnd das zuuersten so der mensch solche speiße vnd getranck nit vberfluessig sunder sich des ordenlichen vnnd zu rechter zeit gebraucht. etc. darumb wirt ditz buechlein geteylt in fuenff teyl.
P.1,jn dem ersten teyl. lernt es. wie man fastenspeyß bereiten sol von mancherley vischen. vnd auch biberschwentzen. etc. zu syeden. braten. gebachen. vnd wie man etliche darunter vergulden oder versilberen mag. auch wie man von gemueß vnd suppen in mangerley weiß mit gewuertzten. vnd etlich mit farben bereiten vnd geben sol. etc.
P.2,jn dem anderen teil lernt es zu den zeiten so fleisch zimlich zuessen ist die speiß zubereiten huener vnd wiltprat mit sampt anderen gebraten vnd gesotten warm oder kalt. als galrat. lebersultzen. lungen kuechlein holbraten knopfflein oder knodlein von fleysch vnd kuechlein von wilprat. mitsampt gutem gemueß. vnd vil anderm hoflichen essen. etc. ob auch zu einem mal etwas von speys vber belib wie man dz selbig zu dem andern mal bereiten vnd geben sol
P.3,jm drytten teyl lernt es wie man mancherley speyß von ayren bereyten vnd machen sol. als mueser. vnd suppen mancherley gebaches. auch gebaches von mancherley farben. mancherhant krapffen vnd essen fuer kintbetterin vnd kranck leuet. vnd wy man allerley krautessen die gewonlich zu essen sein sieden soll
P.4,jn dem vierden lernt es wie man vill mancherley guter salssen. senff vnd latwergen bereyten vnd machen sol
P.5,jn dem fuenfften teyl lernt es wie man guten essig darzu bereyten. auch von mangerley kreuetern wein machen soll. vnd wie man einem krancken verderbten magen zu hilff kumen sol. etc. mitsampt einer kurtzen natuerlichen vnd nutzberen vnderweisungen. wie sich ein yetzlich mensch in seynem regiment mit essen vnd trincken. auch anderen sachen wesentlich vnd gebuerlich halten sol. wem solchs ordenlichs messigs leben mit einem regiment vor erklert. dem menschen vil nuetzer vnd fruchtberlicher ist gesuntheit seinß leibs damit zu behalten den alle zeitliche ertzney etc.
0.0,diß register hat zweyerley zalen. die erst ist die zal der teyl dis buechleinß der da fuenffe seindt. die ander ist die zal der paragrauo. alß auch allenthalben bezeichnet ist.
0.1,angestrichen gebachens .iij. vij
