,textstring
title,promptuarium medicinae eyn schone arstedyge boeck van allerleye ghebreck vnnde kranckheyden der mynschen
preface,hijr heuet sick an dat register des ses bockes schone vnde suuerlick. synt der tijt de erste minmin sche vthe deme eddelen state der vnschult vor uel an de yamerliken sunde is rechtuerdigen ghepiniget in ome vnde allen sinen kinderen de vor giftige natur. dede nach deme vorlope der natur werden entfangen vnde getelet an dessen dal der yamer licheyt. in dat erste werden ghepi niget alle kreffte der zele wente de vorstentenisse is vordunckert myd der ghebrecklicheyt der vnwetten heyt. de wille is vorghifftiget mit quader begherlicheyt der ghedech tenisse mydt deme vngheualle der vorgettenysse. auer de lycham ys voruallen in vorghencklicheyt. also dat he alle dage wert ghewandelt myd mannigherhande ghebreckly cheyt vnde krancheyt wente an de stunde des dodes. de vns denne myt alle vnwytlick ys. vnde dar vmme wyl god dat me vryste dat leuent. vnde in krankheyt brucke mynschlikes rades. vppe dat me nicht enbe kore syne vorsichticheyt vnde vppe des bequemycheyt hebbe de minsche hefft god ome to denste geschapen alle creaturen. de he denne wunder licker wysz hefft beghifftiget myd mannigherhande krafft vnde mech ticheyt. alse clarlicken vns leret de meyster hugo. in eyneme boke ge nomet de arra anime. dar he secht vnde sprickt alsus: se an o du myn sche de ghantzen werld. vnde vor mercke ifft ock iennich creature sy de dy nicht sy thodenste gheschapen de hemmel. sunne. mane. vnde sternen denen dy. in deme dat de di begifftigen mit deme inulote des leuendes vnde vruchtbarchter der krudere de nen dy tho mannigherhande krank heyt. de elementen alle vere synt be reyde dy in dyner ghebrecklicheyt. vnde dat vele is neyn dinck is so gheringhe iffte slim gherekent dat nummer moge inbringen deme myn schen vordel vnde nutticheyt. hijr vmme is gode van hemmelrike dar vor anders nicht tho betalende wan dancknamicheyt. nachdemmale der creaturen vele is vnde ore kreffte. mannighem mynschen vnwitlick. syn hijr vmme up dat de minsche mach leren mannigherleyghe crea turen kraffte vnde macht vnde dar mede entholden synen licham in sun dicheyt yffte behelpen van swarer kranckheyt. is ghemacket dat bo kelin dat dar mach byldelicken he ten promptuarium medicine. dat is eyn beredicheyt der artzedige. in welkoreme synt vth gedrucket man nigherhande vorborghen vnde he melicke proprieteten iffte egenschop der creaturen vnde besunderlicken. der vruchte der erden nach der le re der arsten vnde der meystere de in den naturlichen kunsten eruaren synt. van mannigherleygen tungen de hijr na ghesath vnde ghenomet synt dar men denne dat in deme la tine so vynden wert alse
biblio.1,almansor libro aggregationum.
biblio.2,albertus magnus ordinis predicatorum libro vegetabilium.
biblio.3,auicenna. primo. secundo tertio. quarquar to canonum.
biblio.4,augustinus super librum genesis: capitulo tricesimo.
biblio.5,azon philosophus et experimentator ma gnus in meditinis.
biblio.6,episcopus sisterisiensis doctor constantinus in dietis in viatico et libro graduum.
biblio.7,catho libro de naturalibus.
biblio.8,diascorides libro diuersarum meditinarum.
biblio.9,experimentatores
biblio.10,escolapius philosophus.
biblio.11,francko libro de herbis vulgi.
biblio.12,galienus in diuersis locis
biblio.13,gordonius in libro meditine
biblio.14,helynandus libro quarto
biblio.15,iorath phylosophus expertus
biblio.16,iohannes mesue filius mesue regis damasci in practica de simplicibus
biblio.17,liber proprietatum rerum
biblio.18,liber qui dicitur lapidarius
biblio.19,liber graduum constantini
biblio.20,liber galieni  seruius
biblio.21,liber speculi naturalis vincencij.
biblio.22,lectura super antidotarium nycolay.
biblio.23,macer de herbis.
biblio.24,mundinus in sinonimis suis
biblio.25,platearius circa instans
biblio.26,platearius de simplicibius
biblio.27,papyas. auerrois
biblio.28,palladius de agricultura.
biblio.29,plinius libro naturalium.
biblio.30,rasis in experimentis
biblio.31,rogerius in cyrugia in libro de aquis et oleis.
biblio.32,serapion de medicinis simplicibus et aggregationum
biblio.33,solinus philosophus de simplicibus et de herbis
biblio.34,trotula in medicinis
biblio.35,uicerbius libro simplicium
biblio.36,wilhelmus
biblio.37,placentinus.
biblio.38,ypocras libro simplicium
biblio.39,ysiderus libro ethimolyarum
biblio.40,isaac in dietis
biblio.41,zocrates philosophus
biblio.42,desse vorbenomeden meystere alle in den kunsten der artzedige eruaren hebben in dessem boke ouer de do gede der krudere gescreuen
biblio.43,nu dat id vorder vppe dat lychlykeste deme leszer werde tho vynden wat he soyket so hebben de mey ster desses bockes dat bock na der schickinge der bockstauen an dem alphabete ghemacket vnde heuet. sick in dat erste an van deme creaturen der ore name van deme ersten bockstaue alse a. anghan alsze hir nu na volget.
index1.1,appele sap lath wol i
index1.2,appele de in dem munde i
index1.3,appele de etick sure synt i
index1.4,appele de wol tomate sote i
index1.5,appele de dat myddel i
index1.6,appele de watergen smecken i
index1.7,appele dede sommer appel i
index1.8,appele de worgelinge heten i
index1.9,appele dede holteke heten ij
index1.10,appele dede gantz sote synt. ij
index1.11,appele dede wol ruken. ij
index1.12,appele van allexandrien. ij
index1.13,aheyle is morsus galline ij
index1.14,atrament edder dolit dar ij
index1.15,aghetsteyn is swart ok. ij
index1.16,aloe is gummy bitter sap ij
index1.17,alant in latine is emula. iij
index1.18,alhorne in westualen is pli. iij
index1.19,alrune is mandragora. iij
index1.20,alsnick husznacke de. iij
index1.21,allun is heyt vnde droge. iij
index1.22,adick is ebulus. iiij
index1.23,ackleygen sat in deme munde iiij
index1.24,amedunck nodemel sunnen iiij
index1.25,annisz is anisum wen. iiij
index1.26,arona aronea yarus pes v
index1.27,andron prassium anedorn v
index1.28,aurine centaurea fel terre. v
index1.29,aloe holt is heyt vnde droge vj
index1.30,bybot aller krude. vj
index1.31,borghele portulata vj
index1.32,borwort is agrimonia. vij
index1.33,beenwelle lodword angal vij
index1.34,benedicta wortele nicht. vij
index1.35,beslotene krut slotword. viij
index1.36,beenzuge bywort baratus. viij
index1.37,balsamynte balsamita. viij
index1.38,bymynte cymynte kat. viij
index1.39,bertram ys pyretrum ix
index1.40,batonie is batonica. ix
index1.41,basilie is basilicon edder. x
index1.42,branberen krud in der. x
index1.43,bockesbart wilde wicken xj
index1.44,berenkrud water merck xj
index1.45,berenkla branca vrsi. xj
index1.46,beuenelle enghersche. xj
index1.47,borcherdesblomen wynter. xj
index1.48,bete in latine is beta. xij
index1.49,borrago borrasie porrasue xij
index1.50,bylse iusquiamus polnia. xiij
index1.51,bloutword de nicht geplan. xiij
index1.52,bese beszen rusch rysch xiij
index1.53,bonen sint kolder droger. xiij
index1.54,bonenmel myt honnige. xiiij
index1.55,berenbomblade kleyne. xiiij
index1.56,beren pira synt koldere xiiij
index1.57,bolderian is bymynte. xv
index1.58,bocke is fagus bocken. xv
index1.59,bock is fagina vnde is so xv
index1.60,bolus armenus radelsteyn. xv
index1.61,brot dat nicht reyne is xvj
index1.62,bottere eynes deyr. xvj
index1.63,bloutsteyn omatites vnge. xvj
index1.64,bernsteyn is droge vnde heyt. xvij
index1.65,c carpentas is romesch xvij
index1.66,camillenblomen schal xvij
index1.67,canneel cynamomen xviij
index1.68,cappellen iuncfrauwen har xviij
index1.69,cardemomen fyne cardemo xix
index1.70,carue gartkome cyminum. xix
index1.71,castanie castanea se sint. xix
index1.72,cypolle cybbele cepa bulbus xix
index1.73,cytelosen hermodactill de. xx
index1.74,cymynte kattemynte bolderi xx
index1.75,clecleuer dreblat trifoli xxj
index1.76,coriander coriandrum corion xxj
index1.77,crutzeword spigword spri xxj
index1.78,crutzebom hendeken kukkukes xxi
index1.79,cost costus costum is wortele xxj
index1.80,ceduar cituar ceduarium is xxij
index1.81,cubebe cubeben cubeba kerkeste xxij
index1.82,cruffliata is benedicta in latine. xxij
index1.83,cassiafistula hold dat myddel. xxij
index1.84,cipressienholt is heit in deme ersten xxiij
index1.85,corallus is kolt vnde droge. xxiij
index1.86,cristallensteyn vnder der tungen xxiij
index1.87,cameelshow soke squinantum xxiij
index1.88,dadelen is dactilus xxiij
index1.89,dach vnde nacht ek xxiiij
index1.90,desem is muscus in latine xxiiij
index1.91,des hilligen kerstesword xxvj
index1.92,dyl dylbe is anetum absinte xxv
index1.93,dyckdam is diptanus in latine xxvj
index1.94,dystel is tribulus dystel de xxvi
index1.95,distel de het lopende distel xxvj
index1.96,donrebone donrelok droswort xxvj
index1.97,dost is origanum he is heyt xxvj
index1.98,duuelsbete suntepeterswort xxvij
index1.99,duuenkeruele nunnenkrut xxvij
index1.100,dunenuotduuenuot ossennauel is aspa xxvij
index1.101,duuenuet is ock krut dat xxvij
index1.102,dreblat socke  clecleuer xxj
index1.103,drosword is donrebone xxvj
index1.104,dropwort is dach vnde nacht xiiiij
index1.105,dragant dragantum is wit xxvii
index1.106,dannenswamp  agricus xxviij
index1.107,ekmispel is fiscus quer xxviij
index1.108,ertrok is funus terre xxviij
index1.109,eppe is merck socke dat liiij
index1.110,eldere is alhorne holderen xlv
index1.111,eckwort is dach vnde nacht xxiiij
index1.112,enghersche is beuenelle xj
index1.113,edeberenbrot gele swerdeye xxviij
index1.114,eke ekenbom de was jupiter xxix
index1.115,ekappele galla galle xxix
index1.116,eckerne van den eken bomen xxx
index1.117,eckuarne is pollipodium xxx
index1.118,enciane genciana dardana xxx
index1.119,engeuer is cinciber gin xxx
index1.120,endiuia is lactuca agrestis xxxj
index1.121,erwete pysa robeke sint xxxj
index1.122,ertappel ertwycken tola xxxij
index1.123,ertberen to latine fragum xxxij
index1.124,esschenpom essche to latine xxxij
index1.125,etick in latine acetumm xxxij
index1.126,etick van beyre den gud xxxiiij
index1.127,eueritte is abrotanum in la xxxiij
index1.128,euerword is agramen xxxiiij
index1.129,eygere van honren xxxiiij
index1.130,nota magister iohannes de rubri xxxv
index1.131,fyole ys fiola is kold xxxv
index1.132,fyolen de swarte xxxvj
index1.133,fiolen dede wytte sy xxxvj
index1.134,fyn speck vth walschen landen lxxij
index1.135,filipendula to dude xxxvj
index1.136,fenugrecum fenugreck xxxvj
index1.137,fimelsterne schoneken xxxvij
index1.138,gartkome is carue xxxvij
index1.139,gard ringele goldeke xxxviij
index1.140,galigan is galanga is ci xxxviij
index1.141,gartkonele peperkrud xxxviij
index1.142,gersz gerse gersele grot xxxix
index1.143,ghele cleuer dreblat xxxix
index1.144,goldword schelword xxxix
index1.145,gherste is to latine ordeum xxxix
index1.146,gesoden wyn edder must xl
index1.147,gold dat gloyge in dem vure xl
index1.148,gundram is attestilla xl
index1.149,grot laddeke het bardana xl
index1.150,gesegelt erde terra sigillata xl
