,textstring
0.0.1,der abentheurliche simplicissimus teutsch das ist
0.0.2,die beschreibung dess lebens eines seltzamen vaganten genant melchior sternfels von fuchshaim wo und welcher gestalt er nemlich in diese welt kommen was er darinn gesehen gelernet erfahren und aussgestanden auch warumb er solche wieder freywillig quittirt ueberauss lustig und maenniglich nutzlich zu lesen
1.0.1,jnhalt dess ersten buchs
1.0.2,das capitel
1.0.3,vermeldet simplicii baurisch herkommen und gleichformige aufferziehung
1.0.4,das capitel
1.0.5,beschreibet die erste staffel der hoheit welche simplicius gestiegen samt dem lob der hirten und angehangter trefflichen instruction
1.0.6,das capitel
1.0.7,meldet von dem mitleiden einer getreuen sackpfeiff
1.0.8,das capitel
1.0.9,simplicii residenz wird erobert geplundert und zerstort darinn die krieger jammerlich hausen
1.0.10,das capitel
1.0.11,wie simplicius das reissauss spielt und von faulen baumen erschrecket wird
1.0.12,das capitel
1.0.13,jst kurtz und so andachtig dass dem simplicio daruber ohnmachtig wird
1.0.14,das capitel
1.0.15,simplicius wird in einer armen herberg freundlich tractirt
1.0.16,das capitel
1.0.17,wie simplicius durch hohe reden seine vortrefflichkeit zu erkennen gibt
1.0.18,das capitel
1.0.19,simplicius wird auss einer bestia zu einem christenmenschen
1.0.20,das capitel
1.0.21,was gestalten er schreiben und lesen im wilden wald gelernet
1.0.22,das capitel
1.0.23,redet von essenspeiss haussrath und andern nothwendigen sachen die man in diesem zeitlichen leben haben muss
1.0.24,das capitel
1.0.25,vermerckt ein schone art seelig zu sterben und sich mit geringem unkosten begraben zu lassen
1.0.26,das capitel
1.0.27,simplicius last sich wie ein rohr im weyer umbtreiben
1.0.28,das capitel
1.0.29,jst ein seltzame comedia von bauern
1.0.30,das capitel
1.0.31,simplicius wird spolirt und last ihm von denen baurn wunderlich traumen wie es zu kriegszeiten hergehet
1.0.32,das capitel
1.0.33,heutiger soldaten thun und lassen und wie schwerlich ein gemeiner kriegsmann befordert werde
1.0.34,das capitel
1.0.35,ob schon im krieg der adel wie billich dem gemeinen mann vorgezogen wird so kommen doch viel aussverachtlichem stand zu hohen ehren
1.0.36,das capitel
1.0.37,simplicius thut den ersten sprung in die welt mit schlechtem gluck
1.0.38,das capitel
1.0.39,wie hanau von simplicio und simplicius von hanau eingenommen wird
1.0.40,das capitel
