doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
nn_almanach05_1481,body,0,0,False,[1r],Nach cristi gepurt.,nach cristi gepurt,nach cristi gepurt
nn_almanach05_1481,body,0,1,False,[1r],Tausent vierhundert vnd in dem einundachzigsten iar ist suntag buchstab g. gulden zal. xix. zwischen weinachten vnd heren faßnacht sind. ix. wochen. vi. tag.,tausent vierhundert vnd in dem einundachzigsten iar ist suntag buchstab g gulden zal xix zwischen weinachten vnd heren faßnacht sind ix wochen vi tag,tausent uierhundert und in dem einundachzigsten iar ist suntag buchstab g gulden zal xix zwischen weinachten und heren fassnacht sind ix wochen ui tag
nn_almanach05_1481,body,0,2,False,[1r],Der erst suntag der vasten ist am suntag vor gregorii.,der erst suntag der vasten ist am suntag vor gregorii,der erst suntag der uasten ist am suntag uor gregorii
nn_almanach05_1481,body,0,3,False,[1r],Der ostertag ist am suntag vor georgii.,der ostertag ist am suntag vor georgii,der ostertag ist am suntag uor georgii
nn_almanach05_1481,body,0,4,False,[1r],Die kreuczwoch ist am suntag nach vrbani. der pfingstag am suntag vor barnabe.,die kreuczwoch ist am suntag nach vrbani der pfingstag am suntag vor barnabe,die kreuczwoch ist am suntag nach urbani der pfingstag am suntag uor barnabe
nn_almanach05_1481,body,0,5,False,[1r],Das aduent ist am suntag nach andree.,das aduent ist am suntag nach andree,das aduent ist am suntag nach andree
nn_almanach05_1481,body,0,6,True,[1r],Darnach vint ir newung vnd vollung des monß nach warem lauff auff Nuͤremberg zu rechen die stund vn minuten von mittemtag oder von vergangner mitternach.,darnach vint ir newung vnd vollung des monß nach warem lauff auff nüremberg zu rechen die stund vn minuten von mittemtag oder von vergangner mitternach,darnach uint ir newung und uollung des monss nach warem lauff auff nuremberg zu rechen die stund un minuten uon mittemtag oder uon uergangner mitternach
nn_almanach05_1481,head,1,0,False,[1r],Jener.,jener,iener
nn_almanach05_1481,head,1,1,True,[1r],Horae Minuten,horae minuten,horae minuten
nn_almanach05_1481,body,2,0,True,[1r],Die fuͤl wirt am abent sant anthoni nach mittnacht .o. lvi.,die fül wirt am abent sant anthoni nach mittnacht o lvi,die ful wirt am abent sant anthoni nach mittnacht o lui
nn_almanach05_1481,head,3,0,True,[1r],Hornung.,hornung,hornung
nn_almanach05_1481,body,4,0,True,[1r],New am dinstag nach pauls bekere nach mittnacht .i .xvij,new am dinstag nach pauls bekere nach mittnacht i xvij,new am dinstag nach pauls bekere nach mittnacht i xuii
