doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
luther_bible_1545,head,1,1,False,Titelblatt,Biblia,biblia,biblia
luther_bible_1545,head,1,2,False,Titelblatt,Das ist:,das ist,das ist
luther_bible_1545,head,1,3,False,Titelblatt,Die gantze Heilige Schrifft: Deudsch,die gantze heilige schrifft deudsch,die gantze heilige schrifft deudsch
luther_bible_1545,head,1,4,False,Titelblatt,Auffs new zugericht.,auffs new zugericht,auffs new zugericht
luther_bible_1545,head,1,5,False,Titelblatt,D. Mart. Luth.,d mart luth,d mart luth
luther_bible_1545,head,1,6,False,Titelblatt,Begnadet mit,begnadet mit,begnadet mit
luther_bible_1545,head,1,7,False,Titelblatt,Kurfürstlicher zu Sachsen Freiheit.,kurfürstlicher zu sachsen freiheit,kurfurstlicher zu sachsen freiheit
luther_bible_1545,head,1,8,False,Titelblatt,Gedruckt zu Wittemberg,gedruckt zu wittemberg,gedruckt zu wittemberg
luther_bible_1545,head,1,9,False,Titelblatt,Durch Hanns Lufft,durch hanns lufft,durch hanns lufft
luther_bible_1545,head,1,10,True,Titelblatt,M.D.XLV.,m d xlv,m d xlu
luther_bible_1545,head,1,1,False,Die Bücher des Alten Testaments,Bücher des alten Testaments.,bücher des alten testaments,bucher des alten testaments
luther_bible_1545,head,1,2,False,Die Bücher des Alten Testaments,I. Das erste Buch Mose. Genesis.,i das erste buch mose genesis,i das erste buch mose genesis
luther_bible_1545,head,1,3,False,Die Bücher des Alten Testaments,II. Das ander buch Mose. Exodus.,ii das ander buch mose exodus,ii das ander buch mose exodus
luther_bible_1545,head,1,4,False,Die Bücher des Alten Testaments,III. Das dritte buch Mose. Leuiticus.,iii das dritte buch mose leuiticus,iii das dritte buch mose leuiticus
luther_bible_1545,head,1,5,False,Die Bücher des Alten Testaments,IIII. Das vierde buch Mose. Numeri.,iiii das vierde buch mose numeri,iiii das uierde buch mose numeri
luther_bible_1545,head,1,6,False,Die Bücher des Alten Testaments,V. Das fünffte buch Mose. Deuteronomium.,v das fünffte buch mose deuteronomium,u das funffte buch mose deuteronomium
luther_bible_1545,head,1,7,False,Die Bücher des Alten Testaments,VI. Josua.,vi josua,ui iosua
luther_bible_1545,head,1,8,False,Die Bücher des Alten Testaments,VII. Der Richter. Judicum.,vii der richter judicum,uii der richter iudicum
luther_bible_1545,head,1,9,False,Die Bücher des Alten Testaments,VIII. Ruth.,viii ruth,uiii ruth
luther_bible_1545,head,1,10,False,Die Bücher des Alten Testaments,IX. Samuel. Regum. j. ij.,ix samuel regum j ij,ix samuel regum i ii
luther_bible_1545,head,1,11,False,Die Bücher des Alten Testaments,X. Der König. Regum. iij. iiij.,x der könig regum iij iiij,x der konig regum iii iiii
luther_bible_1545,head,1,12,False,Die Bücher des Alten Testaments,XI. Chronica. Paralipomenon. j. ij.,xi chronica paralipomenon j ij,xi chronica paralipomenon i ii
luther_bible_1545,head,1,13,False,Die Bücher des Alten Testaments,XII. Esra.,xii esra,xii esra
luther_bible_1545,head,1,14,False,Die Bücher des Alten Testaments,XIII. Nehemia.,xiii nehemia,xiii nehemia
luther_bible_1545,head,1,15,False,Die Bücher des Alten Testaments,XIIII. Esther.,xiiii esther,xiiii esther
luther_bible_1545,head,1,16,False,Die Bücher des Alten Testaments,XV. Hiob.,xv hiob,xu hiob
luther_bible_1545,head,1,17,False,Die Bücher des Alten Testaments,XVI. Psalter.,xvi psalter,xui psalter
luther_bible_1545,head,1,18,False,Die Bücher des Alten Testaments,XVII. Sprüche Salomonis. Prouerbiorum.,xvii sprüche salomonis prouerbiorum,xuii spruche salomonis prouerbiorum
