doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12201,head,0,0,True,,Ora maritima,ora maritima,ora maritima
12201,body,1,0,False,,"Quaesisse temet saepe cogitans, Probe,",quaesisse temet saepe cogitans probe,quaesisse temet saepe cogitans probe
12201,body,1,1,False,,"animo atque sensu, Taurici ponti situs",animo atque sensu taurici ponti situs,animo atque sensu taurici ponti situs
12201,body,1,2,False,,capi ut valeret his probabili fide,capi ut valeret his probabili fide,capi ut ualeret his probabili fide
12201,body,1,3,False,,"quos distinerent spatia terrarum extima,",quos distinerent spatia terrarum extima,quos distinerent spatia terrarum extima
12201,body,1,4,False,,"subi libenter id laboris, ut tibi",subi libenter id laboris ut tibi,subi libenter id laboris ut tibi
12201,body,1,5,False,,desideratum carmine hoc claresceret.,desideratum carmine hoc claresceret,desideratum carmine hoc claresceret
12201,body,1,6,False,,fas non putavi quippe prolixa die,fas non putavi quippe prolixa die,fas non putaui quippe prolixa die
12201,body,1,7,False,,non subiacere sensui formam tuo,non subiacere sensui formam tuo,non subiacere sensui formam tuo
12201,body,1,8,False,,regionis eius quam vetustis paginis,regionis eius quam vetustis paginis,regionis eius quam uetustis paginis
12201,body,1,9,False,,et quam per omnem spiritus nostri diem,et quam per omnem spiritus nostri diem,et quam per omnem spiritus nostri diem
12201,body,1,10,False,,secretiore lectione acceperam.,secretiore lectione acceperam,secretiore lectione acceperam
12201,body,1,11,False,,"alii invidere namque, quod dispendio",alii invidere namque quod dispendio,alii inuidere namque quod dispendio
12201,body,1,12,False,,"tibi haud sit ullo, agrestis et duri reor.",tibi haud sit ullo agrestis et duri reor,tibi haud sit ullo agrestis et duri reor
12201,body,1,13,False,,"his addo et illud, liberum temet loco",his addo et illud liberum temet loco,his addo et illud liberum temet loco
12201,body,1,14,False,,mihi esse amore sanguinisque vinculo.,mihi esse amore sanguinisque vinculo,mihi esse amore sanguinisque uinculo
12201,body,1,15,False,,"neque sat sit istud, ni sciam te litteras",neque sat sit istud ni sciam te litteras,neque sat sit istud ni sciam te litteras
12201,body,1,16,False,,hiantibusque faucibus veterum abdita,hiantibusque faucibus veterum abdita,hiantibusque faucibus ueterum abdita
12201,body,1,17,False,,"hausisse semper, esse patuli pectoris,",hausisse semper esse patuli pectoris,hausisse semper esse patuli pectoris
12201,body,1,18,False,,"sensu capacem, talium iugem sitim",sensu capacem talium iugem sitim,sensu capacem talium iugem sitim
12201,body,1,19,False,,tuo esse cordi et esse te prae ceteris,tuo esse cordi et esse te prae ceteris,tuo esse cordi et esse te prae ceteris
12201,body,1,20,False,,memorem intimati. cur inefficaciter,memorem intimati cur inefficaciter,memorem intimati cur inefficaciter
12201,body,1,21,False,,secreta rerum in non tenacem effunderem?,secreta rerum in non tenacem effunderem,secreta rerum in non tenacem effunderem
12201,body,1,22,False,,in non seguacem quis profunda ogganniat?,in non seguacem quis profunda ogganniat,in non seguacem quis profunda ogganniat
12201,body,1,23,False,,"multa ergo, multa compulere me, Probe,",multa ergo multa compulere me probe,multa ergo multa compulere me probe
12201,body,1,24,False,,efflagitatam rem tibi ut persolverem.,efflagitatam rem tibi ut persolverem,efflagitatam rem tibi ut persoluerem
12201,body,1,25,False,,"quin et parentis credidi officium fore,",quin et parentis credidi officium fore,quin et parentis credidi officium fore
12201,body,1,26,False,,desideratum si tibi locupletius,desideratum si tibi locupletius,desideratum si tibi locupletius
12201,body,1,27,False,,profusiusque Musa promeret mea.,profusiusque musa promeret mea,profusiusque musa promeret mea
12201,body,1,28,False,,"dare expetitum quippe non parci viri est,",dare expetitum quippe non parci viri est,dare expetitum quippe non parci uiri est
12201,body,1,29,False,,augere porro muneris summam novo,augere porro muneris summam novo,augere porro muneris summam nouo
12201,body,1,30,False,,mentis benignae satque liberalis est.,mentis benignae satque liberalis est,mentis benignae satque liberalis est
12201,body,1,31,False,,"interrogati, si tenes, Maeotici",interrogati si tenes maeotici,interrogati si tenes maeotici
12201,body,1,32,False,,situs quis esset aequoris. Sallustium,situs quis esset aequoris sallustium,situs quis esset aequoris sallustium
12201,body,1,33,False,,"noram id dedisse, dicta et eius omnibus",noram id dedisse dicta et eius omnibus,noram id dedisse dicta et eius omnibus
12201,body,1,34,False,,praeiudicatae auctoritatis ducier,praeiudicatae auctoritatis ducier,praeiudicatae auctoritatis ducier
12201,body,1,35,False,,"non abnuebam. ad eius igitur inclytam,",non abnuebam ad eius igitur inclytam,non abnuebam ad eius igitur inclytam
12201,body,1,36,False,,"descriptionem, qua locorum formulam",descriptionem qua locorum formulam,descriptionem qua locorum formulam
12201,body,1,37,False,,imaginemque expressor efficax stili,imaginemque expressor efficax stili,imaginemque expressor efficax stili
12201,body,1,38,False,,et veritatis paene in optutus dedit,et veritatis paene in optutus dedit,et ueritatis paene in optutus dedit
12201,body,1,39,False,,"lepore linguae, multa rerum iunximus",lepore linguae multa rerum iunximus,lepore linguae multa rerum iunximus
12201,body,1,40,False,,ex plurimorum sumpta commentariis.,ex plurimorum sumpta commentariis,ex plurimorum sumpta commentariis
12201,body,1,41,False,,Hecataeus istic quippe erit Milesius,hecataeus istic quippe erit milesius,hecataeus istic quippe erit milesius
12201,body,1,42,False,,"Hellanicusque Lesbius, Phileus quoque",hellanicusque lesbius phileus quoque,hellanicusque lesbius phileus quoque
12201,body,1,43,False,,"Atheniensis, Caryandaeus Scylax,",atheniensis caryandaeus scylax,atheniensis caryandaeus scylax
12201,body,1,44,False,,"Pausimachus inde, prisca quem genuit Samos,",pausimachus inde prisca quem genuit samos,pausimachus inde prisca quem genuit samos
12201,body,1,45,False,,quin et Damastus nobili natus Sige,quin et damastus nobili natus sige,quin et damastus nobili natus sige
12201,body,1,46,False,,"Rhodoque Bacoris ortus, Euctemon quoque",rhodoque bacoris ortus euctemon quoque,rhodoque bacoris ortus euctemon quoque
12201,body,1,47,False,,"popularis urbe Atticae Siculus Cleon,",popularis urbe atticae siculus cleon,popularis urbe atticae siculus cleon
