doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12169,head,0,0,True,,NICOLAI COPERNICI REVOLVTIONVM LIBER PRIMVS.,nicolai copernici revolvtionvm liber primvs,nicolai copernici reuolutionum liber primus
12169,head,1,0,False,,Quod mundus sit sphaericus.,quod mundus sit sphaericus,quod mundus sit sphaericus
12169,head,1,1,True,,Cap. I.,cap i,cap i
12169,body,2,0,False,,"PRINCIPIO aduertendum nobis est, globosum esse mundum, siue quod ipsa forma perfectissima sit omnium, nulla indigens compagine, tota integra: siue quod ipsa capacissima sit figurarum, quas compraehensurum omnia, & conseruaturum maxime decet: siue etiam quod absolutissimas quasque mundi partes, Solem dico, Lunam & stellas, tali forma conspiciantur: siue quod hac uniuersa appetant terminari, quod in aquas guttis caeterisque liquidis corporibus apparet, dum per se terminari cupiunt.",principio aduertendum nobis est globosum esse mundum siue quod ipsa forma perfectissima sit omnium nulla indigens compagine tota integra siue quod ipsa capacissima sit figurarum quas compraehensurum omnia & conseruaturum maxime decet siue etiam quod absolutissimas quasque mundi partes solem dico lunam & stellas tali forma conspiciantur siue quod hac uniuersa appetant terminari quod in aquas guttis caeterisque liquidis corporibus apparet dum per se terminari cupiunt,principio aduertendum nobis est globosum esse mundum siue quod ipsa forma perfectissima sit omnium nulla indigens compagine tota integra siue quod ipsa capacissima sit figurarum quas compraehensurum omnia et conseruaturum maxime decet siue etiam quod absolutissimas quasque mundi partes solem dico lunam et stellas tali forma conspiciantur siue quod hac uniuersa appetant terminari quod in aquas guttis caeterisque liquidis corporibus apparet dum per se terminari cupiunt
12169,body,2,1,True,,Quo minus talem formam caelestibus corporibus attributam quisquam dubitauerit.,quo minus talem formam caelestibus corporibus attributam quisquam dubitauerit,quo minus talem formam caelestibus corporibus attributam quisquam dubitauerit
12169,head,3,0,False,,Quod terra quoque sphaerica sit.,quod terra quoque sphaerica sit,quod terra quoque sphaerica sit
12169,head,3,1,True,,Cap. II.,cap ii,cap ii
12169,body,4,0,False,,"Terram quoque globosam esse, quoniam ab omni parte centro suo innititur.",terram quoque globosam esse quoniam ab omni parte centro suo innititur,terram quoque globosam esse quoniam ab omni parte centro suo innititur
12169,body,4,1,False,,"Tametsi absolutus orbis non statim uideatur, in tanta montium excelsitate, descensuque uallium, quae tamen uniuersam terras rotunditatem minime uariant.",tametsi absolutus orbis non statim uideatur in tanta montium excelsitate descensuque uallium quae tamen uniuersam terras rotunditatem minime uariant,tametsi absolutus orbis non statim uideatur in tanta montium excelsitate descensuque uallium quae tamen uniuersam terras rotunditatem minime uariant
12169,body,4,2,False,,Quod ita manifestum est.,quod ita manifestum est,quod ita manifestum est
12169,body,4,3,False,,"Nam ad Septentrionem undequaque commeantibus, uertex ille diurnae reuolutionis paulatim attollitur, altero tantundem ex aduerso subeunte, pluresque stellas circum Septentriones uidentur non occidere, & in Austro quaedam amplius non oriri.",nam ad septentrionem undequaque commeantibus uertex ille diurnae reuolutionis paulatim attollitur altero tantundem ex aduerso subeunte pluresque stellas circum septentriones uidentur non occidere & in austro quaedam amplius non oriri,nam ad septentrionem undequaque commeantibus uertex ille diurnae reuolutionis paulatim attollitur altero tantundem ex aduerso subeunte pluresque stellas circum septentriones uidentur non occidere et in austro quaedam amplius non oriri
12169,body,4,4,False,,"Ita Canopum non cernit Italia, Aegypto patentem.",ita canopum non cernit italia aegypto patentem,ita canopum non cernit italia aegypto patentem
12169,body,4,5,False,,"Et Italia postremam Fluuij stellam uidet, quam regio nostra plagae rigentioris ignorat.",et italia postremam fluuij stellam uidet quam regio nostra plagae rigentioris ignorat,et italia postremam fluuii stellam uidet quam regio nostra plagae rigentioris ignorat
12169,body,4,6,False,,"E contrario in Austrum transeuntibus attolluntur illa, residentibus ijs, quas nobis excelsa sunt.",e contrario in austrum transeuntibus attolluntur illa residentibus ijs quas nobis excelsa sunt,e contrario in austrum transeuntibus attolluntur illa residentibus iis quas nobis excelsa sunt
12169,body,4,7,False,,"Interea & ipsae polorum inclinationes ad emensa terrarum spacia eandem ubique rationem habent, quod in nulla alia quam sphaerica figura contingit.",interea & ipsae polorum inclinationes ad emensa terrarum spacia eandem ubique rationem habent quod in nulla alia quam sphaerica figura contingit,interea et ipsae polorum inclinationes ad emensa terrarum spacia eandem ubique rationem habent quod in nulla alia quam sphaerica figura contingit
12169,body,4,8,False,,"Vnde manifestum est, terram quoque uerticibus includi, & propter hoc globosam esse.",vnde manifestum est terram quoque uerticibus includi & propter hoc globosam esse,unde manifestum est terram quoque uerticibus includi et propter hoc globosam esse
12169,body,4,9,False,,"Adde etiam, quod defectus Solis & Lunae uespertinos Orientis incolae non sentiunt: neque matutinos ad occasum habitantes: Medios autem, illi quidem tardius, hi uero citius uident.",adde etiam quod defectus solis & lunae uespertinos orientis incolae non sentiunt neque matutinos ad occasum habitantes medios autem illi quidem tardius hi uero citius uident,adde etiam quod defectus solis et lunae uespertinos orientis incolae non sentiunt neque matutinos ad occasum habitantes medios autem illi quidem tardius hi uero citius uident
12169,body,4,10,False,,"Eidem quoque formae aquas inniti a nauigantibus deprashenditur: quoniam quas e naui terra non cernitur, ex summitate mali plerumque spectatur.",eidem quoque formae aquas inniti a nauigantibus deprashenditur quoniam quas e naui terra non cernitur ex summitate mali plerumque spectatur,eidem quoque formae aquas inniti a nauigantibus deprashenditur quoniam quas e naui terra non cernitur ex summitate mali plerumque spectatur
12169,body,4,11,False,,"At uicissim si quid in summitate mali fulgens adhibeatur, a terra promoto nauigio, paulatim descendere uidetur in littore manentibus, donec postremo quasi occiduum occultetur.",at uicissim si quid in summitate mali fulgens adhibeatur a terra promoto nauigio paulatim descendere uidetur in littore manentibus donec postremo quasi occiduum occultetur,at uicissim si quid in summitate mali fulgens adhibeatur a terra promoto nauigio paulatim descendere uidetur in littore manentibus donec postremo quasi occiduum occultetur
12169,body,4,12,False,,"Constat etiam aquas sua natura fluentes, inferiora semper petere, eadem quae terra, nec a littore ad ulteriora niti, quam conuexitas ipsius patiatur.",constat etiam aquas sua natura fluentes inferiora semper petere eadem quae terra nec a littore ad ulteriora niti quam conuexitas ipsius patiatur,constat etiam aquas sua natura fluentes inferiora semper petere eadem quae terra nec a littore ad ulteriora niti quam conuexitas ipsius patiatur
12169,body,4,13,True,,"Quamobrem tanto excelsiorem terram esse conuenit, quascunque ex Oceano assurgit.",quamobrem tanto excelsiorem terram esse conuenit quascunque ex oceano assurgit,quamobrem tanto excelsiorem terram esse conuenit quascunque ex oceano assurgit
12169,head,5,0,False,,Quomodo terra cum aqua unum globum perficiat.,quomodo terra cum aqua unum globum perficiat,quomodo terra cum aqua unum globum perficiat
12169,head,5,1,True,,Cap. III.,cap iii,cap iii
12169,body,6,0,False,,"Huic ergo circumfusus Oceanus maria passim profundens, decliuiores eius descensus implet.",huic ergo circumfusus oceanus maria passim profundens decliuiores eius descensus implet,huic ergo circumfusus oceanus maria passim profundens decliuiores eius descensus implet
12169,body,6,1,False,,"Itaque minus esse aquarum quam terrae oportebat, ne totam absorberet aqua tellurem, ambabus in idem centrum contendentibus grauitate sua, sed ut aliquas terrae partes animantium saluti relinqueret, atque tot hinc inde patentes insulas.",itaque minus esse aquarum quam terrae oportebat ne totam absorberet aqua tellurem ambabus in idem centrum contendentibus grauitate sua sed ut aliquas terrae partes animantium saluti relinqueret atque tot hinc inde patentes insulas,itaque minus esse aquarum quam terrae oportebat ne totam absorberet aqua tellurem ambabus in idem centrum contendentibus grauitate sua sed ut aliquas terrae partes animantium saluti relinqueret atque tot hinc inde patentes insulas
12169,body,6,2,False,,"Nam & ipsa continens, terrarumque orbis, quid aliud est quam insula maior caeteris?",nam & ipsa continens terrarumque orbis quid aliud est quam insula maior caeteris,nam et ipsa continens terrarumque orbis quid aliud est quam insula maior caeteris
12169,body,6,3,False,,"Nec audiendi sunt Peripateticorum quidam, qui uniuersam aquam decies tota terra maiorem prodiderunt.",nec audiendi sunt peripateticorum quidam qui uniuersam aquam decies tota terra maiorem prodiderunt,nec audiendi sunt peripateticorum quidam qui uniuersam aquam decies tota terra maiorem prodiderunt
