doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12202,head,0,0,True,,Otia de Mahomete,otia de mahomete,otia de mahomete
12202,head,1,0,True,,v. 1,v,u
12202,body,2,0,False,,"Quisquis nosse cupis patriam Machometis et actus,",quisquis nosse cupis patriam machometis et actus,quisquis nosse cupis patriam machometis et actus
12202,body,2,1,False,,otia Walterii de Machomete lege.,otia walterii de machomete lege,otia walterii de machomete lege
12202,body,2,2,False,,Sic tamen otia sunt ut et esse negotia credas.,sic tamen otia sunt ut et esse negotia credas,sic tamen otia sunt ut et esse negotia credas
12202,body,2,3,False,,ne spernas quotiens otia forte legis.,ne spernas quotiens otia forte legis,ne spernas quotiens otia forte legis
12202,body,2,4,False,,"Nam si vera mihi dixit Warnerius abbas,",nam si vera mihi dixit warnerius abbas,nam si uera mihi dixit warnerius abbas
12202,body,2,5,False,,me quoque vera loqui de Machomete puta.,me quoque vera loqui de machomete puta,me quoque uera loqui de machomete puta
12202,body,2,6,False,,Si tamen addidero vel dempsero sicut et ille,si tamen addidero vel dempsero sicut et ille,si tamen addidero uel dempsero sicut et ille
12202,body,2,7,False,,"addidit aut dempsit, forsan, ut esse solet,",addidit aut dempsit forsan ut esse solet,addidit aut dempsit forsan ut esse solet
12202,body,2,8,False,,"Spinam devita, botrum decerpere cura;",spinam devita botrum decerpere cura,spinam deuita botrum decerpere cura
12202,body,2,9,True,,"botrus enim relicit, vulnera spina facit.",botrus enim relicit vulnera spina facit,botrus enim relicit uulnera spina facit
12202,head,3,0,True,,v. 11,v,u
12202,body,4,0,False,,"Abbas jam dictus monacho monachus mihi dixit,",abbas jam dictus monacho monachus mihi dixit,abbas iam dictus monacho monachus mihi dixit
12202,body,4,1,False,,"immo testatus est mihi multotiens,",immo testatus est mihi multotiens,immo testatus est mihi multotiens
12202,body,4,2,False,,"Quod quidam cui nomen erat Paganus, honestus,",quod quidam cui nomen erat paganus honestus,quod quidam cui nomen erat paganus honestus
12202,body,4,3,False,,"clericus et Senonum magnus in ecclesia,",clericus et senonum magnus in ecclesia,clericus et senonum magnus in ecclesia
12202,body,4,4,False,,Secum detinuit aliquanto tempore quemdam,secum detinuit aliquanto tempore quemdam,secum detinuit aliquanto tempore quemdam
12202,body,4,5,False,,qui Machomis patriam gestaque dixit ei.,qui machomis patriam gestaque dixit ei,qui machomis patriam gestaque dixit ei
12202,body,4,6,False,,"Qui de progenie gentili natus et altus,",qui de progenie gentili natus et altus,qui de progenie gentili natus et altus
12202,body,4,7,False,,Christi baptismum ceperat atque fidem:,christi baptismum ceperat atque fidem,christi baptismum ceperat atque fidem
12202,body,4,8,False,,Ergo se puerum dedicisse legendo professus,ergo se puerum dedicisse legendo professus,ergo se puerum dedicisse legendo professus
12202,body,4,9,False,,"quidquid scripturae de Machomete sonant,",quidquid scripturae de machomete sonant,quidquid scripturae de machomete sonant
12202,body,4,10,False,,Dixit euni genitum genitoribus ex idumaeis,dixit euni genitum genitoribus ex idumaeis,dixit euni genitum genitoribus ex idumaeis
12202,body,4,11,False,,et C.hristi doctum legibus atque fide.,et c hristi doctum legibus atque fide,et c hristi doctum legibus atque fide
12202,body,4,12,False,,"Rethor, arismeticus, dialecticus et geometer,",rethor arismeticus dialecticus et geometer,rethor arismeticus dialecticus et geometer
12202,body,4,13,False,,"musicus, astrologus, grammaticusque fuit.",musicus astrologus grammaticusque fuit,musicus astrologus grammaticusque fuit
12202,body,4,14,False,,"Qui licet, ut liber, excelleret artibus istis,",qui licet ut liber excelleret artibus istis,qui licet ut liber excelleret artibus istis
12202,body,4,15,False,,ex servis servus ortus et altus erat.,ex servis servus ortus et altus erat,ex seruis seruus ortus et altus erat
