doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
24938,head,0,0,True,,LIBER PRIMUS,liber primus,liber primus
24938,body,1,0,True,,"Etsi te studio grammaticae artis inductum, non solum versuum moderatione, quam pauci perviderunt, sed historiarum quoque varietate, qua scientia rerum perspicitur, praestare video, quae facilius etiam scriptis tuis perspici potest, desiderans potius scientem quam liberalem iudicem, tamen quo magis exercitatus et nonnullis etiam saepius in his rebus occupatus esse videor, ne nihil in adulescentia laborasse dicerer, et imperitorum iudicio desidiae subirem crimen, hoc velut rudimento scientiae nisus scripsi ad te, non ut imperito monstrans, sed ut scientissimum commonens.",etsi te studio grammaticae artis inductum non solum versuum moderatione quam pauci perviderunt sed historiarum quoque varietate qua scientia rerum perspicitur praestare video quae facilius etiam scriptis tuis perspici potest desiderans potius scientem quam liberalem iudicem tamen quo magis exercitatus et nonnullis etiam saepius in his rebus occupatus esse videor ne nihil in adulescentia laborasse dicerer et imperitorum iudicio desidiae subirem crimen hoc velut rudimento scientiae nisus scripsi ad te non ut imperito monstrans sed ut scientissimum commonens,etsi te studio grammaticae artis inductum non solum uersuum moderatione quam pauci peruiderunt sed historiarum quoque uarietate qua scientia rerum perspicitur praestare uideo quae facilius etiam scriptis tuis perspici potest desiderans potius scientem quam liberalem iudicem tamen quo magis exercitatus et nonnullis etiam saepius in his rebus occupatus esse uideor ne nihil in adulescentia laborasse dicerer et imperitorum iudicio desidiae subirem crimen hoc uelut rudimento scientiae nisus scripsi ad te non ut imperito monstrans sed ut scientissimum commonens
24938,body,2,0,False,,"Sphaerae figurationem circulorumque qui in ea sunt notationem, et quae ratio fuerit, ut non aequis partibus dividerentur; praeterea terrae marisque definitionem, et quae partes eius non habitentur, ut multis iustisque de causis hominibus carere videantur, ordine exposuimus.",sphaerae figurationem circulorumque qui in ea sunt notationem et quae ratio fuerit ut non aequis partibus dividerentur praeterea terrae marisque definitionem et quae partes eius non habitentur ut multis iustisque de causis hominibus carere videantur ordine exposuimus,sphaerae figurationem circulorumque qui in ea sunt notationem et quae ratio fuerit ut non aequis partibus diuiderentur praeterea terrae marisque definitionem et quae partes eius non habitentur ut multis iustisque de causis hominibus carere uideantur ordine exposuimus
24938,body,2,1,False,,"Rursusque redeuntes ad sphaeram, duo et XL signa nominatim pernumeravimus.",rursusque redeuntes ad sphaeram duo et xl signa nominatim pernumeravimus,rursusque redeuntes ad sphaeram duo et xl signa nominatim pernumerauimus
24938,body,2,2,False,,Exinde uniuscuiusque signi historias causamque ad sidera perlationis ostendimus.,exinde uniuscuiusque signi historias causamque ad sidera perlationis ostendimus,exinde uniuscuiusque signi historias causamque ad sidera perlationis ostendimus
24938,body,2,3,False,,Eodem loco nobis utile visum est persequi eorum corporum deformationes et in his numerum stellarum.,eodem loco nobis utile visum est persequi eorum corporum deformationes et in his numerum stellarum,eodem loco nobis utile uisum est persequi eorum corporum deformationes et in his numerum stellarum
24938,body,2,4,False,,"Nec praetermisimus ostendere ad septem circulorum notationem, quo corpora aut partes corporum pervenirent et quemadmodum ab his dividerentur.",nec praetermisimus ostendere ad septem circulorum notationem quo corpora aut partes corporum pervenirent et quemadmodum ab his dividerentur,nec praetermisimus ostendere ad septem circulorum notationem quo corpora aut partes corporum peruenirent et quemadmodum ab his diuiderentur
24938,body,2,5,False,,"Diximus etiam de aestivi circuli definitione, quaerentes, quare non idem hiemalis vocaretur, et quid eos fefellerit, qui ita senserint; et quid in ea parte sphaerae solis efficiat cursus.",diximus etiam de aestivi circuli definitione quaerentes quare non idem hiemalis vocaretur et quid eos fefellerit qui ita senserint et quid in ea parte sphaerae solis efficiat cursus,diximus etiam de aestiui circuli definitione quaerentes quare non idem hiemalis uocaretur et quid eos fefellerit qui ita senserint et quid in ea parte sphaerae solis efficiat cursus
24938,body,2,6,False,,"Praeterea, quare circulos in octo partes divideremus, ordine exposuimus.",praeterea quare circulos in octo partes divideremus ordine exposuimus,praeterea quare circulos in octo partes diuideremus ordine exposuimus
24938,body,2,7,False,,"Scripsimus etiam, quo loco circulus aequinoctialis foret constitutus, et quid efficeret ad eum perveniens sol.",scripsimus etiam quo loco circulus aequinoctialis foret constitutus et quid efficeret ad eum perveniens sol,scripsimus etiam quo loco circulus aequinoctialis foret constitutus et quid efficeret ad eum perueniens sol
