doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12170,head,0,0,True,,‹Expositio›,expositio,expositio
12170,head,1,0,True,,‹Versus›,versus,uersus
12170,body,2,0,True,p.147,"Questio magistralis a venerando magistro Lamberto de Monte artium et sacre theologie professore eximio vigilantissime congesta, ostendens per autoritates scripture divine quid iuxta saniorem doctorum sententiam probabilius dici possit de salvatione Aristotelis St[r]agerite nati Nicomachi grecorum omnium sapientissimi.",questio magistralis a venerando magistro lamberto de monte artium et sacre theologie professore eximio vigilantissime congesta ostendens per autoritates scripture divine quid iuxta saniorem doctorum sententiam probabilius dici possit de salvatione aristotelis stragerite nati nicomachi grecorum omnium sapientissimi,questio magistralis a uenerando magistro lamberto de monte artium et sacre theologie professore eximio uigilantissime congesta ostendens per autoritates scripture diuine quid iuxta saniorem doctorum sententiam probabilius dici possit de saluatione aristotelis stragerite nati nicomachi grecorum omnium sapientissimi
12170,body,3,0,False,p.147,Livida Vgl.,livida vgl,liuida ugl
12170,body,3,1,True,p.147,"Walther, Initia, Nr. 10372. ne timeas rabidi canis ora, libelle, Ibis in adversos, qui tueatur habes.",walther initia nr ne timeas rabidi canis ora libelle ibis in adversos qui tueatur habes,walther initia nr ne timeas rabidi canis ora libelle ibis in aduersos qui tueatur habes
12170,body,4,0,False,4,"In eximium excellentemque artium et sacre sophie professorem dominum Lambertum de Monte epigramma Te decet eterne, vir sollertissime, fame, Munus et in nullo laus obitura die.",in eximium excellentemque artium et sacre sophie professorem dominum lambertum de monte epigramma te decet eterne vir sollertissime fame munus et in nullo laus obitura die,in eximium excellentemque artium et sacre sophie professorem dominum lambertum de monte epigramma te decet eterne uir sollertissime fame munus et in nullo laus obitura die
12170,body,4,1,False,4,"Te, Lamberte, senes clari iuvenesque loquentur Et Mons a cuius nomine nomen habes, Aurea te celebrat scripture pagina sancte, Te memorant turbe quelibet ora bone, Nunc iterum sensit tua pabula leta iuventus, Pabula delicias inter habenda sacras, Per que Nicomachi latebrosa volumina nati Scire licet, toto credite vela freto.",te lamberte senes clari iuvenesque loquentur et mons a cuius nomine nomen habes aurea te celebrat scripture pagina sancte te memorant turbe quelibet ora bone nunc iterum sensit tua pabula leta iuventus pabula delicias inter habenda sacras per que nicomachi latebrosa volumina nati scire licet toto credite vela freto,te lamberte senes clari iuuenesque loquentur et mons a cuius nomine nomen habes aurea te celebrat scripture pagina sancte te memorant turbe quelibet ora bone nunc iterum sensit tua pabula leta iuuentus pabula delicias inter habenda sacras per que nicomachi latebrosa uolumina nati scire licet toto credite uela freto
12170,body,4,2,False,4,"Credite vela freto, tutum mare reddidit, ante Quod nisi cum scopulis ventus et unda fuit.",credite vela freto tutum mare reddidit ante quod nisi cum scopulis ventus et unda fuit,credite uela freto tutum mare reddidit ante quod nisi cum scopulis uentus et unda fuit
12170,body,4,3,False,4,Commento iuvit anime phisiceque salebras Anspielung auf Lamberts Kommentare zu den Aristoteles-Werken De anima und Physica.,commento iuvit anime phisiceque salebras anspielung auf lamberts kommentare zu den aristoteleswerken de anima und physica,commento iuuit anime phisiceque salebras anspielung auf lamberts kommentare zu den aristoteleswerken de anima und physica
12170,body,4,4,False,4,Non intellecti quo caruere libri.,non intellecti quo caruere libri,non intellecti quo caruere libri
