doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12134,head,0,0,True,,Apologia doctae ignorantiae discipuli ad discipulum.,apologia doctae ignorantiae discipuli ad discipulum,apologia doctae ignorantiae discipuli ad discipulum
12134,body,1,0,False,,"Rettulit mihi aliquando communis praeceptor noster, magister Nicolaus de Cusa, nunc coetui cardinalium adiunctus, quantum valeas in coincidentiis, quas in libellis Doctae ignorantiae ad apostolicum legatum datis ac in aliis plerisque suis opusculis nobis patefecit, quoque studio ardeas, ut omnia colligas, quae passim in his rebus ab eodem emanant; quodque tu neminem peritorum te praeterire sinas, cum quo de hac re non conferas, multosque induxeris, qui hoc studium spreverant, ut inveterata consuetudine, qua Aristotelicae traditioni insudarunt, parum intercepta in has se conferant considerationes ea fide, quasi in ipsis magni aliquid lateat, quousque quodam interno gustu profundius alliciantur et eo pertingant, quod experiantur hanc rem tantum ab aliis viis differre quantum visus ab auditu; sicque de detractoribus plures attraxeris, ut tecum mentis oculo arcana quaeque modo, quo homini gradatim conceditur, speculentur.",rettulit mihi aliquando communis praeceptor noster magister nicolaus de cusa nunc coetui cardinalium adiunctus quantum valeas in coincidentiis quas in libellis doctae ignorantiae ad apostolicum legatum datis ac in aliis plerisque suis opusculis nobis patefecit quoque studio ardeas ut omnia colligas quae passim in his rebus ab eodem emanant quodque tu neminem peritorum te praeterire sinas cum quo de hac re non conferas multosque induxeris qui hoc studium spreverant ut inveterata consuetudine qua aristotelicae traditioni insudarunt parum intercepta in has se conferant considerationes ea fide quasi in ipsis magni aliquid lateat quousque quodam interno gustu profundius alliciantur et eo pertingant quod experiantur hanc rem tantum ab aliis viis differre quantum visus ab auditu sicque de detractoribus plures attraxeris ut tecum mentis oculo arcana quaeque modo quo homini gradatim conceditur speculentur,rettulit mihi aliquando communis praeceptor noster magister nicolaus de cusa nunc coetui cardinalium adiunctus quantum ualeas in coincidentiis quas in libellis doctae ignorantiae ad apostolicum legatum datis ac in aliis plerisque suis opusculis nobis patefecit quoque studio ardeas ut omnia colligas quae passim in his rebus ab eodem emanant quodque tu neminem peritorum te praeterire sinas cum quo de hac re non conferas multosque induxeris qui hoc studium spreuerant ut inueterata consuetudine qua aristotelicae traditioni insudarunt parum intercepta in has se conferant considerationes ea fide quasi in ipsis magni aliquid lateat quousque quodam interno gustu profundius alliciantur et eo pertingant quod experiantur hanc rem tantum ab aliis uiis differre quantum uisus ab auditu sicque de detractoribus plures attraxeris ut tecum mentis oculo arcana quaeque modo quo homini gradatim conceditur speculentur
12134,body,1,1,True,,"Unde, cum tantus sis, recte arbitratus sum ego, condiscipulus eiusdem, ut aliqua tibi nota fiant, quae non plene instructos avertere possent, ac scias talibus insultationibus facilius obviare.",unde cum tantus sis recte arbitratus sum ego condiscipulus eiusdem ut aliqua tibi nota fiant quae non plene instructos avertere possent ac scias talibus insultationibus facilius obviare,unde cum tantus sis recte arbitratus sum ego condiscipulus eiusdem ut aliqua tibi nota fiant quae non plene instructos auertere possent ac scias talibus insultationibus facilius obuiare
12134,body,2,0,False,,"Pervenit ad me hodie libellus quidam cuiusdam non tantum imprudentis; sed et arrogantissimi viri, hominis, qui se magistrum in theologia nominat, vocabulo Iohannis Wenck, cui titulum Ignotae litteraturae inscripsit.",pervenit ad me hodie libellus quidam cuiusdam non tantum imprudentis sed et arrogantissimi viri hominis qui se magistrum in theologia nominat vocabulo iohannis wenck cui titulum ignotae litteraturae inscripsit,peruenit ad me hodie libellus quidam cuiusdam non tantum imprudentis sed et arrogantissimi uiri hominis qui se magistrum in theologia nominat uocabulo iohannis wenck cui titulum ignotae litteraturae inscripsit
12134,body,2,1,True,,"In quo cum legerem graves invectivas et iniurias contra praeceptorem nostrum et eius Doctae ignorantiae libellos, cum animo multa displicentia conturbato praeceptorem adii, causam accessus et invectivarum continentiam declaravi.",in quo cum legerem graves invectivas et iniurias contra praeceptorem nostrum et eius doctae ignorantiae libellos cum animo multa displicentia conturbato praeceptorem adii causam accessus et invectivarum continentiam declaravi,in quo cum legerem graues inuectiuas et iniurias contra praeceptorem nostrum et eius doctae ignorantiae libellos cum animo multa displicentia conturbato praeceptorem adii causam accessus et inuectiuarum continentiam declaraui
12134,body,3,0,True,,"Subrisit parumper praeceptor et me amoroso quodam oculo respectans aiebat: «Non turberis, amice, sed gratias age creatori, qui tantum tibi luminis tribuit, quod hunc hominem sapientia antecedis quasi Socrates sciolos sui temporis. »",subrisit parumper praeceptor et me amoroso quodam oculo respectans aiebat non turberis amice sed gratias age creatori qui tantum tibi luminis tribuit quod hunc hominem sapientia antecedis quasi socrates sciolos sui temporis,subrisit parumper praeceptor et me amoroso quodam oculo respectans aiebat non turberis amice sed gratias age creatori qui tantum tibi luminis tribuit quod hunc hominem sapientia antecedis quasi socrates sciolos sui temporis
12134,body,4,0,True,,"Quaerebam ego, in quo Atheniensis Socrates praecellerat.",quaerebam ego in quo atheniensis socrates praecellerat,quaerebam ego in quo atheniensis socrates praecellerat
12134,body,5,0,False,,"Respondit: «Quia se scivit ignorantem; ceteri autem, qui se aliquid egregii scire gloriabuntur, cum multa ignorarent, non se sciebant ignorantes.",respondit quia se scivit ignorantem ceteri autem qui se aliquid egregii scire gloriabuntur cum multa ignorarent non se sciebant ignorantes,respondit quia se sciuit ignorantem ceteri autem qui se aliquid egregii scire gloriabuntur cum multa ignorarent non se sciebant ignorantes
12134,body,5,1,True,,Ex Delphico oraculo testimonium sapientiae suae ob hoc sortitus est Socrates. »,ex delphico oraculo testimonium sapientiae suae ob hoc sortitus est socrates,ex delphico oraculo testimonium sapientiae suae ob hoc sortitus est socrates
12134,body,6,0,True,,"Et ego: «Dic, quaeso, praeceptor, quae comparatio fuit scientiae Socratis ad ceteros. »",et ego dic quaeso praeceptor quae comparatio fuit scientiae socratis ad ceteros,et ego dic quaeso praeceptor quae comparatio fuit scientiae socratis ad ceteros
12134,body,7,0,False,,Et ille: «Quasi scientia videntis ad scientiam caeci de solari claritate.,et ille quasi scientia videntis ad scientiam caeci de solari claritate,et ille quasi scientia uidentis ad scientiam caeci de solari claritate
12134,body,7,1,False,,"Potest enim caecus aliquis multa audisse de solis claritate atque quod tanta sit, quod comprehendi nequeat, credens se per ea, quae sic audivit, scire aliqua de solis claritate, cuius tamen habet ignorantiam.",potest enim caecus aliquis multa audisse de solis claritate atque quod tanta sit quod comprehendi nequeat credens se per ea quae sic audivit scire aliqua de solis claritate cuius tamen habet ignorantiam,potest enim caecus aliquis multa audisse de solis claritate atque quod tanta sit quod comprehendi nequeat credens se per ea quae sic audiuit scire aliqua de solis claritate cuius tamen habet ignorantiam
