doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
12215,body,0,0,False,,Incipit dialogus reverendissimi in Christo patris domini Nicolai de Cusa cardinalis sancti Petri ad vincula de possest.,incipit dialogus reverendissimi in christo patris domini nicolai de cusa cardinalis sancti petri ad vincula de possest,incipit dialogus reuerendissimi in christo patris domini nicolai de cusa cardinalis sancti petri ad uincula de possest
12215,body,0,1,True,,Interlocutores tres sunt.,interlocutores tres sunt,interlocutores tres sunt
12215,body,1,0,True,,Bernardus:,bernardus,bernardus
12215,body,2,0,False,,"Cum nobis concedatur colloquendi cardinalem dudum optata facultas nec sibi sit onerosum conceptum diu pensatum propalare, velis, peto, mi abba Iohannes, aliqua ex tuis studiis ipsum excitandi gratia proponere.",cum nobis concedatur colloquendi cardinalem dudum optata facultas nec sibi sit onerosum conceptum diu pensatum propalare velis peto mi abba iohannes aliqua ex tuis studiis ipsum excitandi gratia proponere,cum nobis concedatur colloquendi cardinalem dudum optata facultas nec sibi sit onerosum conceptum diu pensatum propalare uelis peto mi abba iohannes aliqua ex tuis studiis ipsum excitandi gratia proponere
12215,body,2,1,True,,Provocatus indubie grata nobis reserabit.,provocatus indubie grata nobis reserabit,prouocatus indubie grata nobis reserabit
12215,body,3,0,True,,Iohannes:,iohannes,iohannes
12215,body,4,0,False,,Audivit iam ante me saepissime.,audivit iam ante me saepissime,audiuit iam ante me saepissime
12215,body,4,1,False,,"Si quid moveris tu, ipse scilicet citius occurret, cum te placido vultu respiciat et diligat.",si quid moveris tu ipse scilicet citius occurret cum te placido vultu respiciat et diligat,si quid moueris tu ipse scilicet citius occurret cum te placido uultu respiciat et diligat
12215,body,4,2,False,,"Nec deero, si sic iudicabis.",nec deero si sic iudicabis,nec deero si sic iudicabis
12215,body,4,3,False,,Accedamus igitur propius ad ignem.,accedamus igitur propius ad ignem,accedamus igitur propius ad ignem
12215,body,4,4,True,,Ecce ipsum in sella tuis desideriis placere paratum.,ecce ipsum in sella tuis desideriis placere paratum,ecce ipsum in sella tuis desideriis placere paratum
12215,body,5,0,True,,Cardinalis:,cardinalis,cardinalis
12215,body,6,0,False,,Accedite.,accedite,accedite
12215,body,6,1,True,,"Frigus solito intensius nos artat et excusat, si igni consederimus.",frigus solito intensius nos artat et excusat si igni consederimus,frigus solito intensius nos artat et excusat si igni consederimus
12215,body,7,0,True,,Bernardus:,bernardus,bernardus
12215,body,8,0,True,,"Cum tempus sic urgeat, proni sumus tuis iussis parere.",cum tempus sic urgeat proni sumus tuis iussis parere,cum tempus sic urgeat proni sumus tuis iussis parere
12215,body,9,0,True,,Cardinalis:,cardinalis,cardinalis
12215,body,10,0,False,,"Aliqua inter vos versatur forte dubitatio, cum sitis solliciti.",aliqua inter vos versatur forte dubitatio cum sitis solliciti,aliqua inter uos uersatur forte dubitatio cum sitis solliciti
12215,body,10,1,True,,Facite me studiorum vestrorum participem.,facite me studiorum vestrorum participem,facite me studiorum uestrorum participem
12215,body,11,0,True,,Iohannes:,iohannes,iohannes
12215,body,12,0,False,,"Dubia utique habemus, quae tu speramus dissolves.",dubia utique habemus quae tu speramus dissolves,dubia utique habemus quae tu speramus dissolues
12215,body,12,1,True,,"Si placet, Bernardus movebit.",si placet bernardus movebit,si placet bernardus mouebit
12215,body,13,0,True,,Cardinalis:,cardinalis,cardinalis
12215,body,14,0,True,,Placet.,placet,placet
12215,body,15,0,True,,Iohannes:,iohannes,iohannes
12215,body,16,0,False,,"Incidi in studium epistulae Pauli apostoli ad Romanos et legi, quomodo deus manifestat hominibus ea, quae eis de ipso nota sunt.",incidi in studium epistulae pauli apostoli ad romanos et legi quomodo deus manifestat hominibus ea quae eis de ipso nota sunt,incidi in studium epistulae pauli apostoli ad romanos et legi quomodo deus manifestat hominibus ea quae eis de ipso nota sunt
12215,body,16,1,False,,"Ait autem hoc fieri hoc modo: «Invisibilia enim ipsius a creatura mundi per ea quae facta sunt intellecta conspiciuntur, sempiterna quoque eius virtus et divinitas.",ait autem hoc fieri hoc modo invisibilia enim ipsius a creatura mundi per ea quae facta sunt intellecta conspiciuntur sempiterna quoque eius virtus et divinitas,ait autem hoc fieri hoc modo inuisibilia enim ipsius a creatura mundi per ea quae facta sunt intellecta conspiciuntur sempiterna quoque eius uirtus et diuinitas
12215,body,16,2,True,,» Istius modi elucidationem a te audire exposcimus.,istius modi elucidationem a te audire exposcimus,istius modi elucidationem a te audire exposcimus
12215,body,17,0,True,,Cardinalis:,cardinalis,cardinalis
12215,body,18,0,False,,Quis melius sensum Pauli quam Paulus exprimeret?,quis melius sensum pauli quam paulus exprimeret,quis melius sensum pauli quam paulus exprimeret
12215,body,18,1,False,,Invisibilia alibi ait aeterna esse.,invisibilia alibi ait aeterna esse,inuisibilia alibi ait aeterna esse
12215,body,18,2,False,,Temporalia imagines sunt aeternorum.,temporalia imagines sunt aeternorum,temporalia imagines sunt aeternorum
12215,body,18,3,False,,"Ideo si ea quae facta sunt intelliguntur, invisibilia dei conspiciuntur, uti sunt sempiternitas, virtus eius et divinitas.",ideo si ea quae facta sunt intelliguntur invisibilia dei conspiciuntur uti sunt sempiternitas virtus eius et divinitas,ideo si ea quae facta sunt intelliguntur inuisibilia dei conspiciuntur uti sunt sempiternitas uirtus eius et diuinitas
12215,body,18,4,True,,Ita a creatura mundi fit dei manifestatio.,ita a creatura mundi fit dei manifestatio,ita a creatura mundi fit dei manifestatio
12215,body,19,0,True,,Bernardus:,bernardus,bernardus
12215,body,20,0,True,,Miramur abbas et ego quod invisibilia conspiciuntur.,miramur abbas et ego quod invisibilia conspiciuntur,miramur abbas et ego quod inuisibilia conspiciuntur
