doc_id,block_type,para_id,sent_id,is_para_final,page_n,textstring_orig,textstring_rich,textstring_simple
21599,head,0,0,True,628,GALENI DE PULSIBUS AD ANTONIUM DISCIPLINAE STUDIOSUM AC PHILOSOPHUM.,galeni de pulsibus ad antonium disciplinae studiosum ac philosophum,galeni de pulsibus ad antonium disciplinae studiosum ac philosophum
21599,body,1,0,False,628,Scopum habemus in praesenti libro de pulsuum opere concisam exponere tractationem; ac dicere primum quid sit pulsus; cur dicatur pulsus; quis pulsus usus; et quid fit arteria.,scopum habemus in praesenti libro de pulsuum opere concisam exponere tractationem ac dicere primum quid sit pulsus cur dicatur pulsus quis pulsus usus et quid fit arteria,scopum habemus in praesenti libro de pulsuum opere concisam exponere tractationem ac dicere primum quid sit pulsus cur dicatur pulsus quis pulsus usus et quid fit arteria
21599,body,1,1,False,628,Atque ad scopum accedamus; et a primo exordiendum.,atque ad scopum accedamus et a primo exordiendum,atque ad scopum accedamus et a primo exordiendum
21599,body,1,2,False,628,"Pulsus est motus cordis et arteriae, qui per diastolen ac systolen perficitur ad innati caloris refrigerationem et fuliginosorum excrementorum excretionem.",pulsus est motus cordis et arteriae qui per diastolen ac systolen perficitur ad innati caloris refrigerationem et fuliginosorum excrementorum excretionem,pulsus est motus cordis et arteriae qui per diastolen ac systolen perficitur ad innati caloris refrigerationem et fuliginosorum excrementorum excretionem
21599,body,1,3,False,628,Dicitur autem pulsus a pulsando ac movendo.,dicitur autem pulsus a pulsando ac movendo,dicitur autem pulsus a pulsando ac mouendo
21599,body,1,4,False,630,"Tria vero ipsum dividunt, facultas efficiens motum, urgens usus, et obsequens instrumentum.",tria vero ipsum dividunt facultas efficiens motum urgens usus et obsequens instrumentum,tria uero ipsum diuidunt facultas efficiens motum urgens usus et obsequens instrumentum
21599,body,1,5,False,630,Sed ad arteriam veniamus.,sed ad arteriam veniamus,sed ad arteriam ueniamus
21599,body,1,6,False,630,"Arteria pars est corporis oblonga, orbicularis, tubi instar bifariam dividentium quae a corde manans in universum corpus distribuitur, aerem et spiritum vitalem continens.",arteria pars est corporis oblonga orbicularis tubi instar bifariam dividentium quae a corde manans in universum corpus distribuitur aerem et spiritum vitalem continens,arteria pars est corporis oblonga orbicularis tubi instar bifariam diuidentium quae a corde manans in uniuersum corpus distribuitur aerem et spiritum uitalem continens
21599,body,1,7,False,630,"Arteria vero a τηρεῖν quod vitalem spiritum confervet, at ipsa e sinistra cordis auricula ex ea quae dicitur aorta exoritur, quae duas in partes diffinditur, quarum una quidem deorsum fertur per partes interiores inferas, ac dextra et sinistra in crura ad extremos usque pedes atque digitos distribuitur; altera vero rursum ipsius portio quae sursum fertur similiter dextra ac sinistra in manus et caput repens cervicales quas dicunt arterias efficit; quae autem in dextras ac sinistras partes intro ducitur in brachia et cubitos adusque carpum ac manum digitorumque extrema.",arteria vero a τηρεῖν quod vitalem spiritum confervet at ipsa e sinistra cordis auricula ex ea quae dicitur aorta exoritur quae duas in partes diffinditur quarum una quidem deorsum fertur per partes interiores inferas ac dextra et sinistra in crura ad extremos usque pedes atque digitos distribuitur altera vero rursum ipsius portio quae sursum fertur similiter dextra ac sinistra in manus et caput repens cervicales quas dicunt arterias efficit quae autem in dextras ac sinistras partes intro ducitur in brachia et cubitos adusque carpum ac manum digitorumque extrema,arteria uero a quod uitalem spiritum conferuet at ipsa e sinistra cordis auricula ex ea quae dicitur aorta exoritur quae duas in partes diffinditur quarum una quidem deorsum fertur per partes interiores inferas ac dextra et sinistra in crura ad extremos usque pedes atque digitos distribuitur altera uero rursum ipsius portio quae sursum fertur similiter dextra ac sinistra in manus et caput repens ceruicales quas dicunt arterias efficit quae autem in dextras ac sinistras partes intro ducitur in brachia et cubitos adusque carpum ac manum digitorumque extrema
21599,body,1,8,False,630,His a nobis explicatis deinceps quoque de scopo aut proposito disseramus.,his a nobis explicatis deinceps quoque de scopo aut proposito disseramus,his a nobis explicatis deinceps quoque de scopo aut proposito disseramus
21599,body,1,9,False,631,"Huic praesenti libro Scopus est dignotiones dicere, ac li fieri possit causas a motu pulsuum, alias fecundum naturam, alias praeter naturam, alias non natura constituemus, ut ex ratione temperamentorum, virorum, mulierum, aetatum et aliorum ejusdem feriei.",huic praesenti libro scopus est dignotiones dicere ac li fieri possit causas a motu pulsuum alias fecundum naturam alias praeter naturam alias non natura constituemus ut ex ratione temperamentorum virorum mulierum aetatum et aliorum ejusdem feriei,huic praesenti libro scopus est dignotiones dicere ac li fieri possit causas a motu pulsuum alias fecundum naturam alias praeter naturam alias non natura constituemus ut ex ratione temperamentorum uirorum mulierum aetatum et aliorum eiusdem feriei
21599,body,1,10,False,631,"Hominum enim alii mares, alii feminae; et horum ipsorum alii fecundum naturam calidiores, alii vero frigidiores; hi quidem graciles natura, illi vero obesi et carnosi.",hominum enim alii mares alii feminae et horum ipsorum alii fecundum naturam calidiores alii vero frigidiores hi quidem graciles natura illi vero obesi et carnosi,hominum enim alii mares alii feminae et horum ipsorum alii fecundum naturam calidiores alii uero frigidiores hi quidem graciles natura illi uero obesi et carnosi
21599,body,1,11,False,631,Ac viri quidem ut plurimum feminis natura calidiores et vehementiores; mulierum vero ut frigidiorum tardiores et imbecilliores.,ac viri quidem ut plurimum feminis natura calidiores et vehementiores mulierum vero ut frigidiorum tardiores et imbecilliores,ac uiri quidem ut plurimum feminis natura calidiores et uehementiores mulierum uero ut frigidiorum tardiores et imbecilliores
21599,body,1,12,False,631,"In utrisque autem his aut alterutris, viris dico et feminis, temperamentum autem pulsus quoque intendit; si quidem in calidius, majores ac vehementiores efficit.",in utrisque autem his aut alterutris viris dico et feminis temperamentum autem pulsus quoque intendit si quidem in calidius majores ac vehementiores efficit,in utrisque autem his aut alterutris uiris dico et feminis temperamentum autem pulsus quoque intendit si quidem in calidius maiores ac uehementiores efficit
21599,body,1,13,False,631,"Calidum certe celeriter movetur; si vero in frigidius, minores ac tardiores; frigidum namque tarde movetur.",calidum certe celeriter movetur si vero in frigidius minores ac tardiores frigidum namque tarde movetur,calidum certe celeriter mouetur si uero in frigidius minores ac tardiores frigidum namque tarde mouetur
21599,body,1,14,False,631,"Quod autem ad habitum is in utrisque reperitur, qualis est gracilis et carnosus.",quod autem ad habitum is in utrisque reperitur qualis est gracilis et carnosus,quod autem ad habitum is in utrisque reperitur qualis est gracilis et carnosus
21599,body,1,15,False,631,In ipsis enim gracilibus altiores ipsi tactui pulsus subjiciuntur; in ipsis autem obesis et carnosis depressiores.,in ipsis enim gracilibus altiores ipsi tactui pulsus subjiciuntur in ipsis autem obesis et carnosis depressiores,in ipsis enim gracilibus altiores ipsi tactui pulsus subiiciuntur in ipsis autem obesis et carnosis depressiores
21599,body,1,16,False,632,"Qum et ea quae sunt ejusdem generis veniunt observanda, ut tempestates, regiones, aetatum singularum constitutiones, et ut verbo dicam in ipsis tempestatibus anni quae quatuor sunt, ver videlicet, aestas, autumnus, hiems; quod harum duae sint temperatae, ver et autumnus; duae vero intemperatae, hiems et aestas ; jure igitur in ipso vere et autumno pulsus magni sunt et vehementes propter temperatam hanc tempestatem.",qum et ea quae sunt ejusdem generis veniunt observanda ut tempestates regiones aetatum singularum constitutiones et ut verbo dicam in ipsis tempestatibus anni quae quatuor sunt ver videlicet aestas autumnus hiems quod harum duae sint temperatae ver et autumnus duae vero intemperatae hiems et aestas jure igitur in ipso vere et autumno pulsus magni sunt et vehementes propter temperatam hanc tempestatem,qum et ea quae sunt eiusdem generis ueniunt obseruanda ut tempestates regiones aetatum singularum constitutiones et ut uerbo dicam in ipsis tempestatibus anni quae quatuor sunt uer uidelicet aestas autumnus hiems quod harum duae sint temperatae uer et autumnus duae uero intemperatae hiems et aestas iure igitur in ipso uere et autumno pulsus magni sunt et uehementes propter temperatam hanc tempestatem
