folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
103,R,1,"a,x,9","cc,c,8,a,Z","x,o,M,9","o,x","cc,8,a,Z","o,N,c,9","4,o,N,c,c,9","o,N,c,8,9","4,o,N,c,8,9","9,cc,c,8,9"
103,R,9,"x,o,M,o,2","c^c,c,9","o,x,cc,?,c,8,a,Z","c^c,c,9","4,o,M,c,c,9","o,N,c,c,9","o,M,c,c,8,9","o,x","o,M,c,c,9","o,N,a,n"
103,R,12,"a,m","cc,c,c,8,a,x","o,c^c,c,9",8,"c^c,c,o","c^c,c,8,9","4,o,M,a,i,x","9,M,c,c,8,9","c^c,c,8,9",9
103,R,14,"o,M,c,c,9","c^c,c,8,9","4,o,M,a,x","xc^c,c,c,9","4,o,N,c,c,9","9,N,c,c,8,9","o,N,c,c,9","c^c,c,8,9","x,o,N,a,n","cc,c,c,N,c,9"
103,R,17,"o,x,o,Z,a,m","x,cc,c,c,8,9",9,"4,o,N,a,x","x,cc,c,9","o,N,c,c,o,x","2,c^c,c,c,9","cc,c,8,a,i","x,a,m","o,x"
103,V,1,"9,N,c,c,8,9","4,o,M,c,c,8,9","o,x","x,N,c,c,2","o,N,c,c,9","4,o,N,c,c,9","9,cc,c,c,9","4,o,N,a,n","4,o,N,c,c,9","o,N,c,c,8,9"
103,V,3,"c^c,c,8","4,o,N,a,x","4,o,N,9","o,x,N,c,c,c^c,9","4,o,N,c,c,8,9","o,x,x,8,9","4,o,M,a,n","c^c,c,a,Z","a,m","x,o,Z"
103,V,5,"o,x,N,c,8,9","o,M,a,n","c^c,c,8,9","4,o,x","o,N,c,c,c^c,9","c^c,c,c,N,cc,9","8,a,m",9,"o,M,a,x","o,M,a,n"
103,V,7,"x,o,x,a,n","4,o,N,c,c,9","c^c,c,8,9","4,o,M,a,x","o,N,a,n","o,M,c,a,x","c^c,a,?,N,c,9","o,N,a,n","o,M,a,Z","cc,a,Z"
103,V,13,"c,c^c,a,x,9","o,Z,o,x","Z,a,Z","cc,c,9","c^c,c,9,N,a,n","9,c^c,c,9","Z,a,Z","x,cc,8,9","?,M,c,9","c^c,c,8,9"
104,R,1,"cc,Z,9","4,o,8,a,m+","4,o,8,a,m","cc,c,8,a,x","4,o,N,c,c,8,9","c^c,c,c,8,9","o,x","8,a,Z,a,Q","o,N,a,x","o,N,9"
104,R,4,"8,a,m","cc,c,o","N,a,m","o,N,a,x","N,c,c,cc,8,9","o,M,o,x","o,N,a,Z","cc,o,8,9","cc,o,8,a,m","2,o,Z"
104,R,8,"a,Z,o,8,x,0","cc,c,o,x,M,a,Z","a,i,Z","o,Z","cc,c,c,8,a,Z","9,M,c,c,8,9","c^c,o,8,9","8,a,m","9,c^c,c,o","o,M,a,Q"
104,R,12,"cc,o,x,N,a,Z","x,c^c,c,8,9",9,"8,a,Z","o,4,o,c,N,c,9","4,o,N,a,n","9,M,c,c,8,9","x,N,a,m","4,o,N,x","4,o,M,9"
104,V,3,"8,a,m","4,o,N,o,x","4,o,N,o,x","4,o,M,o,x","4,o,N,cc,8","cc,c,c,N,9","9,N,cc,c,8,o,Z","4,o,c,M,cc,9","9,cc,c,c,8,9","x,cc,c,9"
105,R,2,"o,N,cc,c,9","o,N,c,c,9","o,N,c,c,9?,8,9","o,c,c,o,x,c,c,9","o,c,2,a,x","x,cc,c,8,9","o,M,c,c,8,9","4,o,N,c,8,9","4,o,N,c,c,8,9","cc,c,9"
105,R,4,"o,Z,a,x","o,M,c,c,8,9","o,n,Z","o,8,a,x","a,m","o,M,c,c,c,o,2","9,M,c,o,8,9","a,Z,a,x","8,a,m","c^c,o,8"
105,R,6,"a,i,Z,o,x,2","x,2","8,a,m","8,c,c,M,c,8,9","cc,c,8,9","cc,c,o,8,N,c,8,9","8,c,c,c,8,9","8,a,Q","8,a,m","8,a,x"
