folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
103,R,7,"o,x,o,Z","c^c,c,8,9","4,o,N,a,n","c^c,c,9","4,o,N,a,m","c^c,c,N,c,9","9,cc,a,n","x,Z","x,N,x,8,9","o,N,a,Z,a,x"
103,R,8,"c^c,o,x","cc,c,N,c,9","x,cc,c,8,9","c^c,c,c,N,c,9","8,a,m","o,P2,cc,9","o,M,a,Z","a,Z","cc,c,P2","cc,c,M,c,9"
103,R,10,"cc,c,8,9","cc,a,x","4,o,N,c,c,9","4,o,cc,c,9","c^c,o,N,c,c,9","4,o,N,c,c,c,cc,9","N,c,c,8,9",x,"cc,c,c,9","o,x"
103,R,13,"4,o,N,c,c,9","o,M,c,9","c^c,8,9","4,o,N,c,c,9","4,o,N,c,c,8,9","o,N,c,c,8,9","cc,c,8,9","o,N,?,o,x","x,cc,c,Q","9,N,c,c,8,9"
103,V,2,"o,N,c,c,9","cc,c,N,a,a,x","8,a,i,Z","o,x,c^c,c,c,9","c^c,c,9","2,a,n","4,o,N,a,Q","cc,c,8,9","4,o,N,a,m","c^c,c,8,9"
103,V,4,"o,x,c^c,c,9","o,N,a,i","a,n","x,Z","o,N,c,c,9","4,o,M,c^c,8,9","o,x,c^c,c,8,9","o,M,c,9","o,x,c^c,9","c^c,c,c,9"
103,V,6,"o,Z","x,a,n","cc,c,o",x,"cc,c,c,c,9","cc,a,x,N,a,Z","x,N,c,c,9","cc,c,9","8,a,m","o,x"
104,R,2,"8,a,Q","cc,c,c,o","4,o,N,o,x","4,o,N,c,cc,o","9,cc,c,c,o,9","?,8,Z","o,M,a,Z","o,N,a,Z","4,o,N,a,x","o,8,a,Z"
104,R,5,"N,c^c,c,8,9","o,M,a,x","cc,o,c,N,c,a,Z","o,Z","4,o,x,a,Z","4,o,N,a,n","8,cc,c,c,o,N,c,o,8,9","o,8,9","o,N,a,Z","cc,9,M,c,o,8,9"
104,R,11,"4,o,M,cc,8,9","N,cc,c,o,8,9","4,o,N,cc,o,x","a,Z,cc,c,o,x","o,N,a,m","4,o,M,?,Z","o,N,a,x","4,o,N,a,m","o,M,c,o,8,9","o,N,a,Z"
104,V,4,"8,a,n,8,x","cc,c,N,9","a,m",2,"x,c^c,c,8,9","x,cc,c,o","4,o,N,c,c,o","9,M,cc,c,8,9","cc,a,M,a,m","a,m"
105,R,3,"o,M","cc,c,c,8,9","4,o,M,c,o,8,9","c^c,c,8,9","4,o,N,c,8","8,a,x","cc,c,8,9","cc,c,8,9","4,o,N,8,9","8,9,M,c,c,9"
105,R,7,"c,P2,c,c,8,9","cc,c,c,2,9","x,a,x",Z,"a,x","cc,o","8,a,i,Z","4,o,M?,c,8,9","4^o,8,c,c,8,9","cc,8,c,8,9"
105,R,9,"a,x,N,a,Q","a,Z","a,x","o,c,c,2","a,x","9,N,x","o,8,a,m","N,a,Z","cc,c,N,c,9","a,i,x"
105,V,2,"x,cc,c,8,Z","o,N,a,i,Z,o,8,9","o,x,N,a,m","o,x","o,M,a,i,Z","x,N,a,m","9,cc,c,c,o",Q,"9,M,a,m","o,M,c,o,8,9"
106,R,4,"o,x,N,a,m","8,m+","x,N,x,o,Z","8,x","x,N,x","Z,a,m",x,"cc,c,9","a,m","o,x,Z"
106,R,6,"cc,o,8,a,Z","a,m","o,Z","4,o,N,c,8,a,n","4,o,c,N,c,c,9","x,c^c,c,8,9","9,o,cc,o,Z","cc,8,a,Q","o,M,a,Z","o,N,o,x"
106,R,10,"o,Z,a,m","cc,c,o,x","Z,a,x","a,m,N,9","cc,N,a,Z","9,c^c,a,Z","a,Q","N,a,i,Z","a,x","c^c,c,o"
106,R,14,"c^c,o,Z,9","cc,c,o,x","cc,c,8,9","cc,o,x","c^c,c,8,9","a,x,c^c,c,o,8","8,a,i,Z","cc,8,a,x,8,9","o,N,a,m","cc,c,9"
106,V,1,"a,Q","cc,a,Z","cc,8,a,Q","cc,8,a,x","o,N,a,n","cc,c,M,c,9","a,m","x,c^c,c,o","9,cc,co,M,o","x,o,8,9"
106,V,10,"o,N,c^c,c,9","a,i?","o,a,n,Z","cc,c,o,8,9","a,i,x,8,9","a,Z","o,N,a,m","c^c,c,c,c,9","M,cc,8,9","o,N,o,x"
106,V,11,"cc,o,x,N,a,m","4,o,N,a,m","c^c,c,c,8,9","2,o,x","a,x","o,N,a,m","4,o,c,N,c,c,9","cc,c,8,9","N,cc,c,8,9","c^c,8,9"
107,R,2,"o,M,cc,c,c,9","o,N,c,c,8,9","cc,c,N,c,9","o,N,a,m","cc,c,o,M,cc,c,9","9,M,a,m","a,Q","o,M,a,m","o,N,c,c,c,9","cc,c,8,a,m"
107,R,4,"a,i,Z,a,x","Z,a,m","o,N,c,c,c,9","c^c,c,N,9","a,m","o,M,a,Z","c^c,a,x","4,o,c,N,c,a,x","cc,c,9","o,m"
107,R,8,"8,9","cc,c,o","o,N,a,x","o,M,a,i,Z","N,a,m","o,x,cc,c,o,x","cc,c,c,9","c^c,c,9","o,x,cc,c,o,Z","o,Q"
107,R,10,"o,N,a,x","x,N,a,Z","cc,c,c,x",x,"cc,N,9","N,a,m+","4,o,x","cc,c,9","N,a,m","cc,c,o"
107,R,12,"o,M,a,Q","o,M,a,x","4,o,N,a,x","o,c,N,c,c,9","a,Z","4,o,N,a,n","o,N,a,x","o,N,a,x","o,M,a,i,Z","o,x,N,a,Z"
107,V,2,"4,o,N,a,n","cc,a,n","c,N,c,9","cc,c,o","M,a,m","8,9","4,o,N,a,x","a,m","o,N,a,m","x,N,a,x"
107,V,6,"cc,8,a,Z","cc,o,x","o,x,N,a,x","o,x,a,m","a,x,o,x","8,a,Z","a,x","o,M,a,x","o,M,a,Z","o,N,a,x"
107,V,8,"Z,a,Z,a,m","cc,c,c,8,9",x,"cc,c,o,x","9,cc,c,o,Z","4,o,N,a,Q","cc,c,c,9","4,o,N,a,Z","c^c,o","M,a,Z,a,m"
107,V,12,"a,n,x,9","o,m","x,o,Z","4,o,N,a,m","4,o,N,c,9","cc,o,N,c,c,9",9,"o,N,a,m","o,8,a,m","o,N,o,m"
108,R,1,"c^c,c,c,N,9","o,Z","cc,c,8","o,M,c,c,o,8,9","cc,8,9","c^c,N,9","9,cc,c,8,a,m","a,x","cc,o,N,c,8","cc,c,N,c,c,8,9"
108,R,2,"cc,2,9","cc,N,a,m","cc,a,Z","o,N,a,Z","cc,8,9","o,N,a,Z","4,o,N,c,8,9","cc,c,8,9","4,o,N,cc,c,8,9","o,N,c,8,9"
108,R,4,"8,a,m",o,"a,i,x","a,Z","Z,a,m","9,N,c,c,9","a,x,o,Q","N,a,n","o,N,a,x","o,N,a,m"
