line,t1,t2,t3,n
104v.13.1,"M,cc,c,8,9","4,o,M,c,cc,9","o,M,cc,c,c,o,x,N,c,c,8,a",5
108r.12.1,"M,cc,c,8,9","4,o,N,c,9","o,N,c,c,9",5
112r.2.1,"M,cc,c,8,9","4,o,M,c,c,9","4,c,o,x",5
114v.4.1,"M,cc,c,8,9","4,o,M,a,m","cc,8,9",5
115r.5.1,"M,cc,c,8,9","4,o,o,x,N,c,c,8,9","4,o,N,c,cc,8,9",5
108v.2.1,"P2,o,x,a,m","o,N,c,8,a,n","o,N,a,x",5
113v.4.1,"P2,o,x,a,m","o,M,c,o,x","o,M,c,8,9,a,Z",5
113v.7.1,"P2,o,x,a,m","o,M,a,Z","4,o,M,a,n",5
113v.14.1,"P2,o,x,a,m","a,Z,o,x","c^c,c,a,Z",5
113v.15.1,"P2,o,x,a,m","N,c^c,c,c,o,x","x,N,a,m",5
103r.12.1,"4,o,N,c,c,9","cc,c,cc,9","4,o,N,c,9",3
103r.15.1,"4,o,N,c,c,9","c^c,c,c,o,x","c^c,c,N,c,9",3
111r.7.1,"4,o,N,c,c,9","4,o,N,c,c,9","x,a,c,8,9",3
107v.4.1,"M,c^c,c,8,9","o,N,a,x","c^c,c,8,9",3
113r.13.1,"M,c^c,c,8,9","4,o,N,a,m","c^c,c,8,a,Z",3
115v.7.1,"M,c^c,c,8,9","c^c,c,o,x,N,c,c,8,9","x,N,c,c,c^c,8,9",3
104r.11.1,"P2,c^c,c,o,8,9","4,o,M,a,Z","cc,o,P2,a,Z",3
106v.10.1,"P2,c^c,c,o,8,9","o,x,N,c,c,8,9","4,o,N,o,Z",3
115r.7.1,"P2,c^c,c,o,8,9","cc,c^c,o","M,cc,8,9",3
103r.19.1,"P2,cc,c,8,a,x","o,M,c,c,9","4,o,x,N,c,c,8,9",3
105v.2.1,"P2,cc,c,8,a,x","4,o,P2,cc,8,9","8,a,m",3
108v.1.1,"P2,cc,c,8,a,x","4,o,N,c,c,8,a,Z","o,M,c,8,9",3
112v.4.1,"P2,cc,o,8,a,n","o,N,c,c,8,9","4,o,N,c,c,8,9",3
112v.7.1,"P2,cc,o,8,a,n","a,m","M,c,c,c,8,9",3
115v.6.1,"P2,cc,o,8,a,n","cc,o,M,a,n","cc,o,N,9",3
103r.7.1,"P2,o,x,cc,c,8,9","4,o,N,c,o,x","o,N,a,n",3
107v.11.1,"P2,o,x,cc,c,8,9","o,x,N,c,c,9","x,N,c,9",3
108r.9.1,"P2,o,x,cc,c,8,9","o,N,c,8,9","4,o,P2,cc,c,8,9",3
108v.10.1,"2,a,n","a,n","cc,c,8",2
108v.12.1,"2,a,n","cc,c,9","x,N,c,8,a,n",2
103r.17.1,"4,o,N,c,c,8,9","4,o,N,c,c,8,9","c^c,o,x",2
103v.6.1,"4,o,N,c,c,8,9","cc,c,8,9","4,o,M,c,c,9",2
108v.11.1,"8,a,m","c^c,c,cc,9","4,o,N,c,8,9",2
111r.3.1,"8,a,m",o,"cc,c,8,a,n",2
