folio,par,line,para_idx,para_len,line_idx,rel_pos,is_para_first,is_para_last,is_line_first,is_line_last,before,after
1r,3,6,51,78,6,0.662,False,False,False,False,"8,9,8,9,8","8,a,i,c,M,c,9"
1r,4,5,42,53,3,0.808,False,False,False,False,"N,cc,?^,c,c,9","o,N,cc,c,9"
1v,1,3,21,30,6,0.724,False,False,False,False,"8,N,c^c,c,c,9","N,o,M,cc,o,8,9"
1v,2,2,19,49,10,0.396,False,False,False,True,"cc,9","4,о̄"
2r,1,2,10,38,4,0.27,False,False,False,False,"c^c,o,Z","c,M,o"
2r,1,5,32,38,8,0.865,False,False,False,True,"8,cc,9","c^c,o,Z"
3r,1,3,14,49,4,0.292,False,False,False,True,"8,a,m","2,cc,c,9"
3r,4,2,15,25,8,0.625,False,False,False,True,"cc,o,Z","9,cc,c,o,Z"
3v,2,3,14,43,4,0.333,False,False,False,True,"cc,o,Z","o,cc,o,2"
4r,1,4,30,31,5,1.0,False,True,False,True,"o,N,a,m",<END>
4r,2,4,13,31,3,0.433,False,False,False,False,"c^c,o,x","c,P2,c,o,x,8,9"
4v,1,2,9,37,3,0.25,False,False,False,False,"cc,9","cc,N,cc,o,Z"
5r,1,3,23,55,6,0.426,False,False,False,False,"cc,o","o,M,cc,9"
5r,1,6,46,55,6,0.852,False,False,False,False,"4,o,c,o,Z","c^c,o,M,c^c,9"
6r,1,2,14,84,5,0.169,False,False,False,False,"N,a,Z","c,M,c,o,Z"
6r,1,12,76,84,4,0.916,False,False,False,True,"cc,o,Z","4,o,c,M,c,o,x"
6r,1,13,79,84,2,0.952,False,False,False,True,"9,o,8,a,m","9,c^c,o"
6v,2,7,25,58,1,0.439,False,False,False,False,"9,o,8,a,m",2
6v,2,9,39,58,3,0.684,False,False,False,True,"c,M,c,a,Z","9,cc,a,m"
7v,1,2,8,39,1,0.211,False,False,False,False,"cc,o,cc,9","8,a,m"
7v,1,2,14,39,7,0.368,False,False,False,False,"c,M,c,o,x","c,M,c,8"
8r,2,2,12,28,5,0.444,False,False,False,False,"cc,c,o","o,N,c^c,c,o"
8r,3,1,1,60,1,0.017,False,False,False,False,"c,M,c,o","c^c,o,x"
8r,3,3,25,60,6,0.424,False,False,False,False,"c,M,c,a,i,cc,a,Z","8,a,Z"
9r,1,3,18,35,4,0.529,False,False,False,False,"o,M,a,m","o,N,o,Z"
9r,1,5,31,35,3,0.912,False,False,False,False,"2,o,Z","cc,o,N,a,m"
9r,2,3,26,37,9,0.722,False,False,False,True,"c^c,o","o,cc,o"
9r,2,4,28,37,1,0.778,False,False,False,False,"o,cc,o","cc,o,c,M,o,9"
9v,1,3,25,37,4,0.694,False,False,False,False,"8,a,m","o,M,a,m"
10r,1,5,40,41,3,1.0,False,True,False,True,"cc,o,x",<END>
10r,2,1,1,50,1,0.02,False,False,False,False,"9,cc,c,o,Z","cc,o,Z"
10r,2,6,43,50,4,0.878,False,False,False,False,"4,o,M,o,Z",8
10v,1,2,16,25,7,0.667,False,False,False,False,"cc,o,8,a,m","8,a,m"
11r,1,3,18,31,2,0.6,False,False,False,False,"cc,o,x","8,a,Z"
11r,2,1,6,24,6,0.261,False,False,False,False,"8,a,m","8,9"
11r,2,2,17,24,7,0.739,False,False,False,False,"cc,o,8,9",2
11r,2,3,22,24,2,0.957,False,False,False,False,"o,N,cc,o,x","8,9"
14v,1,2,12,75,4,0.162,False,False,False,False,"cc,9","o,M,cc,9"
14v,1,6,46,75,2,0.622,False,False,False,False,"cc,o,N,9","cc,o,N,cc,9"
15r,1,3,17,84,4,0.205,False,False,False,True,"cc,o,x","2,cc,c,a,m"
15r,1,5,26,84,2,0.313,False,False,False,False,"Z,c^c,o,Z","8,a,m"
15r,1,5,28,84,4,0.337,False,False,False,False,"8,a,m","8,9"
15r,1,7,37,84,2,0.446,False,False,False,False,"c^c,N,a,m","c^c,o"
15r,1,7,40,84,5,0.482,False,False,False,True,"N,c,o","c^c,o,c,M,c,9"
15r,1,12,66,84,3,0.795,False,False,False,False,"c^c,c,c,9","8,a,n"
15v,1,2,9,68,4,0.134,False,False,False,False,"Z,a,m","M,a,n"
15v,1,5,26,68,4,0.388,False,False,False,False,"9,M,cc,o,Z",2
15v,1,10,57,68,3,0.851,False,False,False,False,"c,M,c,o,m","4,o,N,a,m"
15v,1,11,63,68,4,0.94,False,False,False,True,"8,a,m","8,a,m"
16r,3,2,10,21,4,0.5,False,False,False,False,"o,N,cc,9","cc,9,N,cc,9"
16v,2,4,28,38,7,0.757,False,False,False,True,"c,M,c,o,Z","o,N,9,M,a,m"
17r,2,2,10,22,1,0.476,False,False,False,False,"9,cc,c,N,c,c,9","cc,o,Z"
17v,1,15,84,138,1,0.613,False,False,False,False,"9,cc,o,Z","cc,c^c,N,9"
17v,1,22,133,138,6,0.971,False,False,False,True,"c,M,c,c,c,9","cc,N,c,c,9"
