type,idx,folio,pos,token,tok_freq,partner,partner_freq
B,1.r.1,1,4,"c^c,o,x",163,"cc,o,x",349
B,1.r.1,1,8,"c^c,o,x,8,9",8,"cc,o,x,8,9",10
B,1.r.1,1,13,"cc,M,a,m",3,"c^c,M,a,m",1
B,1.r.1,1,14,"c^c,a,Z",33,"cc,a,Z",72
A,1.r.1,1,20,"c^c,c,N,9",35,"cc,N,9",16
B,1.r.1,1,20,"c^c,c,N,9",35,"cc,c,N,9",57
B,1.r.1,1,23,"c^c,o,8",11,"cc,o,8",7
A,1.r.1,1,39,"cc,c,a,Z",51,"c^c,c,c,a,Z",2
B,1.r.1,1,39,"cc,c,a,Z",51,"c^c,c,a,Z",23
B,1.r.2,1,3,"c^c,o,x",163,"cc,o,x",349
B,1.r.2,1,6,"c^c,?,?",1,"cc,?,?",2
A,1.r.2,1,9,"9,c^c,c,9",11,"9,cc,9",5
B,1.r.2,1,9,"9,c^c,c,9",11,"9,cc,c,9",15
B,1.r.2,1,10,"c^c,o,8,9",51,"cc,o,8,9",83
B,1.r.2,1,12,"o,M,cc,o,x",22,"o,M,c^c,o,x",2
A,1.r.2,1,13,"cc,o,c,M,c,9",18,"c^c,c,o,c,M,c,9",2
B,1.r.2,1,13,"cc,o,c,M,c,9",18,"c^c,o,c,M,c,9",9
A,1.r.2,1,15,"cc,9",131,"c^c,c,9",257
B,1.r.2,1,15,"cc,9",131,"c^c,9",82
A,1.r.2,1,17,"cc,o,Z",212,"c^c,c,o,Z",41
B,1.r.2,1,17,"cc,o,Z",212,"c^c,o,Z",87
B,1.r.2,1,20,"c^c,o,2",9,"cc,o,2",33
B,1.r.2,1,22,"c^c,o,8,9",51,"cc,o,8,9",83
B,1.r.3,1,5,"c^c,o,c^c,9",2,"cc,o,c^c,9",3
B,1.r.3,1,8,"o,N,c^c,o",5,"o,N,cc,o",7
B,1.r.3,1,9,"N,c^c,o,9",1,"N,cc,o,9",2
B,1.r.3,1,13,"c^c,o,8,a,n",3,"cc,o,8,a,n",7
B,1.r.3,1,16,"c^c,o,9",2,"cc,o,9",9
A,1.r.3,1,27,"c^c,c,N,c,c,9",16,"cc,N,c,c,9",13
B,1.r.3,1,27,"c^c,c,N,c,c,9",16,"cc,c,N,c,c,9",34
A,1.r.3,1,29,"cc,o,Z",212,"c^c,c,o,Z",41
B,1.r.3,1,29,"cc,o,Z",212,"c^c,o,Z",87
A,1.r.3,1,30,"c^c,c,9",257,"cc,9",131
B,1.r.3,1,30,"c^c,c,9",257,"cc,c,9",322
A,1.r.3,1,32,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.3,1,32,"cc,o,x",349,"c^c,o,x",163
A,1.r.3,1,33,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.3,1,33,"cc,o,x",349,"c^c,o,x",163
B,1.r.3,1,35,"cc,?,?",2,"c^c,?,?",1
B,1.r.3,1,36,"c^c,o",115,"cc,o",70
A,1.r.3,1,37,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.3,1,37,"cc,o,x",349,"c^c,o,x",163
B,1.r.3,1,39,"N,c^c,9",5,"N,cc,9",25
A,1.r.3,1,42,"cc,o,8,a,m",45,"c^c,c,o,8,a,m",3
B,1.r.3,1,42,"cc,o,8,a,m",45,"c^c,o,8,a,m",22
B,1.r.3,1,43,"c^c,o",115,"cc,o",70
A,1.r.3,1,45,"9,cc,o",4,"9,c^c,c,o",2
B,1.r.3,1,45,"9,cc,o",4,"9,c^c,o",5
A,1.r.3,1,46,"M,cc,c,9",19,"M,c^c,c,c,9",1
B,1.r.3,1,46,"M,cc,c,9",19,"M,c^c,c,9",7
A,1.r.3,1,47,"cc,c,N,a,n",8,"c^c,c,c,N,a,n",1
B,1.r.3,1,47,"cc,c,N,a,n",8,"c^c,c,N,a,n",4
A,1.r.3,1,48,"c^c,c,o",40,"cc,o",70
B,1.r.3,1,48,"c^c,c,o",40,"cc,c,o",67
B,1.r.3,1,49,"P2,c^c,o,x",5,"P2,cc,o,x",8
B,1.r.3,1,54,"c^c,o,x",163,"cc,o,x",349
A,1.r.3,1,55,"c^c,c",23,cc,2
B,1.r.3,1,55,"c^c,c",23,"cc,c",1
B,1.r.3,1,61,"8,cc,a,Z",2,"8,c^c,a,Z",1
B,1.r.3,1,62,"c^c,c,M,c,a,m",1,"cc,c,M,c,a,m",1
A,1.r.3,1,64,"cc,c,9",322,"c^c,c,c,9",137
B,1.r.3,1,64,"cc,c,9",322,"c^c,c,9",257
B,1.r.3,1,71,"c^c,o,N",4,"cc,o,N",3
A,1.r.3,1,72,"cc,o,Z",212,"c^c,c,o,Z",41
B,1.r.3,1,72,"cc,o,Z",212,"c^c,o,Z",87
A,1.r.3,1,73,"cc,c,9",322,"c^c,c,c,9",137
B,1.r.3,1,73,"cc,c,9",322,"c^c,c,9",257
B,1.r.4,1,1,"c^c,a,m",20,"cc,a,m",45
B,1.r.4,1,2,"c^c,o,N,cc,c,c,9",1,"cc,o,N,cc,c,c,9",1
A,1.r.4,1,3,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.4,1,3,"cc,o,x",349,"c^c,o,x",163
A,1.r.4,1,5,"c^c,c,9",257,"cc,9",131
B,1.r.4,1,5,"c^c,c,9",257,"cc,c,9",322
A,1.r.4,1,11,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.4,1,11,"cc,o,x",349,"c^c,o,x",163
A,1.r.4,1,15,"c^c,c,a,Z",23,"cc,a,Z",72
B,1.r.4,1,15,"c^c,c,a,Z",23,"cc,c,a,Z",51
A,1.r.4,1,18,"c^c,c,9",257,"cc,9",131
B,1.r.4,1,18,"c^c,c,9",257,"cc,c,9",322
A,1.r.4,1,20,"cc,o",70,"c^c,c,o",40
B,1.r.4,1,20,"cc,o",70,"c^c,o",115
B,1.r.4,1,23,"c^c,o,a,m",3,"cc,o,a,m",6
B,1.r.4,1,30,"9,cc,c,c,9",24,"9,c^c,c,c,9",8
A,1.r.4,1,34,"o,N,cc,c,9",28,"o,N,c^c,c,c,9",2
B,1.r.4,1,34,"o,N,cc,c,9",28,"o,N,c^c,c,9",10
A,1.r.4,1,39,"8,cc,c,o",7,"8,c^c,c,c,o",1
B,1.r.4,1,39,"8,cc,c,o",7,"8,c^c,c,o",3
B,1.r.4,1,40,"c^c,o,8,9",51,"cc,o,8,9",83
A,1.r.4,1,43,"o,N,cc,c,9",28,"o,N,c^c,c,c,9",2
