token,cluster,plaintext,freq,pt_len
101,9,puis,3,4.0
102,0,si,8,2.0
103,5,va,2,2.0
105,0,ce,29,2.0
107,0,fai,15,3.0
109,0,ma,7,2.0
11',0,un,12,2.0
112,0,so,10,2.0
113,8,ve,21,2.0
115,0,ci,6,2.0
119,0,me,15,2.0
12',8,deux,2,4.0
120,8,on,2,2.0
121,0,particulier,3,11.0
122,0,su,6,2.0
123,0,vi,6,2.0
124,2,avec,8,4.0
125,0,co,22,2.0
127,5,facil,1,5.0
129,0,mi,16,2.0
13',8,?,1,
130,5,oit,12,3.0
132,6,sans,3,4.0
133,0,vo,7,2.0
134,7,autre,1,5.0
136,0,?,1,
138,9,Hongrois,1,8.0
139,0,mo,11,2.0
14',1,quatre,1,6.0
146,0,demande,1,7.0
148,8,honneur,1,7.0
150,0,ou,2,2.0
154,0,an,2,2.0
159,3,Majeste,5,7.0
16',1,six,2,3.0
160,0,oblig,1,5.0
164,0,aussi,1,5.0
17',1,septem,1,6.0
170,0,ordinaire,1,9.0
174,0,Austriche,1,9.0
175,2,cette,3,5.0
177,7,France,8,6.0
178,0,heur,1,4.0
181,3,Pologne,10,7.0
184,8,au,12,2.0
186,0,?,3,
189,5,ment,12,4.0
19',1,neuf,1,4.0
190,0,ordre,1,5.0
191,0,qua,1,3.0
198,3,ja,10,2.0
20,0,a,66,1.0
20',9,dix,1,3.0
201,4,que,20,3.0
202,0,secret,1,6.0
203,0,voir,1,4.0
206,6,entre,2,5.0
208,0,je,10,2.0
211,0,qui,6,3.0
213,9,vous,11,4.0
215,0,contraire,1,9.0
216,0,eux,5,3.0
22,1,b,6,1.0
222,0,service,1,7.0
223,0,vostre,7,6.0
229,0,ministre,1,8.0
231,0,quu,1,3.0
232,4,seul,2,4.0
234,6,argent,1,6.0
236,0,en,19,2.0
237,0,for,3,3.0
238,3,ju,2,2.0
239,9,mais,3,4.0
24,7,c,24,1.0
246,5,est,21,3.0
249,4,moyen,1,5.0
256,7,Espagnol,1,8.0
258,0,jamais,2,6.0
26,2,d,17,1.0
261,2,quelle,1,6.0
266,3,election,1,8.0
269,2,Mr,10,2.0
271,7,quelque,1,7.0
274,3,Alleman,1,7.0
278,5,il,23,2.0
28,0,e,45,1.0
280,8,pa,11,2.0
281,9,quil,9,4.0
285,2,cour,4,4.0
287,0,ga,3,2.0
288,3,jour,3,4.0
289,0,Madame,1,6.0
290,6,pe,7,2.0
293,0,xa,1,2.0
296,7,engage,4,6.0
297,3,ge,6,2.0
298,0,interest,3,8.0
299,7,maison,3,6.0
30,0,f,6,1.0
30',1,vingt,1,5.0
300,3,pi,1,2.0
301,5,quoique,1,7.0
307,0,gi,3,2.0
310,0,po,8,2.0
311,2,ra,24,2.0
32,0,g,11,1.0
320,3,pu,2,2.0
321,0,re,57,2.0
322,7,ta,3,2.0
324,8,ba,2,2.0
325,4,comme,10,5.0
328,0,intention,1,9.0
331,8,ri,15,2.0
332,6,te,20,2.0
334,8,be,2,2.0
335,2,Cardinal,21,8.0
339,5,na,6,2.0
341,0,ro,8,2.0
342,0,ti,20,2.0
344,0,bi,1,2.0
346,0,encore,1,6.0
347,0,gener,1,5.0
348,7,la,40,2.0
349,0,ne,33,2.0
35',1,?,1,
351,0,ru,2,2.0
352,0,to,1,2.0
354,0,bo,2,2.0
355,0,da,1,2.0
356,2,Empereur,1,8.0
357,5,gouvern,1,7.0
358,4,le,54,2.0
359,0,ni,10,2.0
36,0,i,32,1.0
36',1,?,2,
361,3,Roy,4,3.0
362,5,tu,2,2.0
363,2,zi,6,2.0
364,3,bu,1,2.0
365,0,de,72,2.0
368,8,li,2,2.0
369,4,no,2,2.0
370,6,par,10,3.0
374,8,beaucoup,1,8.0
375,0,di,6,2.0
377,3,grand,4,5.0
378,0,lo,9,2.0
379,6,nu,2,2.0
38',8,?,1,
380,4,pall,1,4.0
382,2,tant,1,4.0
385,0,do,5,2.0
388,0,lu,2,2.0
390,0,point,1,5.0
392,7,tion,11,4.0
394,0,Bethune,2,7.0
395,3,du,7,2.0
398,3,lettre,3,6.0
399,3,Nonce,1,5.0
40,6,l,17,1.0
404,4,bon,1,3.0
405,1,dans,9,4.0
41,0,r,20,1.0
410,0,Pape,5,4.0
414,0,bien,5,4.0
42,0,m,10,1.0
420,0,pour,14,4.0
423,2,ki,7,2.0
426,7,fa,3,2.0
43,8,s,34,1.0
436,0,fe,4,2.0
437,0,ha,1,2.0
438,6,luy,2,3.0
44,0,n,68,1.0
442,3,tout,6,4.0
446,0,fi,8,2.0
447,8,he,10,2.0
449,0,nous,2,4.0
451,0,Reine,1,5.0
455,6,donne,2,5.0
456,0,fo,1,2.0
458,3,leur,5,4.0
46,2,o,14,1.0
461,4,sa,6,2.0
462,0,temps,3,5.0
468,8,long,1,4.0
470,8,pendant,1,7.0
471,0,se,33,2.0
48,9,p,17,1.0
52,0,r,41,1.0
54,8,s,39,1.0
56,0,t,50,1.0
58,0,u,33,1.0
60,8,x,7,1.0
62,0,y,15,1.0
64,2,z,2,1.0
66,0,&,38,1.0
68,0,st,7,2.0
70,3,nt,12,2.0
72,9,ns,1,2.0
74,5,er,7,2.0
95,8,ca,13,2.0
ψ,0,s,37,1.0
