token,cluster,plaintext,freq,pt_len
101,4,puis,3,4.0
102,4,si,8,2.0
103,6,va,2,2.0
105,5,ce,29,2.0
107,5,fai,15,3.0
109,4,ma,7,2.0
11',5,un,12,2.0
112,5,so,10,2.0
113,5,ve,21,2.0
115,1,ci,6,2.0
119,5,me,15,2.0
12',6,deux,2,4.0
120,5,on,2,2.0
121,4,particulier,3,11.0
122,5,su,6,2.0
123,1,vi,6,2.0
124,2,avec,8,4.0
125,5,co,22,2.0
127,6,facil,1,5.0
129,5,mi,16,2.0
13',2,?,1,
130,2,oit,12,3.0
132,5,sans,3,4.0
133,0,vo,7,2.0
134,8,autre,1,5.0
136,1,?,1,
138,4,Hongrois,1,8.0
139,5,mo,11,2.0
14',3,quatre,1,6.0
146,9,demande,1,7.0
148,4,honneur,1,7.0
150,8,ou,2,2.0
154,5,an,2,2.0
159,9,Majeste,5,7.0
16',3,six,2,3.0
160,6,oblig,1,5.0
164,8,aussi,1,5.0
17',3,septem,1,6.0
170,2,ordinaire,1,9.0
174,4,Austriche,1,9.0
175,2,cette,3,5.0
177,9,France,8,6.0
178,1,heur,1,4.0
181,5,Pologne,10,7.0
184,2,au,12,2.0
186,7,?,3,
189,6,ment,12,4.0
19',3,neuf,1,4.0
190,6,ordre,1,5.0
191,8,qua,1,3.0
198,5,ja,10,2.0
20,5,a,66,1.0
20',4,dix,1,3.0
201,5,que,20,3.0
202,8,secret,1,6.0
203,0,voir,1,4.0
206,5,entre,2,5.0
208,5,je,10,2.0
211,1,qui,6,3.0
213,4,vous,11,4.0
215,5,contraire,1,9.0
216,1,eux,5,3.0
22,3,b,6,1.0
222,8,service,1,7.0
223,8,vostre,7,6.0
229,1,ministre,1,8.0
231,6,quu,1,3.0
232,8,seul,2,4.0
234,9,argent,1,6.0
236,5,en,19,2.0
237,8,for,3,3.0
238,0,ju,2,2.0
239,4,mais,3,4.0
24,5,c,24,1.0
246,5,est,21,3.0
249,1,moyen,1,5.0
256,9,Espagnol,1,8.0
258,4,jamais,2,6.0
26,2,d,17,1.0
261,2,quelle,1,6.0
266,6,election,1,8.0
269,2,Mr,10,2.0
271,8,quelque,1,7.0
274,4,Alleman,1,7.0
278,5,il,23,2.0
28,5,e,45,1.0
280,2,pa,11,2.0
281,2,quil,9,4.0
285,0,cour,4,4.0
287,8,ga,3,2.0
288,1,jour,3,4.0
289,4,Madame,1,6.0
290,5,pe,7,2.0
293,8,xa,1,2.0
296,7,engage,4,6.0
297,0,ge,6,2.0
298,1,interest,3,8.0
299,9,maison,3,6.0
30,1,f,6,1.0
30',3,vingt,1,5.0
300,4,pi,1,2.0
301,6,quoique,1,7.0
307,5,gi,3,2.0
310,0,po,8,2.0
311,2,ra,24,2.0
32,8,g,11,1.0
320,0,pu,2,2.0
321,5,re,57,2.0
322,8,ta,3,2.0
324,7,ba,2,2.0
325,1,comme,10,5.0
328,6,intention,1,9.0
331,6,ri,15,2.0
332,5,te,20,2.0
334,7,be,2,2.0
335,7,Cardinal,21,8.0
339,2,na,6,2.0
341,6,ro,8,2.0
342,5,ti,20,2.0
344,0,bi,1,2.0
346,5,encore,1,6.0
347,1,gener,1,5.0
348,5,la,40,2.0
349,5,ne,33,2.0
35',3,?,1,
351,8,ru,2,2.0
352,8,to,1,2.0
354,9,bo,2,2.0
355,8,da,1,2.0
356,2,Empereur,1,8.0
357,6,gouvern,1,7.0
358,5,le,54,2.0
359,1,ni,10,2.0
36,5,i,32,1.0
36',3,?,2,
361,4,Roy,4,3.0
362,6,tu,2,2.0
363,2,zi,6,2.0
364,6,bu,1,2.0
365,5,de,72,2.0
368,0,li,2,2.0
369,1,no,2,2.0
370,5,par,10,3.0
374,6,beaucoup,1,8.0
375,1,di,6,2.0
377,4,grand,4,5.0
378,5,lo,9,2.0
379,9,nu,2,2.0
38',6,?,1,
380,1,pall,1,4.0
382,2,tant,1,4.0
385,5,do,5,2.0
388,0,lu,2,2.0
390,5,point,1,5.0
392,8,tion,11,4.0
394,3,Bethune,2,7.0
395,5,du,7,2.0
398,9,lettre,3,6.0
399,1,Nonce,1,5.0
40,6,l,17,1.0
404,1,bon,1,3.0
405,5,dans,9,4.0
41,5,r,20,1.0
410,8,Pape,5,4.0
414,4,bien,5,4.0
42,0,m,10,1.0
420,8,pour,14,4.0
423,2,ki,7,2.0
426,9,fa,3,2.0
43,5,s,34,1.0
436,1,fe,4,2.0
437,4,ha,1,2.0
438,9,luy,2,3.0
44,5,n,68,1.0
442,1,tout,6,4.0
446,6,fi,8,2.0
447,4,he,10,2.0
449,5,nous,2,4.0
451,5,Reine,1,5.0
455,9,donne,2,5.0
456,9,fo,1,2.0
458,9,leur,5,4.0
46,9,o,14,1.0
461,1,sa,6,2.0
462,5,temps,3,5.0
468,1,long,1,4.0
470,1,pendant,1,7.0
471,5,se,33,2.0
48,4,p,17,1.0
52,5,r,41,1.0
54,5,s,39,1.0
56,5,t,50,1.0
58,5,u,33,1.0
60,5,x,7,1.0
62,5,y,15,1.0
64,2,z,2,1.0
66,5,&,38,1.0
68,8,st,7,2.0
70,5,nt,12,2.0
72,4,ns,1,2.0
74,6,er,7,2.0
95,5,ca,13,2.0
ψ,5,s,37,1.0
