token,cluster,plaintext,freq
101,1,puis,3
102,5,si,8
103,4,va,2
105,4,ce,29
107,3,fai,15
109,8,ma,7
11',1,un,12
112,3,so,10
113,8,ve,21
115,7,ci,6
119,5,me,15
12',4,deux,2
120,8,on,2
121,1,particulier,3
122,8,su,6
123,7,vi,6
124,0,avec,8
125,5,co,22
127,4,facil,1
129,4,mi,16
13',4,?,1
130,6,oit,12
132,1,sans,3
133,3,vo,7
134,8,autre,1
136,8,?,1
138,8,Hongrois,1
139,8,mo,11
14',6,quatre,1
146,8,demande,1
148,1,honneur,1
150,1,ou,2
154,4,an,2
159,0,Majeste,5
16',6,six,2
160,4,oblig,1
164,8,aussi,1
17',6,septem,1
170,8,ordinaire,1
174,4,Austriche,1
175,0,cette,3
177,7,France,8
178,4,heur,1
181,0,Pologne,10
184,8,au,12
186,7,?,3
189,5,ment,12
19',8,neuf,1
190,4,ordre,1
191,7,qua,1
198,3,ja,10
20,4,a,66
20',4,dix,1
201,7,que,20
202,1,secret,1
203,3,voir,1
206,1,entre,2
208,8,je,10
211,8,qui,6
213,1,vous,11
215,8,contraire,1
216,4,eux,5
22,6,b,6
222,1,service,1
223,1,vostre,7
229,7,ministre,1
231,4,quu,1
232,7,seul,2
234,8,argent,1
236,1,en,19
237,1,for,3
238,3,ju,2
239,1,mais,3
24,9,c,24
246,4,est,21
249,7,moyen,1
256,7,Espagnol,1
258,1,jamais,2
26,2,d,17
261,7,quelle,1
266,4,election,1
269,2,Mr,10
271,8,quelque,1
274,4,Alleman,1
278,4,il,23
28,5,e,45
280,4,pa,11
281,8,quil,9
285,0,cour,4
287,8,ga,3
288,8,jour,3
289,8,Madame,1
290,1,pe,7
293,8,xa,1
296,7,engage,4
297,3,ge,6
298,7,interest,3
299,7,maison,3
30,3,f,6
30',6,vingt,1
300,8,pi,1
301,4,quoique,1
307,8,gi,3
310,3,po,8
311,2,ra,24
32,4,g,11
320,3,pu,2
321,5,re,57
322,8,ta,3
324,7,ba,2
325,7,comme,10
328,4,intention,1
331,5,ri,15
332,1,te,20
334,7,be,2
335,2,Cardinal,21
339,6,na,6
341,1,ro,8
342,5,ti,20
344,4,bi,1
346,8,encore,1
347,3,gener,1
348,3,la,40
349,4,ne,33
35',6,?,1
351,8,ru,2
352,8,to,1
354,8,bo,2
355,8,da,1
356,7,Empereur,1
357,4,gouvern,1
358,7,le,54
359,7,ni,10
36,8,i,32
36',6,?,2
361,8,Roy,4
362,4,tu,2
363,2,zi,6
364,4,bu,1
365,8,de,72
368,1,li,2
369,7,no,2
370,7,par,10
374,4,beaucoup,1
375,4,di,6
377,4,grand,4
378,4,lo,9
379,3,nu,2
38',8,?,1
380,7,pall,1
382,7,tant,1
385,8,do,5
388,3,lu,2
390,8,point,1
392,3,tion,11
394,6,Bethune,2
395,4,du,7
398,8,lettre,3
399,4,Nonce,1
40,1,l,17
404,7,bon,1
405,4,dans,9
41,7,r,20
410,8,Pape,5
414,3,bien,5
42,3,m,10
420,7,pour,14
423,2,ki,7
426,8,fa,3
43,0,s,34
436,8,fe,4
437,8,ha,1
438,8,luy,2
44,1,n,68
442,4,tout,6
446,5,fi,8
447,9,he,10
449,4,nous,2
451,8,Reine,1
455,8,donne,2
456,8,fo,1
458,0,leur,5
46,2,o,14
461,0,sa,6
462,3,temps,3
468,8,long,1
470,8,pendant,1
471,4,se,33
48,5,p,17
52,8,r,41
54,0,s,39
56,3,t,50
58,8,u,33
60,6,x,7
62,3,y,15
64,0,z,2
66,4,&,38
68,1,st,7
70,3,nt,12
72,1,ns,1
74,4,er,7
95,8,ca,13
ψ,0,s,37
