doubled_token,doubles,triples,constraint,excluded_token,direction,count
"cc,o,x",23,yes,quad_only,"N,o,x",before,1
"cc,o,x",23,yes,quad_only,"o,N,cc,o,x,N,c^c",before,1
"cc,o,x",23,yes,quad_only,"4,o",before,1
"cc,o,x",23,yes,quad_only,"o,M,cc,o,x,o,c,M,c,o,x",before,1
"cc,o,x",23,yes,quad_only,"2",before,1
"cc,o,x",23,yes,quad_only,"8,a,Z,9",before,1
"cc,o,x",23,yes,quad_only,"c^c,o,x",before,1
"cc,o,x",23,yes,quad_only,"o,N,9",before,1
"cc,o,x",23,yes,quad_only,"o,N,a,x",before,1
"cc,o,x",23,yes,quad_only,"4,o,N,a,m",before,1
"cc,o,x",23,yes,quad_only,"c,M,c,a,m",before,1
"cc,o,x",23,yes,quad_only,"cc,c,M,9",before,1
"cc,o,x",23,yes,quad_only,"o",before,1
"cc,o,x",23,yes,quad_only,"o,Z",before,1
"cc,o,x",23,yes,quad_only,"o,cc,c,9",before,1
"cc,o,x",23,yes,quad_only,"o,M,cc,o,x",before,1
"cc,o,x",23,yes,quad_only,"2,o,N,cc,o,x",before,1
"cc,o,x",23,yes,quad_only,"o,M,a,Z",before,1
"cc,o,x",23,yes,quad_only,"4,o,N,cc,o,8,9",before,1
"cc,o,x",23,yes,quad_only,"c^c,o,N",before,1
"cc,o,x",23,yes,quad_only,"c^c,o,x,8,9",before,1
"cc,o,x",23,yes,quad_only,"N,o,Z",after,2
"cc,o,x",23,yes,quad_only,"c,M,c,a,m",after,1
"cc,o,x",23,yes,quad_only,"c,M,cc,9",after,1
"cc,o,x",23,yes,quad_only,"cc,o,8,9",after,2
"cc,o,x",23,yes,quad_only,"c,M,c,9",after,2
"cc,o,x",23,yes,quad_only,"c^c,o,x",after,1
"cc,o,x",23,yes,quad_only,"8,x",after,1
"cc,o,x",23,yes,quad_only,"cc,o,N,9",after,1
"cc,o,x",23,yes,quad_only,"9,N,a,m",after,1
"cc,o,x",23,yes,quad_only,"cc,o,Z",after,1
"cc,o,x",23,yes,quad_only,"8,a,n",after,1
"cc,o,x",23,yes,quad_only,"c,N,c,o,x",after,1
"cc,o,x",23,yes,quad_only,"4,o,M,cc,c,9",after,1
"cc,o,x",23,yes,quad_only,"8,a,m",after,2
"cc,o,x",23,yes,quad_only,"N,a,Q",after,1
"cc,o,x",23,yes,quad_only,"4,o,N,9",after,1
"cc,o,x",23,yes,quad_only,"9,N,c,c,o,x",after,1
"4,o,N,c,c,8,9",19,yes,quad_only,"x,o,x",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"x,c^c,c,c,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"cc,c,c,o,x",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"4,o,M,c,8,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"o,M,a,Z,a,Q",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"2,o,x,N,c,c,8,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"4,o,N,c,8,9",before,2
"4,o,N,c,c,8,9",19,yes,quad_only,"M,c,c,8,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"4,o,N,c^c,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"o,M,c^c,c,8,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"x,cc,c,8,9",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"8,c^c,c,o,x",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"c^c,c,c,a,x",before,1
"4,o,N,c,c,8,9",19,yes,quad_only,"c^c,c,a,x",before,1
