token,cluster,freq,token_len
2,2,220,1
"2,4,o,N,c,o,8,a,m",8,1,9
"2,8,a,x",1,1,4
"2,9",5,38,2
"2,9,8,9",6,1,4
"2,9,8,a,Z,a,Z,9",9,1,8
"2,9,M,9",8,1,4
"2,9,N,a,Z",6,1,5
"2,9,N,a,m",3,1,5
"2,9,a,n,Z",5,1,5
"2,9,c^c,c,o,2",7,1,6
"2,9?,8,a,x",6,1,5
"2,9?,o,M?,c,c,8,9",4,1,8
"2,?",2,1,2
"2,?,c,N,9,8",2,1,6
"2,M,o,x,P2,cc,9",4,1,7
"2,N,9",5,1,3
"2,N,a,Z",4,1,4
"2,N,a,m",4,3,4
"2,N,a,n",0,1,4
"2,N,a,n,o,8,a,Z",5,1,8
"2,N,a,x",6,1,4
"2,N,c,9",3,1,4
"2,N,c,c,9",8,2,5
"2,N,c,c,a,x",6,1,6
"2,N,cc,?,9",6,1,5
"2,P1,a,x",9,1,4
"2,P2,a,m",1,1,4
"2,P2,cc,9",1,1,4
"2,P2,cc,o,c,M,9",3,1,7
"2,a",5,2,2
"2,a,2,9",5,1,4
"2,a,9,P1,cc,c,8,9",6,1,8
"2,a,?",4,2,3
"2,a,M,a,Z",3,1,5
"2,a,N,a,m",1,1,5
"2,a,Q",8,10,3
"2,a,Z",6,66,3
"2,a,Z,8,9",3,1,5
"2,a,Z,9",5,7,4
"2,a,Z,Q",5,1,4
"2,a,Z,a,Q",7,1,5
"2,a,Z,a,Z",8,3,5
"2,a,Z,a,i,2,x",9,1,7
"2,a,Z,a,i,Z",7,1,6
"2,a,Z,a,m",8,3,5
"2,a,Z,a,m+",7,1,5
"2,a,Z,a,n",6,3,5
"2,a,Z,a,n,Z",1,1,6
"2,a,Z,a,x",7,4,5
"2,a,Z,o",9,1,4
"2,a,Z,o,Z",4,1,5
"2,a,Z,o,Z,a,x",9,1,7
"2,a,Z,o,c^c,9",2,1,6
"2,a,Z,o,x",0,5,5
"2,a,Z,o,x,2",6,1,6
"2,a,Z,o,x,8,a,x",4,1,8
"2,a,Z?",6,1,3
"2,a,c,M,c,9",7,1,6
"2,a,cc,9",9,1,4
"2,a,i",2,3,3
"2,a,i,2",0,1,4
"2,a,i,2,o,Z",0,1,6
"2,a,i,Q",3,1,4
"2,a,i,Z",7,22,4
"2,a,i,Z,9",9,4,5
"2,a,i,Z,9,x",7,1,6
"2,a,i,Z,a,n",7,1,6
"2,a,i,Z,a,x",0,1,6
"2,a,i,Z,a,x,9",1,1,7
"2,a,i,Z,o,Q",9,1,6
